elapsed_s,RAS_STGEN_BOTTLENECK_CYCLES,RAS_MTGEN_BOTTLENECK_CYCLES,RAS_TGEN_BOTTLENECK_CYCLES
0.226014,0,0,0
0.227559,0,0,0
0.229104,0,0,0
0.230647,0,0,0
0.232192,0,0,0
0.233727,0,0,0
0.235457,0,0,0
0.236945,0,0,0
0.238331,0,0,0
0.239715,0,0,0
0.241097,0,0,0
0.242478,0,0,0
0.243860,0,0,0
0.245369,0,0,0
0.246911,0,0,0
0.248347,0,0,0
0.249862,0,0,0
0.251407,0,0,0
0.252995,0,0,0
0.254538,0,0,0
0.255960,0,0,0
0.257477,0,0,0
0.259032,0,0,0
0.260578,0,0,0
0.262119,0,0,0
0.263664,0,0,0
0.265206,0,0,0
0.266747,0,0,0
0.268207,0,0,0
0.269732,0,0,0
0.271277,0,0,0
0.272821,0,0,0
0.274363,0,0,0
0.275908,0,0,0
0.277452,0,0,0
0.278993,0,0,0
0.280552,0,0,0
0.282094,0,0,0
0.283686,0,0,0
0.285230,0,0,0
0.286772,0,0,0
0.288267,0,0,0
0.289780,0,0,0
0.291336,0,0,0
0.292880,0,0,0
0.294422,0,0,0
0.295966,0,0,0
0.297510,0,0,0
0.299052,0,0,0
0.300469,0,0,0
0.301868,0,0,0
0.303379,0,0,0
0.304922,0,0,0
0.306470,0,0,0
0.308015,0,0,0
0.309562,0,0,0
0.311174,0,0,0
0.312794,0,0,0
0.314340,0,0,0
0.315931,0,0,0
0.317477,0,0,0
0.319022,0,0,0
0.320572,0,0,0
0.322116,0,0,0
0.323677,0,0,0
0.325224,0,0,0
0.326767,0,0,0
0.328393,0,0,0
0.329938,0,0,0
0.331486,0,0,0
0.333032,0,0,0
0.334590,0,0,0
0.336135,0,0,0
0.337683,0,0,0
0.339231,0,0,0
0.340777,0,0,0
0.342321,0,0,0
0.343868,0,0,0
0.345427,0,0,0
0.346972,0,0,0
0.348524,0,0,0
0.350069,0,0,0
0.351616,0,0,0
0.353162,0,0,0
0.354707,0,0,0
0.356139,0,0,0
0.357655,0,0,0
0.359202,0,0,0
0.360739,0,0,0
0.362275,0,0,0
0.363737,0,0,0
0.365256,0,0,0
0.366813,0,0,0
0.368362,0,0,0
0.369905,0,0,0
0.371451,0,0,0
0.372996,0,0,0
0.374538,0,0,0
0.376083,0,0,0
0.377640,0,0,0
0.379186,0,0,0
0.380731,0,0,0
0.382273,0,0,0
0.383819,0,0,0
0.385364,0,0,0
0.386906,0,0,0
0.388467,0,0,0
0.390012,0,0,0
0.391557,0,0,0
0.393102,0,0,0
0.394646,0,0,0
0.396234,0,0,0
0.397824,0,0,0
0.399384,0,0,0
0.400928,0,0,0
0.402472,0,0,0
0.404016,0,0,0
0.405560,0,0,0
0.407185,0,0,0
0.408574,0,0,0
0.409967,0,0,0
0.411480,0,0,0
0.412924,0,0,0
0.414465,0,0,0
0.416009,0,0,0
0.417552,0,0,0
0.418973,0,0,0
0.420510,0,0,0
0.422054,0,0,0
0.423599,0,0,0
0.425145,0,0,0
0.426689,0,0,0
0.428277,0,0,0
0.429823,0,0,0
0.431382,0,0,0
0.432928,0,0,0
0.434471,0,0,0
0.436016,0,0,0
0.437560,0,0,0
0.439170,0,0,0
0.440780,0,0,0
0.442335,0,0,0
0.443927,0,0,0
0.445472,0,0,0
0.447014,0,0,0
0.448563,0,0,0
0.450107,0,0,0
0.451652,0,0,0
0.453211,0,0,0
