csv_path,group,chunk,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk006.csv,VPC,6,2541,6,3,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk007.csv,VPC,7,2537,6,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk008.csv,VPC,8,2538,6,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk009.csv,VPC,9,2549,6,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk010.csv,VPC,10,2534,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk011.csv,VPC,11,3091,6,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk012.csv,VPC,12,2563,5,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk001.csv,TSE,1,2558,4,4,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk002.csv,TSE,2,2574,4,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk003.csv,TSE,3,2569,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk004.csv,TSE,4,2563,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk005.csv,TSE,5,2557,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk006.csv,TSE,6,2556,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk007.csv,TSE,7,2562,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk008.csv,TSE,8,2562,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk009.csv,TSE,9,2566,4,4,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk010.csv,TSE,10,2563,4,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk011.csv,TSE,11,2572,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk012.csv,TSE,12,2564,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk013.csv,TSE,13,2566,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk014.csv,TSE,14,2557,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk015.csv,TSE,15,2559,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk016.csv,TSE,16,2560,4,5,5,True
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk017.csv,TSE,17,2559,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk018.csv,TSE,18,2557,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk019.csv,TSE,19,2550,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk020.csv,TSE,20,2576,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk021.csv,TSE,21,2555,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk022.csv,TSE,22,2557,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk023.csv,TSE,23,2569,4,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk024.csv,TSE,24,2575,4,3,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk025.csv,TSE,25,2569,4,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk026.csv,TSE,26,2556,4,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk027.csv,TSE,27,2589,4,4,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/07_TSE/TSE_chunk028.csv,TSE,28,2566,4,2,5,False
