elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
0.789889,0,0,0,0
0.791279,0,0,0,0
0.792664,0,0,0,0
0.794147,0,0,0,0
0.796184,0,0,0,0
0.797580,0,0,0,0
0.799011,0,0,0,0
0.800399,0,0,0,0
0.801784,0,0,0,0
0.803173,0,0,0,0
0.804698,0,0,0,0
0.806342,0,0,0,0
0.807821,0,0,0,0
0.809213,0,0,0,0
0.810731,0,0,0,0
0.812281,0,0,0,0
0.813830,0,0,0,0
0.815268,0,0,0,0
0.816788,0,0,0,0
0.818339,0,0,0,0
0.819879,0,0,0,0
0.821418,0,0,0,0
0.822833,0,0,0,0
0.824324,0,0,0,0
0.825851,0,0,0,0
0.827270,0,0,0,0
0.828788,0,0,0,0
0.830340,0,0,0,0
0.831888,0,0,0,0
0.833437,0,0,0,0
0.834988,0,0,0,0
0.836552,0,0,0,0
0.838101,0,0,0,0
0.839671,0,0,0,0
0.841219,0,0,0,0
0.843219,0,0,0,0
0.844665,0,0,0,0
0.846055,0,0,0,0
0.847501,0,0,0,0
0.848888,0,0,0,0
0.850276,0,0,0,0
0.851662,0,0,0,0
0.853232,0,0,0,0
0.854783,0,0,0,0
0.856331,0,0,0,0
0.857892,0,0,0,0
0.859441,0,0,0,0
0.860991,0,0,0,0
0.862541,0,0,0,0
0.864134,0,0,0,0
0.865682,0,0,0,0
0.867231,0,0,0,0
0.868795,0,0,0,0
0.870346,0,0,0,0
0.871896,0,0,0,0
0.873444,0,0,0,0
0.874995,0,0,0,0
0.876542,0,0,0,0
0.878090,0,0,0,0
0.879671,0,0,0,0
0.881063,0,0,0,0
0.882581,0,0,0,0
0.884121,0,0,0,0
0.885660,0,0,0,0
0.887080,0,0,0,0
0.888600,0,0,0,0
0.890162,0,0,0,0
0.891717,0,0,0,0
0.893266,0,0,0,0
0.894861,0,0,0,0
0.896411,0,0,0,0
0.897960,0,0,0,0
0.899601,0,0,0,0
0.901162,0,0,0,0
0.902713,0,0,0,0
0.904262,0,0,0,0
0.905810,0,0,0,0
0.907359,0,0,0,0
0.908909,0,0,0,0
0.910460,0,0,0,0
0.912071,0,0,0,0
0.913620,0,0,0,0
0.915168,0,0,0,0
0.916717,0,0,0,0
0.918353,0,0,0,0
0.919739,0,0,0,0
0.921131,0,0,0,0
