elapsed_s,TSE_CLIP_VP_FADD_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_2_WORKING_CYCLE_L3,TSE_CLIP_VP_RCP_WORKING_CYCLE_L2,TSE_VP_TRANSFORM_WORKING_CYCLE_L1
0.248514,0,0,0,0
0.249899,0,0,0,0
0.251287,0,0,0,0
0.252671,0,0,0,0
0.254183,0,0,0,0
0.255747,0,0,0,0
0.257295,0,0,0,0
0.258841,0,0,0,0
0.260337,0,0,0,0
0.261855,0,0,0,0
0.263405,0,0,0,0
0.264999,0,0,0,0
0.266559,0,0,0,0
0.268107,0,0,0,0
0.269655,0,0,0,0
0.271205,0,0,0,0
0.272754,0,0,0,0
0.274301,0,0,0,0
0.275851,0,0,0,0
0.277412,0,0,0,0
0.278960,0,0,0,0
0.280512,0,0,0,0
0.282056,0,0,0,0
0.283487,0,0,0,0
0.285011,0,0,0,0
0.286560,0,0,0,0
0.288124,0,0,0,0
0.289666,0,0,0,0
0.291248,0,0,0,0
0.292865,0,0,0,0
0.294414,0,0,0,0
0.296010,0,0,0,0
0.297561,0,0,0,0
0.299123,0,0,0,0
0.300667,0,0,0,0
0.302208,0,0,0,0
0.303628,0,0,0,0
0.305147,0,0,0,0
0.306695,0,0,0,0
0.308244,0,0,0,0
0.309807,0,0,0,0
0.311356,0,0,0,0
0.312947,0,0,0,0
0.314493,0,0,0,0
0.315915,0,0,0,0
0.317434,0,0,0,0
0.318980,0,0,0,0
0.320547,0,0,0,0
0.322093,0,0,0,0
0.323644,0,0,0,0
0.325192,0,0,0,0
0.326739,0,0,0,0
0.328331,0,0,0,0
0.329881,0,0,0,0
0.331445,0,0,0,0
0.332994,0,0,0,0
0.334540,0,0,0,0
0.336089,0,0,0,0
0.337638,0,0,0,0
0.339254,0,0,0,0
0.340867,0,0,0,0
0.342427,0,0,0,0
0.344021,0,0,0,0
0.345569,0,0,0,0
0.347117,0,0,0,0
0.348670,0,0,0,0
0.350217,0,0,0,0
0.351767,0,0,0,0
0.353330,0,0,0,0
0.354878,0,0,0,0
0.356388,0,0,0,0
0.357949,0,0,0,0
0.359499,0,0,0,0
0.361094,0,0,0,0
0.362642,0,0,0,0
0.364204,0,0,0,0
0.365752,0,0,0,0
0.367303,0,0,0,0
0.368852,0,0,0,0
0.370399,0,0,0,0
0.371949,0,0,0,0
0.373495,0,0,0,0
0.375053,0,0,0,0
0.376506,0,0,0,0
0.378032,0,0,0,0
0.379585,0,0,0,0
0.381136,0,0,0,0
0.382686,0,0,0,0
0.384237,0,0,0,0
0.385801,0,0,0,0
0.387353,0,0,0,0
0.388904,0,0,0,0
0.390454,0,0,0,0
0.392050,0,0,0,0
0.393602,0,0,0,0
0.395151,0,0,0,0
0.396722,0,0,0,0
0.398114,0,0,0,0
0.399631,0,0,0,0
0.401183,0,0,0,0
0.402730,0,0,0,0
0.404281,0,0,0,0
0.405832,0,0,0,0
0.407396,0,0,0,0
0.408949,0,0,0,0
0.410498,0,0,0,0
0.412049,0,0,0,0
0.413599,0,0,0,0
0.415149,0,0,0,0
0.416722,0,0,0,0
0.418284,0,0,0,0
0.419837,0,0,0,0
0.421387,0,0,0,0
0.422936,0,0,0,0
0.424492,0,0,0,0
0.426041,0,0,0,0
0.427593,0,0,0,0
0.429158,0,0,0,0
0.430707,0,0,0,0
0.432259,0,0,0,0
0.433809,0,0,0,0
0.435360,0,0,0,0
0.436911,0,0,0,0
0.438459,0,0,0,0
0.440066,0,0,0,0
0.441618,0,0,0,0
0.443165,0,0,0,0
0.444649,0,0,0,0
0.446039,0,0,0,0
0.447555,0,0,0,0
0.449104,0,0,0,0
0.450665,0,0,0,0
0.452214,0,0,0,0
0.453763,0,0,0,0
0.455315,0,0,0,0
0.456908,0,0,0,0
0.458456,0,0,0,0
0.460007,0,0,0,0
0.461571,0,0,0,0
0.463119,0,0,0,0
0.464670,0,0,0,0
0.466218,0,0,0,0
0.467768,0,0,0,0
0.469317,0,0,0,0
0.470865,0,0,0,0
0.472511,0,0,0,0
0.474058,0,0,0,0
0.475608,0,0,0,0
0.477158,0,0,0,0
0.478707,0,0,0,0
0.480256,0,0,0,0
0.481805,0,0,0,0
0.483371,0,0,0,0
0.484921,0,0,0,0
0.486469,0,0,0,0
0.488064,0,0,0,0
0.489614,0,0,0,0
0.491162,0,0,0,0
0.492732,0,0,0,0
0.494132,0,0,0,0
0.495550,0,0,0,0
0.497134,0,0,0,0
0.498682,0,0,0,0
0.500231,0,0,0,0
0.501781,0,0,0,0
0.503333,0,0,0,0
0.504941,0,0,0,0
0.506488,0,0,0,0
0.508037,0,0,0,0
0.509587,0,0,0,0
0.511135,0,0,0,0
0.512730,0,0,0,0
0.514278,0,0,0,0
0.515842,0,0,0,0
0.517404,0,0,0,0
0.518847,0,0,0,0
0.520287,0,0,0,0
0.521803,0,0,0,0
0.523353,0,0,0,0
0.524902,0,0,0,0
0.526463,0,0,0,0
0.528014,0,0,0,0
0.529563,0,0,0,0
0.531111,0,0,0,0
0.532664,0,0,0,0
0.534211,0,0,0,0
0.535807,0,0,0,0
0.537369,0,0,0,0
0.538917,0,0,0,0
0.540470,0,0,0,0
0.542017,0,0,0,0
0.543569,0,0,0,0
0.545118,0,0,0,0
0.546665,0,0,0,0
0.548226,0,0,0,0
0.549773,0,0,0,0
0.551320,0,0,0,0
0.552910,0,0,0,0
0.554820,0,0,0,0
0.556216,0,0,0,0
0.557731,0,0,0,0
0.559294,0,0,0,0
0.560842,0,0,0,0
0.562388,0,0,0,0
0.563937,0,0,0,0
0.565611,0,0,0,0
0.567003,0,0,0,0
0.568524,0,0,0,0
0.569960,0,0,0,0
0.571481,0,0,0,0
0.573030,0,0,0,0
0.574577,0,0,0,0
0.576064,0,0,0,0
0.577594,0,0,0,0
0.579143,0,0,0,0
0.580748,0,0,0,0
0.582297,0,0,0,0
0.583893,0,0,0,0
0.585444,0,0,0,0
0.586992,0,0,0,0
0.588549,0,0,0,0
0.590099,0,0,0,0
0.591665,0,0,0,0
0.593215,0,0,0,0
0.594764,0,0,0,0
0.596314,0,0,0,0
0.597866,0,0,0,0
0.599417,0,0,0,0
0.601013,0,0,0,0
0.602576,0,0,0,0
0.604127,0,0,0,0
0.605678,0,0,0,0
0.607231,0,0,0,0
0.608782,0,0,0,0
0.610331,0,0,0,0
0.611883,0,0,0,0
0.613447,0,0,0,0
0.614996,0,0,0,0
0.616551,0,0,0,0
0.618100,0,0,0,0
0.619652,0,0,0,0
0.621203,0,0,0,0
0.622753,0,0,0,0
0.624318,0,0,0,0
0.625869,0,0,0,0
0.627421,0,0,0,0
0.628972,0,0,0,0
0.630522,0,0,0,0
0.632116,0,0,0,0
0.633667,0,0,0,0
0.635234,0,0,0,0
0.636786,0,0,0,0
0.638335,0,0,0,0
0.639887,0,0,0,0
0.641437,0,0,0,0
0.642986,0,0,0,0
0.644540,0,0,0,0
0.646101,0,0,0,0
0.647696,0,0,0,0
0.649247,0,0,0,0
0.650796,0,0,0,0
0.652347,0,0,0,0
0.653898,0,0,0,0
0.655451,0,0,0,0
0.657015,0,0,0,0
0.658566,0,0,0,0
0.660116,0,0,0,0
0.661668,0,0,0,0
0.663220,0,0,0,0
0.664771,0,0,0,0
0.666320,0,0,0,0
0.667887,0,0,0,0
0.669438,0,0,0,0
0.670986,0,0,0,0
0.672539,0,0,0,0
