elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.305597,0,0,0,0
0.306997,0,0,0,0
0.308512,0,0,0,0
0.310062,0,0,0,0
0.311660,0,0,0,0
0.313211,0,0,0,0
0.314761,0,0,0,0
0.316366,0,0,0,0
0.317928,0,0,0,0
0.319482,0,0,0,0
0.321033,0,0,0,0
0.322582,0,0,0,0
0.324194,0,0,0,0
0.325745,0,0,0,0
0.327299,0,0,0,0
0.328864,0,0,0,0
0.330415,0,0,0,0
0.331965,0,0,0,0
0.333516,0,0,0,0
0.335068,0,0,0,0
0.336619,0,0,0,0
0.338168,0,0,0,0
0.339733,0,0,0,0
0.341284,0,0,0,0
0.342833,0,0,0,0
0.344391,0,0,0,0
0.345940,0,0,0,0
0.347492,0,0,0,0
0.349044,0,0,0,0
0.350653,0,0,0,0
0.352208,0,0,0,0
0.353758,0,0,0,0
0.355311,0,0,0,0
0.356862,0,0,0,0
0.358412,0,0,0,0
0.360006,0,0,0,0
0.361561,0,0,0,0
0.363218,0,0,0,0
0.364610,0,0,0,0
0.366003,0,0,0,0
0.367522,0,0,0,0
0.369072,0,0,0,0
0.370623,0,0,0,0
0.372240,0,0,0,0
0.373789,0,0,0,0
0.375385,0,0,0,0
0.376937,0,0,0,0
0.378486,0,0,0,0
0.380037,0,0,0,0
0.381588,0,0,0,0
0.383155,0,0,0,0
0.384707,0,0,0,0
0.386256,0,0,0,0
0.387806,0,0,0,0
0.389357,0,0,0,0
0.390908,0,0,0,0
0.392653,0,0,0,0
0.394216,0,0,0,0
0.395768,0,0,0,0
0.397319,0,0,0,0
0.398869,0,0,0,0
0.400422,0,0,0,0
0.401971,0,0,0,0
0.403524,0,0,0,0
0.405089,0,0,0,0
0.406638,0,0,0,0
0.408193,0,0,0,0
0.409743,0,0,0,0
0.411296,0,0,0,0
0.412848,0,0,0,0
0.414397,0,0,0,0
0.415961,0,0,0,0
0.417512,0,0,0,0
0.419065,0,0,0,0
0.420616,0,0,0,0
0.422165,0,0,0,0
0.423762,0,0,0,0
0.425314,0,0,0,0
0.427224,0,0,0,0
0.428859,0,0,0,0
0.430346,0,0,0,0
0.431746,0,0,0,0
0.433135,0,0,0,0
0.434523,0,0,0,0
0.435912,0,0,0,0
0.437318,0,0,0,0
0.438834,0,0,0,0
0.440263,0,0,0,0
0.441784,0,0,0,0
0.443337,0,0,0,0
0.444888,0,0,0,0
0.446438,0,0,0,0
0.448003,0,0,0,0
0.449556,0,0,0,0
0.451108,0,0,0,0
0.452659,0,0,0,0
0.454209,0,0,0,0
0.455805,0,0,0,0
0.457358,0,0,0,0
0.458989,0,0,0,0
0.460605,0,0,0,0
0.462155,0,0,0,0
0.463707,0,0,0,0
0.465248,0,0,0,0
0.466788,0,0,0,0
0.468388,0,0,0,0
0.469787,0,0,0,0
0.471304,0,0,0,0
0.472852,0,0,0,0
0.474278,0,0,0,0
0.475805,0,0,0,0
0.477347,0,0,0,0
0.478886,0,0,0,0
0.480373,0,0,0,0
0.481765,0,0,0,0
0.483376,0,0,0,0
0.484927,0,0,0,0
0.486477,0,0,0,0
0.488076,0,0,0,0
0.489627,0,0,0,0
0.491194,0,0,0,0
0.492745,0,0,0,0
0.494300,0,0,0,0
0.495847,0,0,0,0
0.497398,0,0,0,0
0.498950,0,0,0,0
0.500500,0,0,0,0
0.502062,0,0,0,0
0.503657,0,0,0,0
0.505209,0,0,0,0
0.506757,0,0,0,0
0.508306,0,0,0,0
0.509815,0,0,0,0
0.511284,0,0,0,0
0.512858,0,0,0,0
0.514407,0,0,0,0
0.515956,0,0,0,0
0.517507,0,0,0,0
0.519058,0,0,0,0
0.520654,0,0,0,0
0.522203,0,0,0,0
0.523767,0,0,0,0
0.525319,0,0,0,0
0.526868,0,0,0,0
0.528421,0,0,0,0
0.529969,0,0,0,0
0.531521,0,0,0,0
0.533071,0,0,0,0
0.534634,0,0,0,0
0.536277,0,0,0,0
0.537826,0,0,0,0
0.539377,0,0,0,0
0.540928,0,0,0,0
0.542476,0,0,0,0
0.544027,0,0,0,0
0.545592,0,0,0,0
0.547144,0,0,0,0
0.548694,0,0,0,0
0.550243,0,0,0,0
0.551837,0,0,0,0
0.553387,0,0,0,0
0.555017,0,0,0,0
0.556573,0,0,0,0
0.557967,0,0,0,0
0.559485,0,0,0,0
0.561036,0,0,0,0
0.562584,0,0,0,0
0.564185,0,0,0,0
0.565735,0,0,0,0
0.567300,0,0,0,0
0.568841,0,0,0,0
0.570381,0,0,0,0
0.571799,0,0,0,0
0.573317,0,0,0,0
0.574864,0,0,0,0
0.576418,0,0,0,0
0.577977,0,0,0,0
0.579527,0,0,0,0
0.581075,0,0,0,0
0.582622,0,0,0,0
0.584219,0,0,0,0
0.585763,0,0,0,0
0.587312,0,0,0,0
0.588875,0,0,0,0
0.590422,0,0,0,0
0.591971,0,0,0,0
0.593520,0,0,0,0
0.595070,0,0,0,0
0.596618,0,0,0,0
0.598165,0,0,0,0
0.599770,0,0,0,0
0.601319,0,0,0,0
0.602865,0,0,0,0
0.604416,0,0,0,0
0.605962,0,0,0,0
0.607513,0,0,0,0
0.609062,0,0,0,0
0.610624,0,0,0,0
0.612259,0,0,0,0
0.613807,0,0,0,0
0.615401,0,0,0,0
0.616828,0,0,0,0
0.618349,0,0,0,0
0.619898,0,0,0,0
0.621463,0,0,0,0
0.623015,0,0,0,0
0.624565,0,0,0,0
0.626113,0,0,0,0
0.627665,0,0,0,0
0.629215,0,0,0,0
0.630762,0,0,0,0
0.632212,0,0,0,0
0.633732,0,0,0,0
0.635284,0,0,0,0
0.636833,0,0,0,0
0.638382,0,0,0,0
0.639932,0,0,0,0
0.641481,0,0,0,0
0.643047,0,0,0,0
0.644596,0,0,0,0
0.646144,0,0,0,0
0.647739,0,0,0,0
0.649289,0,0,0,0
0.650837,0,0,0,0
0.652391,0,0,0,0
0.653954,0,0,0,0
0.655507,0,0,0,0
0.657058,0,0,0,0
0.658605,0,0,0,0
0.660104,0,0,0,0
0.661623,0,0,0,0
0.663173,0,0,0,0
0.664781,0,0,0,0
0.666329,0,0,0,0
0.667880,0,0,0,0
0.669430,0,0,0,0
0.670981,0,0,0,0
0.672521,0,0,0,0
0.673951,0,0,0,0
0.675356,0,0,0,0
0.676873,0,0,0,0
0.678422,0,0,0,0
0.680016,0,0,0,0
0.681566,0,0,0,0
0.683118,0,0,0,0
0.684668,0,0,0,0
0.686231,0,0,0,0
0.687782,0,0,0,0
0.689332,0,0,0,0
0.690880,0,0,0,0
0.692476,0,0,0,0
0.694021,0,0,0,0
0.695613,0,0,0,0
0.697176,0,0,0,0
0.698723,0,0,0,0
0.700277,0,0,0,0
0.701824,0,0,0,0
0.703400,0,0,0,0
0.704952,0,0,0,0
0.708248,0,0,0,0
0.709693,0,0,0,0
0.711089,0,0,0,0
0.712649,0,0,0,0
0.714198,0,0,0,0
0.715750,0,0,0,0
0.717301,0,0,0,0
0.718851,0,0,0,0
0.720420,0,0,0,0
0.721969,0,0,0,0
0.723522,0,0,0,0
0.725110,0,0,0,0
0.726659,0,0,0,0
0.728214,0,0,0,0
0.729762,0,0,0,0
0.731328,0,0,0,0
0.732870,0,0,0,0
0.734410,0,0,0,0
0.735831,0,0,0,0
0.737351,0,0,0,0
0.738900,0,0,0,0
0.740505,0,0,0,0
0.742066,0,0,0,0
0.743662,0,0,0,0
0.745214,0,0,0,0
0.746763,0,0,0,0
0.748499,0,0,0,0
0.750048,0,0,0,0
0.751599,0,0,0,0
0.753163,0,0,0,0
0.754713,0,0,0,0
0.756268,0,0,0,0
0.757817,0,0,0,0
0.759414,0,0,0,0
0.760965,0,0,0,0
0.762514,0,0,0,0
0.763950,0,0,0,0
0.765471,0,0,0,0
0.767024,0,0,0,0
0.768574,0,0,0,0
0.770124,0,0,0,0
