elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.274497,0,0,0,0,0,0,0,13785
0.275956,0,0,0,0,0,0,0,14922
0.277498,0,0,0,0,0,0,0,13920
0.279071,0,0,0,0,0,0,0,13593
0.280654,0,0,0,0,0,0,0,13326
0.282101,0,0,0,0,0,0,0,14442
0.283648,0,0,0,0,0,0,0,13227
0.285211,0,0,0,0,0,0,0,14139
0.286717,0,0,0,0,0,0,0,13593
0.288328,0,0,0,0,0,0,0,13239
0.289898,0,0,0,0,0,0,0,15357
0.291535,0,0,0,0,0,0,0,14847
0.293107,0,0,0,0,0,0,0,14241
0.294680,0,0,0,0,0,0,0,13230
0.296251,0,0,0,0,0,0,0,14418
0.297818,0,0,0,0,0,0,0,13269
0.299388,0,0,0,0,0,0,0,13185
0.300960,0,0,0,0,0,0,0,13215
0.302542,0,0,0,0,0,0,0,14658
0.304158,0,0,0,0,0,0,0,14277
0.305729,0,0,0,0,0,0,0,14625
0.307299,0,0,0,0,0,0,0,13656
0.308870,0,0,0,0,0,0,0,13446
0.310442,0,0,0,0,0,0,0,13173
0.312013,0,0,0,0,0,0,0,13296
0.313596,0,0,0,0,0,0,0,14286
0.315166,0,0,0,0,0,0,0,13299
0.316740,0,0,0,0,0,0,0,14130
0.318313,0,0,0,0,0,0,0,15501
0.319884,0,0,0,0,0,0,0,14406
0.321455,0,0,0,0,0,0,0,14271
0.323027,0,0,0,0,0,0,0,14778
0.324489,0,0,0,0,0,0,0,14334
0.326041,0,0,0,0,0,0,0,14838
0.327622,0,0,0,0,0,0,0,13335
0.329192,0,0,0,0,0,0,0,13305
0.330765,0,0,0,0,0,0,0,13929
0.332336,0,0,0,0,0,0,0,13845
0.333905,0,0,0,0,0,0,0,13125
0.335427,0,0,0,0,0,0,0,13227
0.336969,0,0,0,0,0,0,0,13902
0.338540,0,0,0,0,0,0,0,15099
0.340111,0,0,0,0,0,0,0,13401
0.341681,0,0,0,0,0,0,0,13815
0.343252,0,0,0,0,0,0,0,13992
0.344823,0,0,0,0,0,0,0,13269
0.346409,0,0,0,0,0,0,0,13662
0.347980,0,0,0,0,0,0,0,13845
0.349549,0,0,0,0,0,0,0,14058
0.351165,0,0,0,0,0,0,0,13656
0.352736,0,0,0,0,0,0,0,15447
0.354309,0,0,0,0,0,0,0,13176
0.355881,0,0,0,0,0,0,0,14805
0.357463,0,0,0,0,0,0,0,14160
0.359036,0,0,0,0,0,0,0,14163
0.360608,0,0,0,0,0,0,0,14301
0.362179,0,0,0,0,0,0,0,13917
0.363754,0,0,0,0,0,0,0,13188
0.365324,0,0,0,0,0,0,0,13212
0.366940,0,0,0,0,0,0,0,13239
0.368526,0,0,0,0,0,0,0,14658
0.370095,0,0,0,0,0,0,0,14028
0.371671,0,0,0,0,0,0,0,13290
0.373241,0,0,0,0,0,0,0,13353
0.374845,0,0,0,0,0,0,0,14457
