elapsed_s,PC_US_MESH_DRAWS,PC_US_MESH_DEAD_DRAWS,PC_US_MESH_MVIS_EN_DRAWS,PC_US_MESH_DEAD_PRIM,PC_US_MESH_LIVE_PRIM,PC_US_MESH_PA_EN_PRIM,PC_US_STARVE_CYCLES_FOR_MVIS_STREAM,PC_US_STARVE_CYCLES_PREDRAW
0.200824,0,0,0,0,0,0,0,0
0.202236,0,0,0,0,0,0,0,0
0.203650,0,0,0,0,0,0,0,0
0.205058,0,0,0,0,0,0,0,0
0.206492,0,0,0,0,0,0,0,0
0.207899,0,0,0,0,0,0,0,0
0.209306,0,0,0,0,0,0,0,0
0.210782,0,0,0,0,0,0,0,0
0.212189,0,0,0,0,0,0,0,0
0.213595,0,0,0,0,0,0,0,0
0.215039,0,0,0,0,0,0,0,0
0.216446,0,0,0,0,0,0,0,0
0.217871,0,0,0,0,0,0,0,0
0.219313,0,0,0,0,0,0,0,0
0.220719,0,0,0,0,0,0,0,0
0.222127,0,0,0,0,0,0,0,0
0.223534,0,0,0,0,0,0,0,0
0.224940,0,0,0,0,0,0,0,0
0.226350,0,0,0,0,0,0,0,0
0.227936,0,0,0,0,0,0,0,0
0.229401,0,0,0,0,0,0,0,0
0.230997,0,0,0,0,0,0,0,0
0.232564,0,0,0,0,0,0,0,0
0.234179,0,0,0,0,0,0,0,0
0.235751,0,0,0,0,0,0,0,0
0.237320,0,0,0,0,0,0,0,0
0.238861,0,0,0,0,0,0,0,0
0.240412,0,0,0,0,0,0,0,0
0.241984,0,0,0,0,0,0,0,0
0.243554,0,0,0,0,0,0,0,0
0.245123,0,0,0,0,0,0,0,0
0.246693,0,0,0,0,0,0,0,0
0.248262,0,0,0,0,0,0,0,0
0.249719,0,0,0,0,0,0,0,0
0.251129,0,0,0,0,0,0,0,0
0.252804,0,0,0,0,0,0,0,0
0.254231,0,0,0,0,0,0,0,0
0.255641,0,0,0,0,0,0,0,0
0.257049,0,0,0,0,0,0,0,0
0.258457,0,0,0,0,0,0,0,0
0.259863,0,0,0,0,0,0,0,0
