elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
0.253480,0,0,0,0
0.255001,0,0,0,0
0.256615,0,0,0,0
0.258053,0,0,0,0
0.259564,0,0,0,0
0.260997,0,0,0,0
0.262518,0,0,0,0
0.264066,0,0,0,0
0.265660,0,0,0,0
0.267210,0,0,0,0
0.268759,0,0,0,0
0.270380,0,0,0,0
0.271941,0,0,0,0
0.273493,0,0,0,0
0.275043,0,0,0,0
0.276592,0,0,0,0
0.278146,0,0,0,0
0.279695,0,0,0,0
0.281290,0,0,0,0
0.282855,0,0,0,0
0.284403,0,0,0,0
0.285952,0,0,0,0
0.287501,0,0,0,0
0.289053,0,0,0,0
0.290603,0,0,0,0
0.292150,0,0,0,0
0.293713,0,0,0,0
0.295263,0,0,0,0
0.296904,0,0,0,0
0.298518,0,0,0,0
0.299909,0,0,0,0
0.301427,0,0,0,0
0.302968,0,0,0,0
0.304520,0,0,0,0
0.306130,0,0,0,0
0.307583,0,0,0,0
0.309077,0,0,0,0
0.310601,0,0,0,0
0.312147,0,0,0,0
0.313749,0,0,0,0
0.315653,0,0,0,0
0.317087,0,0,0,0
0.318607,0,0,0,0
0.320159,0,0,0,0
0.321705,0,0,0,0
0.323252,0,0,0,0
0.324853,0,0,0,0
0.326411,0,0,0,0
0.327956,0,0,0,0
0.329500,0,0,0,0
0.330896,0,0,0,0
0.332409,0,0,0,0
0.333962,0,0,0,0
0.335418,0,0,0,0
0.336945,0,0,0,0
0.338494,0,0,0,0
0.340037,0,0,0,0
0.341584,0,0,0,0
0.343131,0,0,0,0
0.344678,0,0,0,0
0.346232,0,0,0,0
0.347791,0,0,0,0
0.349341,0,0,0,0
0.350888,0,0,0,0
0.352438,0,0,0,0
0.353859,0,0,0,0
0.355377,0,0,0,0
0.356932,0,0,0,0
0.358469,0,0,0,0
0.360226,0,0,0,0
0.361734,0,0,0,0
0.363501,0,0,0,0
0.365197,0,0,0,0
0.366969,0,0,0,0
0.368997,0,0,0,0
0.370427,0,0,0,0
0.371825,0,0,0,0
0.373220,0,0,0,0
0.374736,0,0,0,0
0.376286,0,0,0,0
0.377880,0,0,0,0
0.379444,0,0,0,0
0.380994,0,0,0,0
0.382543,0,0,0,0
0.384089,0,0,0,0
0.385639,0,0,0,0
0.387188,0,0,0,0
0.388734,0,0,0,0
0.390300,0,0,0,0
0.391847,0,0,0,0
0.393441,0,0,0,0
0.394990,0,0,0,0
0.396535,0,0,0,0
0.398087,0,0,0,0
0.399634,0,0,0,0
0.401197,0,0,0,0
0.402745,0,0,0,0
0.404292,0,0,0,0
0.405839,0,0,0,0
0.407387,0,0,0,0
0.408938,0,0,0,0
0.410530,0,0,0,0
0.412089,0,0,0,0
0.413638,0,0,0,0
0.415188,0,0,0,0
0.416734,0,0,0,0
0.418287,0,0,0,0
0.419833,0,0,0,0
0.421382,0,0,0,0
0.422943,0,0,0,0
0.424490,0,0,0,0
0.425987,0,0,0,0
0.427506,0,0,0,0
0.429055,0,0,0,0
0.430604,0,0,0,0
0.432151,0,0,0,0
0.433711,0,0,0,0
0.435259,0,0,0,0
0.436860,0,0,0,0
0.438405,0,0,0,0
0.439953,0,0,0,0
0.441546,0,0,0,0
0.443094,0,0,0,0
0.444655,0,0,0,0
0.446207,0,0,0,0
0.447754,0,0,0,0
0.449304,0,0,0,0
0.450852,0,0,0,0
0.452398,0,0,0,0
0.453945,0,0,0,0
0.455720,0,0,0,0
0.457318,0,0,0,0
0.458867,0,0,0,0
0.460414,0,0,0,0
0.461962,0,0,0,0
0.463511,0,0,0,0
0.465061,0,0,0,0
0.466623,0,0,0,0
0.468172,0,0,0,0
0.469720,0,0,0,0
0.471269,0,0,0,0
0.472818,0,0,0,0
0.474368,0,0,0,0
0.475915,0,0,0,0
0.477899,0,0,0,0
0.479451,0,0,0,0
0.481002,0,0,0,0
0.482552,0,0,0,0
0.484100,0,0,0,0
0.485651,0,0,0,0
0.487200,0,0,0,0
0.488760,0,0,0,0
0.490174,0,0,0,0
0.491567,0,0,0,0
0.493086,0,0,0,0
0.494627,0,0,0,0
0.496167,0,0,0,0
0.497586,0,0,0,0
0.499150,0,0,0,0
0.500697,0,0,0,0
0.502250,0,0,0,0
0.503797,0,0,0,0
0.505391,0,0,0,0
0.506940,0,0,0,0
0.508487,0,0,0,0
0.510126,0,0,0,0
0.511673,0,0,0,0
0.513224,0,0,0,0
0.514773,0,0,0,0
0.516320,0,0,0,0
0.517894,0,0,0,0
0.519447,0,0,0,0
0.521011,0,0,0,0
0.522564,0,0,0,0
0.524112,0,0,0,0
0.525661,0,0,0,0
0.527211,0,0,0,0
0.528758,0,0,0,0
0.530170,0,0,0,0
0.531572,0,0,0,0
0.533090,0,0,0,0
0.534640,0,0,0,0
0.536189,0,0,0,0
0.537782,0,0,0,0
0.539333,0,0,0,0
0.540884,0,0,0,0
0.542449,0,0,0,0
0.543998,0,0,0,0
0.545549,0,0,0,0
0.547098,0,0,0,0
0.548646,0,0,0,0
0.550200,0,0,0,0
0.551749,0,0,0,0
0.553357,0,0,0,0
0.554908,0,0,0,0
