elapsed_s,HLSQ_S2W_STALL_BY_MISS_RETURN,HLSQ_MISS_RETURN_STALL_BY_S2W,HLSQ_STPROC_L0_STALL_INS_RD,HLSQ_STPROC_L0_INS_MISS,HLSQ_STPROC_L0_INS_HIT,HLSQ_STPROC_L0_INS_LATENCY_COUNT
0.156047,0,0,0,0,0,0
0.157222,0,0,0,0,0,0
0.158412,0,0,0,0,0,0
0.159587,0,0,0,0,0,0
0.160784,0,0,0,0,0,0
0.162014,0,0,0,0,0,0
0.163189,0,0,0,0,0,0
0.164358,0,0,0,0,0,0
0.165527,0,0,0,0,0,0
0.166703,0,0,0,0,0,0
0.167915,0,0,0,0,0,0
0.169240,0,0,0,0,0,0
0.170774,0,0,0,0,0,0
0.172092,0,0,0,0,0,0
0.173246,0,0,0,0,0,0
0.174461,0,0,0,0,0,0
0.176164,0,0,0,0,0,0
0.177364,0,0,0,0,0,0
0.178548,0,0,0,0,0,0
0.179699,0,0,0,0,0,0
0.180848,0,0,0,0,0,0
0.182002,0,0,0,0,0,0
0.183155,0,0,0,0,0,0
0.184307,0,0,0,0,0,0
0.185480,0,0,0,0,0,0
0.186657,0,0,0,0,0,0
0.187831,0,0,0,0,0,0
0.189002,0,0,0,0,0,0
0.190372,0,0,0,0,0,0
0.191566,0,0,0,0,0,0
0.192884,0,0,0,0,0,0
0.194271,0,0,0,0,0,0
0.195680,0,0,0,0,0,0
0.196977,0,0,0,0,0,0
0.198272,0,0,0,0,0,0
0.199556,0,0,0,0,0,0
0.200890,0,0,0,0,0,0
0.202376,0,0,0,0,0,0
0.203831,0,0,0,0,0,0
0.205051,0,0,0,0,0,0
0.206489,0,0,0,0,0,0
0.207666,0,0,0,0,0,0
0.208990,0,0,0,0,0,0
0.210166,0,0,0,0,0,0
0.211341,0,0,0,0,0,0
0.212515,0,0,0,0,0,0
0.213702,0,0,0,0,0,0
0.214877,0,0,0,0,0,0
0.216052,0,0,0,0,0,0
0.217228,0,0,0,0,0,0
0.218404,0,0,0,0,0,0
0.219579,0,0,0,0,0,0
0.220754,0,0,0,0,0,0
0.222022,0,0,0,0,0,0
0.223194,0,0,0,0,0,0
0.224360,0,0,0,0,0,0
0.225755,0,0,0,0,0,0
0.226944,0,0,0,0,0,0
0.228118,0,0,0,0,0,0
0.229619,0,0,0,0,0,0
0.230792,0,0,0,0,0,0
0.232151,0,0,0,0,0,0
0.233496,0,0,0,0,0,0
0.234669,0,0,0,0,0,0
0.235837,0,0,0,0,0,0
0.237014,0,0,0,0,0,0
0.238187,0,0,0,0,0,0
0.239361,0,0,0,0,0,0
0.240600,0,0,0,0,0,0
0.241793,0,0,0,0,0,0
0.242940,0,0,0,0,0,0
0.244088,0,0,0,0,0,0
0.245239,0,0,0,0,0,0
0.246395,0,0,0,0,0,0
0.247699,0,0,0,0,0,0
0.249023,0,0,0,0,0,0
0.250994,0,0,0,0,0,0
