elapsed_s,HLSQ_FS_SP_CCTX_NUM,HLSQ_BV_SP_CCTX_NUM,HLSQ_VS_SP_SCTX_NUM,HLSQ_FS_SP_SCTX_NUM,HLSQ_BV_SP_SCTX_NUM
0.425472,0,0,0,0,0
0.427022,0,0,0,0,0
0.428637,0,0,0,0,0
0.430309,0,0,0,0,0
0.432082,0,0,0,0,0
0.433911,0,0,0,0,0
0.435720,0,0,0,0,0
0.437530,0,0,0,0,0
0.439337,0,0,0,0,0
0.441139,0,0,0,0,0
0.442942,0,0,0,0,0
0.444635,0,0,0,0,0
0.446202,0,0,0,0,0
0.448246,0,0,0,0,0
0.449893,0,0,0,0,0
0.451460,0,0,0,0,0
0.453100,0,0,0,0,0
0.454609,0,0,0,0,0
0.456087,0,0,0,0,0
0.457573,0,0,0,0,0
0.459115,0,0,0,0,0
0.460863,0,0,0,0,0
0.462584,0,0,0,0,0
0.464385,0,0,0,0,0
0.465954,0,0,0,0,0
0.467439,0,0,0,0,0
0.469212,0,0,0,0,0
0.470933,0,0,0,0,0
0.472683,0,0,0,0,0
0.474421,0,0,0,0,0
0.476030,0,0,0,0,0
0.479318,0,0,0,0,0
0.480856,0,0,0,0,0
0.482390,0,0,0,0,0
0.483934,0,0,0,0,0
0.485646,0,0,0,0,0
0.487312,0,0,0,0,0
0.488847,0,0,0,0,0
0.490363,0,0,0,0,0
0.491871,0,0,0,0,0
0.493412,0,0,0,0,0
0.494961,0,0,0,0,0
0.496714,0,0,0,0,0
0.498340,0,0,0,0,0
0.500107,0,0,0,0,0
0.501716,0,0,0,0,0
0.503482,0,0,0,0,0
0.505284,0,0,0,0,0
0.507087,0,0,0,0,0
0.508780,0,0,0,0,0
0.510340,0,0,0,0,0
0.511951,0,0,0,0,0
0.513505,0,0,0,0,0
0.515056,0,0,0,0,0
0.516672,0,0,0,0,0
0.518225,0,0,0,0,0
0.520617,0,0,0,0,0
0.522317,0,0,0,0,0
0.523861,0,0,0,0,0
0.525606,0,0,0,0,0
0.527329,0,0,0,0,0
0.528909,0,0,0,0,0
0.530578,0,0,0,0,0
0.532132,0,0,0,0,0
0.533689,0,0,0,0,0
0.535230,0,0,0,0,0
0.536771,0,0,0,0,0
0.538368,0,0,0,0,0
0.539911,0,0,0,0,0
0.541487,0,0,0,0,0
0.543461,0,0,0,0,0
0.544943,0,0,0,0,0
0.546422,0,0,0,0,0
0.547897,0,0,0,0,0
0.549568,0,0,0,0,0
0.551284,0,0,0,0,0
0.552834,0,0,0,0,0
0.554514,0,0,0,0,0
0.556231,0,0,0,0,0
0.558017,0,0,0,0,0
0.559735,0,0,0,0,0
0.561455,0,0,0,0,0
0.563296,0,0,0,0,0
0.565075,0,0,0,0,0
0.566795,0,0,0,0,0
0.568509,0,0,0,0,0
0.570227,0,0,0,0,0
0.572036,0,0,0,0,0
0.573593,0,0,0,0,0
0.575270,0,0,0,0,0
0.576984,0,0,0,0,0
0.578646,0,0,0,0,0
0.580319,0,0,0,0,0
0.582037,0,0,0,0,0
0.583573,0,0,0,0,0
0.585084,0,0,0,0,0
0.587016,0,0,0,0,0
0.588882,0,0,0,0,0
0.590492,0,0,0,0,0
0.592194,0,0,0,0,0
0.593806,0,0,0,0,0
0.595383,0,0,0,0,0
0.597140,0,0,0,0,0
0.598711,0,0,0,0,0
0.600264,0,0,0,0,0
0.601860,0,0,0,0,0
0.603412,0,0,0,0,0
0.605030,0,0,0,0,0
0.606724,0,0,0,0,0
0.608482,0,0,0,0,0
0.610291,0,0,0,0,0
0.612096,0,0,0,0,0
0.613906,0,0,0,0,0
0.615712,0,0,0,0,0
0.617542,0,0,0,0,0
0.619348,0,0,0,0,0
0.621229,0,0,0,0,0
0.624362,0,0,0,0,0
0.626015,0,0,0,0,0
0.627595,0,0,0,0,0
0.629227,0,0,0,0,0
0.630787,0,0,0,0,0
0.632337,0,0,0,0,0
0.633891,0,0,0,0,0
0.635442,0,0,0,0,0
0.637278,0,0,0,0,0
0.638913,0,0,0,0,0
0.640679,0,0,0,0,0
0.642486,0,0,0,0,0
0.644104,0,0,0,0,0
0.645679,0,0,0,0,0
0.647236,0,0,0,0,0
0.648788,0,0,0,0,0
0.650360,0,0,0,0,0
0.651913,0,0,0,0,0
0.653677,0,0,0,0,0
0.655470,0,0,0,0,0
0.657259,0,0,0,0,0
