elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.342546,0,0,0,0,0,0
0.343852,0,0,0,0,0,0
0.345142,0,0,0,0,0,0
0.346433,0,0,0,0,0,0
0.347724,0,0,0,0,0,0
0.349127,0,0,0,0,0,0
0.350640,0,0,0,0,0,0
0.351942,0,0,0,0,0,0
0.353237,0,0,0,0,0,0
0.354691,0,0,0,0,0,0
0.356045,0,0,0,0,0,0
0.357342,0,0,0,0,0,0
0.358636,0,0,0,0,0,0
0.359933,0,0,0,0,0,0
0.361265,0,0,0,0,0,0
0.362847,0,0,0,0,0,0
0.364150,0,0,0,0,0,0
0.365680,0,0,0,0,0,0
0.367008,0,0,0,0,0,0
0.368302,0,0,0,0,0,0
0.369600,0,0,0,0,0,0
0.371021,0,0,0,0,0,0
0.372481,0,0,0,0,0,0
0.373774,0,0,0,0,0,0
0.375069,0,0,0,0,0,0
0.376479,0,0,0,0,0,0
0.377774,0,0,0,0,0,0
0.379060,0,0,0,0,0,0
0.380346,0,0,0,0,0,0
0.381636,0,0,0,0,0,0
0.382923,0,0,0,0,0,0
0.384210,0,0,0,0,0,0
0.385498,0,0,0,0,0,0
0.386784,0,0,0,0,0,0
0.388068,0,0,0,0,0,0
0.389401,0,0,0,0,0,0
0.390687,0,0,0,0,0,0
0.391971,0,0,0,0,0,0
0.393256,0,0,0,0,0,0
0.394544,0,0,0,0,0,0
0.395829,0,0,0,0,0,0
0.397159,0,0,0,0,0,0
0.402535,0,0,0,0,0,0
0.404677,0,0,0,0,0,0
0.406199,0,0,0,0,0,0
0.407537,0,0,0,0,0,0
0.408842,0,0,0,0,0,0
0.410370,0,0,0,0,0,0
0.411759,0,0,0,0,0,0
0.413108,0,0,0,0,0,0
0.414745,0,0,0,0,0,0
0.416087,0,0,0,0,0,0
0.417588,0,0,0,0,0,0
0.419004,0,0,0,0,0,0
0.420378,0,0,0,0,0,0
0.421783,0,0,0,0,0,0
0.423274,0,0,0,0,0,0
0.424597,0,0,0,0,0,0
