elapsed_s,HLSQ_L2STC_REQ_INS_HLSQ,HLSQ_L2STC_REQ_INS_HLSQ_HIT,HLSQ_L2STC_REQ_INS_SP,HLSQ_L2STC_REQ_INS_SP_HIT,HLSQ_L2STC_REQ_UCHE,HLSQ_L2STC_LATENCY_CYCLES
0.352899,0,0,0,0,0,0
0.354078,0,0,0,0,0,0
0.355258,0,0,0,0,0,0
0.356644,0,0,0,0,0,0
0.357849,0,0,0,0,0,0
0.359036,0,0,0,0,0,0
0.360380,0,0,0,0,0,0
0.361740,0,0,0,0,0,0
0.362916,0,0,0,0,0,0
0.364094,0,0,0,0,0,0
0.365275,0,0,0,0,0,0
0.366453,0,0,0,0,0,0
0.367750,0,0,0,0,0,0
0.368926,0,0,0,0,0,0
0.370097,0,0,0,0,0,0
0.371265,0,0,0,0,0,0
0.372491,0,0,0,0,0,0
0.373661,0,0,0,0,0,0
0.374829,0,0,0,0,0,0
0.375998,0,0,0,0,0,0
0.377560,0,0,0,0,0,0
0.378785,0,0,0,0,0,0
0.380035,0,0,0,0,0,0
0.381215,0,0,0,0,0,0
0.382386,0,0,0,0,0,0
0.383556,0,0,0,0,0,0
0.384728,0,0,0,0,0,0
0.385898,0,0,0,0,0,0
0.387257,0,0,0,0,0,0
0.389141,0,0,0,0,0,0
0.390611,0,0,0,0,0,0
0.391976,0,0,0,0,0,0
0.393370,0,0,0,0,0,0
0.394741,0,0,0,0,0,0
0.395989,0,0,0,0,0,0
0.397166,0,0,0,0,0,0
0.398378,0,0,0,0,0,0
0.400004,0,0,0,0,0,0
0.401448,0,0,0,0,0,0
0.402633,0,0,0,0,0,0
0.403870,0,0,0,0,0,0
0.405218,0,0,0,0,0,0
0.406714,0,0,0,0,0,0
0.407892,0,0,0,0,0,0
0.409071,0,0,0,0,0,0
0.410242,0,0,0,0,0,0
0.411423,0,0,0,0,0,0
0.412659,0,0,0,0,0,0
0.413829,0,0,0,0,0,0
0.414999,0,0,0,0,0,0
0.416359,0,0,0,0,0,0
0.417896,0,0,0,0,0,0
0.419281,0,0,0,0,0,0
0.420866,0,0,0,0,0,0
0.422142,0,0,0,0,0,0
0.423370,0,0,0,0,0,0
0.424582,0,0,0,0,0,0
0.425757,0,0,0,0,0,0
0.426974,0,0,0,0,0,0
0.428218,0,0,0,0,0,0
0.429393,0,0,0,0,0,0
0.430753,0,0,0,0,0,0
0.432145,0,0,0,0,0,0
0.433544,0,0,0,0,0,0
0.434937,0,0,0,0,0,0
0.436395,0,0,0,0,0,0
0.437937,0,0,0,0,0,0
0.439330,0,0,0,0,0,0
0.440728,0,0,0,0,0,0
0.442116,0,0,0,0,0,0
0.443331,0,0,0,0,0,0
0.444600,0,0,0,0,0,0
0.445980,0,0,0,0,0,0
0.447163,0,0,0,0,0,0
0.449455,0,0,0,0,0,0
0.450637,0,0,0,0,0,0
0.451827,0,0,0,0,0,0
0.453114,0,0,0,0,0,0
0.454520,0,0,0,0,0,0
0.455749,0,0,0,0,0,0
0.457449,0,0,0,0,0,0
0.458662,0,0,0,0,0,0
0.459864,0,0,0,0,0,0
0.461098,0,0,0,0,0,0
0.462270,0,0,0,0,0,0
0.463425,0,0,0,0,0,0
0.464610,0,0,0,0,0,0
0.465769,0,0,0,0,0,0
0.466920,0,0,0,0,0,0
0.468105,0,0,0,0,0,0
0.469423,0,0,0,0,0,0
0.470599,0,0,0,0,0,0
0.471774,0,0,0,0,0,0
0.472944,0,0,0,0,0,0
0.474658,0,0,0,0,0,0
0.475858,0,0,0,0,0,0
0.477206,0,0,0,0,0,0
0.478385,0,0,0,0,0,0
0.479556,0,0,0,0,0,0
0.480724,0,0,0,0,0,0
0.481892,0,0,0,0,0,0
0.483067,0,0,0,0,0,0
0.484295,0,0,0,0,0,0
0.485462,0,0,0,0,0,0
0.486971,0,0,0,0,0,0
0.488142,0,0,0,0,0,0
0.489313,0,0,0,0,0,0
0.490483,0,0,0,0,0,0
