elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.312172,0,0,0,0,0,0,0,0
0.313744,0,0,0,0,0,0,0,0
0.315314,0,0,0,0,0,0,0,0
0.316906,0,0,0,0,0,0,0,0
0.318477,0,0,0,0,0,0,0,0
0.320050,0,0,0,0,0,0,0,0
0.321621,0,0,0,0,0,0,0,0
0.323192,0,0,0,0,0,0,0,0
0.324768,0,0,0,0,0,0,0,0
0.326339,0,0,0,0,0,0,0,0
0.327925,0,0,0,0,0,0,0,0
0.329498,0,0,0,0,0,0,0,0
0.331069,0,0,0,0,0,0,0,0
0.332603,0,0,0,0,0,0,0,0
0.334145,0,0,0,0,0,0,0,0
0.335719,0,0,0,0,0,0,0,0
0.337291,0,0,0,0,0,0,0,0
0.338874,0,0,0,0,0,0,0,0
0.340490,0,0,0,0,0,0,0,0
0.342045,0,0,0,0,0,0,0,0
0.343463,0,0,0,0,0,0,0,0
0.344872,0,0,0,0,0,0,0,0
0.346280,0,0,0,0,0,0,0,0
0.347689,0,0,0,0,0,0,0,0
0.349147,0,0,0,0,0,0,0,0
0.350684,0,0,0,0,0,0,0,0
0.352255,0,0,0,0,0,0,0,0
0.353829,0,0,0,0,0,0,0,0
0.355402,0,0,0,0,0,0,0,0
0.356974,0,0,0,0,0,0,0,0
0.358546,0,0,0,0,0,0,0,0
0.360133,0,0,0,0,0,0,0,0
0.361706,0,0,0,0,0,0,0,0
0.363275,0,0,0,0,0,0,0,0
0.364853,0,0,0,0,0,0,0,0
0.366423,0,0,0,0,0,0,0,0
0.367996,0,0,0,0,0,0,0,0
0.369568,0,0,0,0,0,0,0,0
0.371152,0,0,0,0,0,0,0,0
0.372730,0,0,0,0,0,0,0,0
0.374301,0,0,0,0,0,0,0,0
0.375874,0,0,0,0,0,0,0,0
0.377457,0,0,0,0,0,0,0,0
0.378922,0,0,0,0,0,0,0,0
0.380511,0,0,0,0,0,0,0,0
0.381971,0,0,0,0,0,0,0,0
0.383512,0,0,0,0,0,0,0,0
0.385084,0,0,0,0,0,0,0,0
0.386653,0,0,0,0,0,0,0,0
0.388268,0,0,0,0,0,0,0,0
0.389839,0,0,0,0,0,0,0,0
0.391412,0,0,0,0,0,0,0,0
0.392998,0,0,0,0,0,0,0,0
0.394568,0,0,0,0,0,0,0,0
0.396185,0,0,0,0,0,0,0,0
0.397757,0,0,0,0,0,0,0,0
0.399327,0,0,0,0,0,0,0,0
0.400776,0,0,0,0,0,0,0,0
0.402193,0,0,0,0,0,0,0,0
0.403749,0,0,0,0,0,0,0,0
0.405322,0,0,0,0,0,0,0,0
0.406895,0,0,0,0,0,0,0,0
0.408467,0,0,0,0,0,0,0,0
0.410040,0,0,0,0,0,0,0,0
0.411613,0,0,0,0,0,0,0,0
0.413231,0,0,0,0,0,0,0,0
0.414690,0,0,0,0,0,0,0,0
0.416108,0,0,0,0,0,0,0,0
0.417645,0,0,0,0,0,0,0,0
0.419208,0,0,0,0,0,0,0,0
0.420737,0,0,0,0,0,0,0,0
0.422151,0,0,0,0,0,0,0,0
0.423691,0,0,0,0,0,0,0,0
0.425270,0,0,0,0,0,0,0,0
0.426833,0,0,0,0,0,0,0,0
0.428315,0,0,0,0,0,0,0,0
0.429856,0,0,0,0,0,0,0,0
0.434028,0,0,0,0,0,0,0,0
0.435532,0,0,0,0,0,0,0,0
0.436999,0,0,0,0,0,0,0,0
0.438409,0,0,0,0,0,0,0,0
0.439818,0,0,0,0,0,0,0,0
0.441226,0,0,0,0,0,0,0,0
0.442632,0,0,0,0,0,0,0,0
0.444075,0,0,0,0,0,0,0,0
0.445494,0,0,0,0,0,0,0,0
0.446901,0,0,0,0,0,0,0,0
0.448309,0,0,0,0,0,0,0,0
0.449716,0,0,0,0,0,0,0,0
0.451122,0,0,0,0,0,0,0,0
0.452660,0,0,0,0,0,0,0,0
0.454229,0,0,0,0,0,0,0,0
0.455816,0,0,0,0,0,0,0,0
0.457386,0,0,0,0,0,0,0,0
0.458956,0,0,0,0,0,0,0,0
0.460571,0,0,0,0,0,0,0,0
0.462144,0,0,0,0,0,0,0,0
0.463717,0,0,0,0,0,0,0,0
0.465289,0,0,0,0,0,0,0,0
0.466874,0,0,0,0,0,0,0,0
0.468489,0,0,0,0,0,0,0,0
0.470061,0,0,0,0,0,0,0,0
0.471634,0,0,0,0,0,0,0,0
0.473205,0,0,0,0,0,0,0,0
0.474774,0,0,0,0,0,0,0,0
0.476427,0,0,0,0,0,0,0,0
0.478013,0,0,0,0,0,0,0,0
0.479585,0,0,0,0,0,0,0,0
0.481154,0,0,0,0,0,0,0,0
0.482723,0,0,0,0,0,0,0,0
0.484417,0,0,0,0,0,0,0,0
0.485991,0,0,0,0,0,0,0,0
0.487567,0,0,0,0,0,0,0,0
0.489154,0,0,0,0,0,0,0,0
0.490726,0,0,0,0,0,0,0,0
0.492343,0,0,0,0,0,0,0,0
0.493918,0,0,0,0,0,0,0,0
0.495492,0,0,0,0,0,0,0,0
0.496987,0,0,0,0,0,0,0,0
0.498404,0,0,0,0,0,0,0,0
0.500000,0,0,0,0,0,0,0,0
0.501574,0,0,0,0,0,0,0,0
0.503147,0,0,0,0,0,0,0,0
0.504725,0,0,0,0,0,0,0,0
0.506297,0,0,0,0,0,0,0,0
0.507915,0,0,0,0,0,0,0,0
0.509490,0,0,0,0,0,0,0,0
0.511076,0,0,0,0,0,0,0,0
0.512612,0,0,0,0,0,0,0,0
0.514154,0,0,0,0,0,0,0,0
0.515728,0,0,0,0,0,0,0,0
0.517302,0,0,0,0,0,0,0,0
0.518873,0,0,0,0,0,0,0,0
0.520447,0,0,0,0,0,0,0,0
0.522035,0,0,0,0,0,0,0,0
0.523609,0,0,0,0,0,0,0,0
0.525227,0,0,0,0,0,0,0,0
0.526799,0,0,0,0,0,0,0,0
0.528372,0,0,0,0,0,0,0,0
0.529946,0,0,0,0,0,0,0,0
0.531522,0,0,0,0,0,0,0,0
0.533156,0,0,0,0,0,0,0,0
0.534729,0,0,0,0,0,0,0,0
0.536302,0,0,0,0,0,0,0,0
0.537876,0,0,0,0,0,0,0,0
0.539452,0,0,0,0,0,0,0,0
0.541027,0,0,0,0,0,0,0,0
0.542599,0,0,0,0,0,0,0,0
0.544186,0,0,0,0,0,0,0,0
0.545760,0,0,0,0,0,0,0,0
0.547331,0,0,0,0,0,0,0,0
0.548948,0,0,0,0,0,0,0,0
0.550521,0,0,0,0,0,0,0,0
0.552094,0,0,0,0,0,0,0,0
0.553657,0,0,0,0,0,0,0,0
0.555233,0,0,0,0,0,0,0,0
0.556703,0,0,0,0,0,0,0,0
0.558245,0,0,0,0,0,0,0,0
0.559817,0,0,0,0,0,0,0,0
0.561389,0,0,0,0,0,0,0,0
0.562961,0,0,0,0,0,0,0,0
0.564577,0,0,0,0,0,0,0,0
0.566163,0,0,0,0,0,0,0,0
0.567735,0,0,0,0,0,0,0,0
0.569307,0,0,0,0,0,0,0,0
0.570878,0,0,0,0,0,0,0,0
0.572493,0,0,0,0,0,0,0,0
0.574066,0,0,0,0,0,0,0,0
0.575639,0,0,0,0,0,0,0,0
0.577225,0,0,0,0,0,0,0,0
0.578795,0,0,0,0,0,0,0,0
0.580409,0,0,0,0,0,0,0,0
0.582066,0,0,0,0,0,0,0,0
0.583639,0,0,0,0,0,0,0,0
0.585210,0,0,0,0,0,0,0,0
0.586780,0,0,0,0,0,0,0,0
0.588409,0,0,0,0,0,0,0,0
0.589981,0,0,0,0,0,0,0,0
0.591555,0,0,0,0,0,0,0,0
0.593127,0,0,0,0,0,0,0,0
0.594696,0,0,0,0,0,0,0,0
0.596312,0,0,0,0,0,0,0,0
0.598134,0,0,0,0,0,0,0,0
0.599724,0,0,0,0,0,0,0,0
