elapsed_s,HLSQ_BV2LPAC_SWITCH_CNT,HLSQ_LPAC2BV_SWITCH_CYC,HLSQ_BV2LPAC_SWITCH_CYC,HLSQ_VSDP_BV2BR_SWITCH_CYC,HLSQ_VS_SP_HCTX_ACTIVE_CNT,HLSQ_FS_SP_HCTX_ACTIVE_CNT
0.847636,0,0,0,0,0,0
0.849198,0,0,0,0,0,0
0.850759,0,0,0,0,0,0
0.852344,0,0,0,0,0,0
0.853915,0,0,0,0,0,0
0.855479,0,0,0,0,0,0
0.857041,0,0,0,0,0,0
0.858603,0,0,0,0,0,0
0.860181,0,0,0,0,0,0
0.861583,0,0,0,0,0,0
0.863113,0,0,0,0,0,0
0.864561,0,0,0,0,0,0
0.866135,0,0,0,0,0,0
0.867697,0,0,0,0,0,0
0.869260,0,0,0,0,0,0
0.870862,0,0,0,0,0,0
0.872415,0,0,0,0,0,0
0.874008,0,0,0,0,0,0
0.875449,0,0,0,0,0,0
0.877015,0,0,0,0,0,0
0.878574,0,0,0,0,0,0
0.880138,0,0,0,0,0,0
0.881697,0,0,0,0,0,0
0.883259,0,0,0,0,0,0
0.884820,0,0,0,0,0,0
0.886390,0,0,0,0,0,0
0.887951,0,0,0,0,0,0
0.889512,0,0,0,0,0,0
0.891118,0,0,0,0,0,0
0.892679,0,0,0,0,0,0
0.894237,0,0,0,0,0,0
0.895797,0,0,0,0,0,0
0.897368,0,0,0,0,0,0
0.899069,0,0,0,0,0,0
0.900579,0,0,0,0,0,0
0.901992,0,0,0,0,0,0
0.903393,0,0,0,0,0,0
0.904787,0,0,0,0,0,0
0.906220,0,0,0,0,0,0
0.907625,0,0,0,0,0,0
0.909143,0,0,0,0,0,0
0.910695,0,0,0,0,0,0
0.912295,0,0,0,0,0,0
0.913898,0,0,0,0,0,0
0.915462,0,0,0,0,0,0
0.917024,0,0,0,0,0,0
0.918595,0,0,0,0,0,0
0.920183,0,0,0,0,0,0
0.921785,0,0,0,0,0,0
0.923349,0,0,0,0,0,0
0.924910,0,0,0,0,0,0
0.926469,0,0,0,0,0,0
0.928122,0,0,0,0,0,0
0.929693,0,0,0,0,0,0
0.931257,0,0,0,0,0,0
0.932819,0,0,0,0,0,0
