elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.480968,0,0,0,0,0,0
0.482366,0,0,0,0,0,0
0.483893,0,0,0,0,0,0
0.485457,0,0,0,0,0,0
0.486908,0,0,0,0,0,0
0.488482,0,0,0,0,0,0
0.490045,0,0,0,0,0,0
0.491608,0,0,0,0,0,0
0.493171,0,0,0,0,0,0
0.494732,0,0,0,0,0,0
0.496335,0,0,0,0,0,0
0.497913,0,0,0,0,0,0
0.499475,0,0,0,0,0,0
0.501039,0,0,0,0,0,0
0.502592,0,0,0,0,0,0
0.504185,0,0,0,0,0,0
0.505615,0,0,0,0,0,0
0.507147,0,0,0,0,0,0
0.508593,0,0,0,0,0,0
0.510126,0,0,0,0,0,0
0.511686,0,0,0,0,0,0
0.513291,0,0,0,0,0,0
0.514851,0,0,0,0,0,0
0.516409,0,0,0,0,0,0
0.517970,0,0,0,0,0,0
0.519542,0,0,0,0,0,0
0.521105,0,0,0,0,0,0
0.522665,0,0,0,0,0,0
0.524224,0,0,0,0,0,0
0.525785,0,0,0,0,0,0
0.527345,0,0,0,0,0,0
0.528905,0,0,0,0,0,0
0.530480,0,0,0,0,0,0
0.532039,0,0,0,0,0,0
0.533602,0,0,0,0,0,0
0.535163,0,0,0,0,0,0
0.536765,0,0,0,0,0,0
0.538207,0,0,0,0,0,0
0.539619,0,0,0,0,0,0
0.541037,0,0,0,0,0,0
0.542458,0,0,0,0,0,0
0.543847,0,0,0,0,0,0
0.545379,0,0,0,0,0,0
0.546779,0,0,0,0,0,0
0.548168,0,0,0,0,0,0
0.549558,0,0,0,0,0,0
0.550946,0,0,0,0,0,0
0.552395,0,0,0,0,0,0
0.553759,0,0,0,0,0,0
0.555123,0,0,0,0,0,0
0.556486,0,0,0,0,0,0
0.557850,0,0,0,0,0,0
0.559214,0,0,0,0,0,0
0.560610,0,0,0,0,0,0
0.561959,0,0,0,0,0,0
0.563314,0,0,0,0,0,0
0.564662,0,0,0,0,0,0
0.566010,0,0,0,0,0,0
0.567358,0,0,0,0,0,0
0.568736,0,0,0,0,0,0
0.570072,0,0,0,0,0,0
0.571445,0,0,0,0,0,0
0.572815,0,0,0,0,0,0
0.574147,0,0,0,0,0,0
0.575568,0,0,0,0,0,0
0.576999,0,0,0,0,0,0
0.578419,0,0,0,0,0,0
0.579837,0,0,0,0,0,0
0.581267,0,0,0,0,0,0
0.582687,0,0,0,0,0,0
0.584026,0,0,0,0,0,0
0.585471,0,0,0,0,0,0
0.586883,0,0,0,0,0,0
0.588289,0,0,0,0,0,0
0.589814,0,0,0,0,0,0
0.591216,0,0,0,0,0,0
0.592596,0,0,0,0,0,0
0.593991,0,0,0,0,0,0
0.595392,0,0,0,0,0,0
0.597097,0,0,0,0,0,0
0.598587,0,0,0,0,0,0
0.600034,0,0,0,0,0,0
0.601426,0,0,0,0,0,0
0.602822,0,0,0,0,0,0
0.604236,0,0,0,0,0,0
0.605629,0,0,0,0,0,0
0.607041,0,0,12,0,0,2
0.608504,0,0,0,0,0,0
0.609912,0,0,0,0,0,0
0.611310,0,0,0,0,0,0
0.612707,0,0,0,0,0,0
0.614190,0,0,0,0,0,0
0.615585,0,0,0,0,0,0
0.617015,0,0,0,0,0,0
0.618421,0,0,0,0,0,0
0.620047,0,0,0,0,0,0
0.621644,0,0,0,0,0,0
0.623041,0,0,0,0,0,0
0.624533,0,0,0,0,0,0
0.628716,0,0,0,0,0,0
0.630219,0,0,0,0,0,0
0.631614,0,0,0,0,0,0
0.633092,0,0,0,0,0,0
0.634484,0,0,0,0,0,0
0.635815,0,0,0,0,0,0
0.637141,0,0,0,0,0,0
0.638463,0,0,0,0,0,0
0.639785,0,0,0,0,0,0
0.641201,0,0,0,0,0,0
0.642592,0,0,0,0,0,0
0.644108,0,0,0,0,0,0
0.645538,0,0,0,0,0,0
0.647073,0,0,0,0,0,0
0.648674,0,0,0,0,0,0
0.650239,0,0,0,0,0,0
0.651685,0,0,0,0,0,0
0.653218,0,0,0,0,0,0
0.654781,0,0,0,0,0,0
0.656382,0,0,0,0,0,0
0.657942,0,0,0,0,0,0
0.659502,0,0,0,0,0,0
0.661063,0,0,0,0,0,0
0.662638,0,0,0,0,0,0
0.664239,0,0,0,0,0,0
0.665802,0,0,0,0,0,0
0.667362,0,0,0,0,0,0
0.668922,0,0,0,0,0,0
0.670528,0,0,0,0,0,0
0.672128,0,0,0,0,0,0
0.673704,0,0,0,0,0,0
0.675264,0,0,0,0,0,0
0.676823,0,0,0,0,0,0
0.678388,0,0,0,0,0,0
0.679988,0,0,0,0,0,0
0.681551,0,0,0,0,0,0
0.683111,0,0,0,0,0,0
0.684683,0,0,0,0,0,0
0.686248,0,0,0,0,0,0
0.687807,0,0,0,0,0,0
0.689413,0,0,0,0,0,0
0.690973,0,0,0,0,0,0
0.692532,0,0,0,0,0,0
0.694092,0,0,0,0,0,0
0.695665,0,0,0,0,0,0
0.697271,0,0,0,0,0,0
0.698830,0,0,0,0,0,0
0.700389,0,0,0,0,0,0
0.701947,0,0,0,0,0,0
0.703507,0,0,0,0,0,0
0.705044,0,0,0,0,0,0
0.706708,0,0,0,0,0,0
0.708269,0,0,0,0,0,0
0.709831,0,0,0,0,0,0
0.711383,0,0,0,0,0,0
0.712935,0,0,0,0,0,0
0.714647,0,0,0,0,0,0
0.716207,0,0,0,0,0,0
0.717778,0,0,0,0,0,0
0.719827,0,0,0,0,0,0
0.721286,0,0,0,0,0,0
0.722681,0,0,0,0,0,0
0.724071,0,0,0,0,0,0
0.725461,0,0,0,0,0,0
0.726851,0,0,0,0,0,0
0.728300,0,0,0,0,0,0
0.729666,0,0,0,0,0,0
0.731030,0,0,0,0,0,0
0.732393,0,0,0,0,0,0
0.733757,0,0,0,0,0,0
0.735121,0,0,0,0,0,0
0.736518,0,0,0,0,0,0
0.737867,0,0,0,0,0,0
0.739221,0,0,0,0,0,0
0.740569,0,0,0,0,0,0
0.741917,0,0,0,0,0,0
0.743265,0,0,0,0,0,0
0.744641,0,0,0,0,0,0
0.746091,0,0,0,0,0,0
0.747465,0,0,0,0,0,0
0.748835,0,0,0,0,0,0
0.750208,0,0,0,0,0,0
0.751577,0,0,0,0,0,0
0.752965,0,0,0,0,0,0
0.754337,0,0,0,0,0,0
0.755706,0,0,0,0,0,0
0.757075,0,0,0,0,0,0
0.758443,0,0,0,0,0,0
0.759812,0,0,0,0,0,0
0.761341,0,0,0,0,0,0
0.763154,0,0,0,0,0,0
0.764562,0,0,0,0,0,0
0.765964,0,0,0,0,0,0
0.767370,0,0,0,0,0,0
0.768822,0,0,0,0,0,0
0.771677,0,0,0,0,0,0
0.773381,0,0,0,0,0,0
0.774782,0,0,0,0,0,0
0.776228,0,0,0,0,0,0
0.777624,0,0,0,0,0,0
0.779017,0,0,0,0,0,0
0.780408,0,0,0,0,0,0
0.781802,0,0,0,0,0,0
0.783208,0,0,12,0,0,2
0.784627,0,0,0,0,0,0
0.786150,0,0,0,0,0,0
0.787545,0,0,0,0,0,0
0.788940,0,0,0,0,0,0
0.790335,0,0,0,0,0,0
0.791731,0,0,0,0,0,0
0.793166,0,0,0,0,0,0
0.794589,0,0,0,0,0,0
0.796746,0,0,0,0,0,0
0.798176,0,0,0,0,0,0
0.799565,0,0,0,0,0,0
0.801100,0,0,0,0,0,0
0.802521,0,0,0,0,0,0
0.803907,0,0,0,0,0,0
0.805304,0,0,0,0,0,0
0.806690,0,0,0,0,0,0
0.808119,0,0,0,0,0,0
0.809684,0,0,0,0,0,0
0.811079,0,0,0,0,0,0
0.812469,0,0,0,0,0,0
0.813861,0,0,0,0,0,0
0.815250,0,0,0,0,0,0
0.816687,0,0,0,0,0,0
0.818185,0,0,0,0,0,0
0.819576,0,0,0,0,0,0
0.821020,0,0,0,0,0,0
0.822410,0,0,0,0,0,0
0.823824,0,0,0,0,0,0
0.825252,0,0,0,0,0,0
0.826786,0,0,0,0,0,0
0.828344,0,0,0,0,0,0
0.829905,0,0,0,0,0,0
0.831465,0,0,0,0,0,0
0.833027,0,0,0,0,0,0
0.834565,0,0,0,0,0,0
0.835969,0,0,0,0,0,0
0.837380,0,0,0,0,0,0
0.838780,0,0,0,0,0,0
0.840217,0,0,0,0,0,0
0.841615,0,0,0,0,0,0
0.843016,0,0,0,0,0,0
0.844542,0,0,0,0,0,0
0.846105,0,0,0,0,0,0
0.847679,0,0,0,0,0,0
0.849284,0,0,0,0,0,0
0.850846,0,0,0,0,0,0
0.852404,0,0,0,0,0,0
0.853966,0,0,0,0,0,0
0.855529,0,0,0,0,0,0
0.857093,0,0,0,0,0,0
0.858667,0,0,0,0,0,0
0.860228,0,0,0,0,0,0
0.861791,0,0,0,0,0,0
0.863354,0,0,0,0,0,0
0.864916,0,0,0,0,0,0
0.866344,0,0,0,0,0,0
0.867876,0,0,0,0,0,0
0.869327,0,0,0,0,0,0
0.870861,0,0,0,0,0,0
0.872464,0,0,0,0,0,0
0.874066,0,0,0,0,0,0
0.875625,0,0,0,0,0,0
0.877066,0,0,0,0,0,0
0.878476,0,0,0,0,0,0
0.879927,0,0,0,0,0,0
0.881330,0,0,0,0,0,0
0.882729,0,0,0,0,0,0
0.885473,0,0,0,0,0,0
0.887023,0,0,0,0,0,0
0.888429,0,0,0,0,0,0
0.889781,0,0,0,0,0,0
0.891150,0,0,0,0,0,0
0.892501,0,0,0,0,0,0
0.893849,0,0,0,0,0,0
0.895198,0,0,0,0,0,0
0.896563,0,0,0,0,0,0
0.897968,0,0,0,0,0,0
0.899491,0,0,0,0,0,0
0.901149,0,0,0,0,0,0
0.902711,0,0,0,0,0,0
0.904304,0,0,0,0,0,0
0.905730,0,0,0,0,0,0
0.907253,0,0,0,0,0,0
0.908804,0,0,0,0,0,0
0.910251,0,0,0,0,0,0
0.911648,0,0,0,0,0,0
0.913096,0,0,0,0,0,0
0.914623,0,0,0,0,0,0
0.916182,0,0,0,0,0,0
0.917744,0,0,0,0,0,0
0.919297,0,0,0,0,0,0
0.920849,0,0,0,0,0,0
0.922450,0,0,0,0,0,0
0.924022,0,0,0,0,0,0
0.925586,0,0,0,0,0,0
0.927148,0,0,0,0,0,0
0.928751,0,0,0,0,0,0
0.930312,0,0,0,0,0,0
0.931864,0,0,0,0,0,0
0.933292,0,0,0,0,0,0
0.934836,0,0,0,0,0,0
0.936439,0,0,0,0,0,0
0.938002,0,0,0,0,0,0
0.939563,0,0,0,0,0,0
0.941127,0,0,0,0,0,0
0.942688,0,0,0,0,0,0
0.944290,0,0,0,0,0,0
0.945866,0,0,0,0,0,0
0.947428,0,0,0,0,0,0
0.948989,0,0,0,0,0,0
0.950548,0,0,0,0,0,0
0.952150,0,0,0,0,0,0
0.953712,0,0,0,0,0,0
0.955272,0,0,0,0,0,0
0.956843,0,0,0,0,0,0
0.958408,0,0,0,0,0,0
0.960009,0,0,0,0,0,0
0.961570,0,0,0,0,0,0
0.963131,0,0,0,0,0,0
0.964688,0,0,0,0,0,0
0.966252,0,0,0,0,0,0
0.967824,0,0,0,0,0,0
0.969428,0,0,0,0,0,0
0.970988,0,0,0,0,0,0
0.972545,0,0,0,0,0,0
0.974105,0,0,0,0,0,0
0.975665,0,0,0,0,0,0
0.977269,0,0,0,0,0,0
0.978842,0,0,0,0,0,0
0.980400,0,0,0,0,0,0
0.981959,0,0,0,0,0,0
0.983518,0,0,0,0,0,0
0.985079,0,0,0,0,0,0
0.986509,0,0,0,0,0,0
0.987938,0,0,0,0,0,0
0.989351,0,0,0,0,0,0
0.990749,0,0,0,0,0,0
0.992188,0,0,0,0,0,0
0.993586,0,0,0,0,0,0
0.995110,0,0,0,0,0,0
0.996668,0,0,0,0,0,0
0.998329,0,0,0,0,0,0
0.999899,0,0,0,0,0,0
1.001459,0,0,0,0,0,0
1.003020,0,0,0,0,0,0
1.004578,0,0,0,0,0,0
1.006138,0,0,0,0,0,0
1.007697,0,0,0,0,0,0
1.009303,0,0,0,0,0,0
1.010877,0,0,0,0,0,0
1.012435,0,0,0,0,0,0
1.013995,0,0,0,0,0,0
1.015555,0,0,0,0,0,0
1.017117,0,0,0,0,0,0
1.018556,0,0,0,0,0,0
1.019955,0,0,0,0,0,0
1.021368,0,0,0,0,0,0
1.022764,0,0,0,0,0,0
1.024289,0,0,0,0,0,0
1.025690,0,0,0,0,0,0
1.027272,0,0,0,0,0,0
1.028833,0,0,0,0,0,0
1.030400,0,0,0,0,0,0
1.032015,0,0,0,0,0,0
1.033579,0,0,0,0,0,0
1.035141,0,0,0,0,0,0
1.036701,0,0,0,0,0,0
1.038267,0,0,0,0,0,0
1.039828,0,0,0,0,0,0
1.041438,0,0,0,0,0,0
1.043013,0,0,0,0,0,0
1.044573,0,0,0,0,0,0
1.046392,0,0,0,0,0,0
1.047995,0,0,0,0,0,0
1.049559,0,0,0,0,0,0
1.051121,0,0,0,0,0,0
1.052682,0,0,0,0,0,0
