elapsed_s,HLSQ_STPROC_L0_INS_LATENCY_CYCLE,HLSQ_STPROC_DPS_RUN_COUNT,HLSQ_STPROC_DPS_RUN_CYCLE,HLSQ_VSDP_BR_QUERY_REQ,HLSQ_VSDP_BV_QUERY_REQ,HLSQ_VSDP_BR_QUERY_REQ_WHEN_BV_PENDING
0.110534,0,0,0,0,0,0
0.111952,0,0,0,0,0,0
0.113376,0,0,0,0,0,0
0.114753,0,0,0,0,0,0
0.116123,0,0,0,0,0,0
0.117494,0,0,0,0,0,0
0.118891,0,0,0,0,0,0
0.120261,0,0,0,0,0,0
0.121644,0,0,0,0,0,0
0.123012,0,0,0,0,0,0
0.124377,0,0,0,0,0,0
0.125780,0,0,0,0,0,0
0.127170,0,0,0,0,0,0
0.128560,0,0,0,0,0,0
0.129960,0,0,0,0,0,0
0.131351,0,0,0,0,0,0
0.132742,0,0,0,0,0,0
0.134168,0,0,0,0,0,0
0.135694,0,0,0,0,0,0
0.137258,0,0,0,0,0,0
0.138820,0,0,0,0,0,0
0.140393,0,0,0,0,0,0
0.142000,0,0,0,0,0,0
0.143562,0,0,0,0,0,0
0.145123,0,0,0,0,0,0
0.146689,0,0,0,0,0,0
0.148250,0,0,0,0,0,0
0.149856,0,0,0,0,0,0
0.151432,0,0,0,0,0,0
0.152991,0,0,0,0,0,0
0.154557,0,0,0,0,0,0
0.156117,0,0,0,0,0,0
0.157725,0,0,0,0,0,0
0.159288,0,0,0,0,0,0
0.160847,0,0,0,0,0,0
0.162362,0,0,0,0,0,0
0.163895,0,0,0,0,0,0
0.165458,0,0,0,0,0,0
0.167064,0,0,0,0,0,0
0.168626,0,0,0,0,0,0
0.170187,0,0,0,0,0,0
0.171749,0,0,0,0,0,0
0.173325,0,0,0,0,0,0
0.174931,0,0,0,0,0,0
0.176491,0,0,0,0,0,0
0.178054,0,0,0,0,0,0
0.179617,0,0,0,0,0,0
0.181177,0,0,0,0,0,0
0.182786,0,0,0,0,0,0
0.184359,0,0,0,0,0,0
0.185922,0,0,0,0,0,0
0.187475,0,0,0,0,0,0
0.189026,0,0,0,0,0,0
0.190594,0,0,0,0,0,0
0.192154,0,0,0,0,0,0
0.193719,0,0,0,0,0,0
0.195300,0,0,0,0,0,0
0.196860,0,0,0,0,0,0
0.198485,0,0,0,0,0,0
0.200047,0,0,0,0,0,0
0.201610,0,0,0,0,0,0
0.203172,0,0,0,0,0,0
0.204731,0,0,0,0,0,0
0.206177,0,0,0,0,0,0
0.207708,0,0,0,0,0,0
0.209272,0,0,0,0,0,0
0.210833,0,0,0,0,0,0
0.212393,0,0,0,0,0,0
0.213999,0,0,0,0,0,0
0.215561,0,0,0,0,0,0
0.217134,0,0,0,0,0,0
0.218694,0,0,0,0,0,0
0.220245,0,0,0,0,0,0
0.221717,0,0,0,0,0,0
0.223248,0,0,0,0,0,0
0.224808,0,0,0,0,0,0
0.226370,0,0,0,0,0,0
0.227947,0,0,0,0,0,0
0.229509,0,0,0,0,0,0
0.231113,0,0,0,0,0,0
0.232672,0,0,0,0,0,0
0.234235,0,0,0,0,0,0
0.235796,0,0,0,0,0,0
0.237359,0,0,0,0,0,0
0.238979,0,0,0,0,0,0
0.240540,0,0,0,0,0,0
0.242102,0,0,0,0,0,0
0.243665,0,0,0,0,0,0
0.245307,0,0,0,0,0,0
0.246851,0,0,0,0,0,0
0.248255,0,0,0,0,0,0
0.249793,0,0,0,0,0,0
0.251346,0,0,0,0,0,0
0.252897,0,0,0,0,0,0
0.254560,0,0,0,0,0,0
0.256119,0,0,0,0,0,0
0.257683,0,0,0,0,0,0
0.259242,0,0,0,0,0,0
0.260815,0,0,0,0,0,0
0.262420,0,0,0,0,0,0
0.263982,0,0,0,0,0,0
0.265545,0,0,0,0,0,0
0.267107,0,0,0,0,0,0
0.268668,0,0,0,0,0,0
0.270275,0,0,0,0,0,0
0.271849,0,0,0,0,0,0
0.273411,0,0,0,0,0,0
0.274973,0,0,0,0,0,0
0.276532,0,0,0,0,0,0
0.278136,0,0,0,0,0,0
0.279699,0,0,0,0,0,0
0.281262,0,0,0,0,0,0
0.282839,0,0,0,0,0,0
0.284400,0,0,0,0,0,0
0.286006,0,0,0,0,0,0
0.287568,0,0,0,0,0,0
0.289128,0,0,0,0,0,0
0.290696,0,0,0,0,0,0
0.292256,0,0,0,0,0,0
0.293877,0,0,0,0,0,0
0.295485,0,0,0,0,0,0
0.297044,0,0,0,0,0,0
0.298547,0,0,0,0,0,0
0.299950,0,0,0,0,0,0
0.301479,0,0,0,0,0,0
0.303085,0,0,0,0,0,0
0.304660,0,0,0,0,0,0
0.306222,0,0,0,0,0,0
0.307783,0,0,0,0,0,0
0.309324,0,0,0,0,0,0
0.310780,0,0,0,0,0,0
0.312307,0,0,0,0,0,0
0.313872,0,0,0,0,0,0
0.315446,0,0,0,0,0,0
0.317006,0,0,0,0,0,0
0.318572,0,0,0,0,0,0
0.320132,0,0,0,0,0,0
0.321695,0,0,0,0,0,0
0.323248,0,0,0,0,0,0
0.324801,0,0,0,0,0,0
0.326285,0,0,0,0,0,0
0.327815,0,0,0,0,0,0
0.329378,0,0,0,0,0,0
0.330938,0,0,0,0,0,0
0.332495,0,0,0,0,0,0
0.334100,0,0,0,0,0,0
0.335660,0,0,0,0,0,0
0.337235,0,0,0,0,0,0
0.338796,0,0,0,0,0,0
0.340354,0,0,0,0,0,0
0.341960,0,0,0,0,0,0
0.343519,0,0,0,0,0,0
0.345078,0,0,0,0,0,0
0.346874,0,0,0,0,0,0
0.348413,0,0,0,0,0,0
0.349887,0,0,0,0,0,0
0.351415,0,0,0,0,0,0
0.352852,0,0,0,0,0,0
0.354387,0,0,0,0,0,0
0.355949,0,0,0,0,0,0
0.357513,0,0,0,0,0,0
0.359133,0,0,0,0,0,0
0.360694,0,0,0,0,0,0
0.362256,0,0,0,0,0,0
0.363818,0,0,0,0,0,0
0.365382,0,0,0,0,0,0
0.366989,0,0,0,0,0,0
0.368550,0,0,0,0,0,0
0.370125,0,0,0,0,0,0
0.371687,0,0,0,0,0,0
0.373250,0,0,0,0,0,0
0.374812,0,0,0,0,0,0
0.376372,0,0,0,0,0,0
0.377936,0,0,0,0,0,0
0.379489,0,0,0,0,0,0
0.381054,0,0,0,0,0,0
0.382603,0,0,0,0,0,0
0.384009,0,0,0,0,0,0
0.385538,0,0,0,0,0,0
0.387100,0,0,0,0,0,0
0.388659,0,0,0,0,0,0
0.390265,0,0,0,0,0,0
0.391841,0,0,0,0,0,0
0.393405,0,0,0,0,0,0
0.394967,0,0,0,0,0,0
0.396426,0,0,0,0,0,0
0.397880,0,0,0,0,0,0
0.399283,0,0,0,0,0,0
0.400682,0,0,0,0,0,0
0.402094,0,0,0,0,0,0
0.403493,0,0,0,0,0,0
0.405020,0,0,0,0,0,0
0.406588,0,0,0,0,0,0
0.408149,0,0,0,0,0,0
0.409713,0,0,0,0,0,0
0.411276,0,0,0,0,0,0
0.412850,0,0,0,0,0,0
0.414492,0,0,0,0,0,0
0.416053,0,0,0,0,0,0
0.417617,0,0,0,0,0,0
0.419179,0,0,0,0,0,0
0.420739,0,0,0,0,0,0
0.422345,0,0,0,0,0,0
0.423921,0,0,0,0,0,0
