elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.549966,0,0,0,0
0.551518,0,0,0,0
0.553069,0,0,0,0
0.554633,0,0,0,0
0.556184,0,0,0,0
0.557733,0,0,0,0
0.559184,0,0,0,0
0.560615,0,0,0,0
0.562133,0,0,0,0
0.563685,0,0,0,0
0.565247,0,0,0,0
0.566799,0,0,0,0
0.568349,0,0,0,0
0.569900,0,0,0,0
0.571971,0,0,0,0
0.573366,0,0,0,0
0.574750,0,0,0,0
0.576279,0,0,0,0
0.577832,0,0,0,0
0.579386,0,0,0,0
0.580937,0,0,0,0
0.582491,0,0,0,0
0.584035,0,0,0,0
0.585575,0,0,0,0
0.587124,0,0,0,0
0.588673,0,0,0,0
0.590226,0,0,0,0
0.591820,0,0,0,0
0.593368,0,0,0,0
0.595538,0,0,0,0
0.596932,0,0,0,0
0.598326,0,0,0,0
0.600208,0,0,0,0
0.601595,0,0,0,0
0.602949,0,0,0,0
0.604326,0,0,0,0
0.605703,0,0,0,0
0.607121,0,0,0,0
0.608555,0,0,0,0
0.609928,0,0,0,0
0.611283,0,0,0,0
0.612637,0,0,0,0
0.613991,0,0,0,0
0.615345,0,0,0,0
0.616698,0,0,0,0
0.618052,0,0,0,0
0.619413,0,0,0,0
0.620766,0,0,0,0
0.622119,0,0,0,0
0.623508,0,0,0,0
0.624922,0,0,0,0
0.626332,0,0,0,0
0.627743,0,0,0,0
0.629153,0,0,0,0
0.630567,0,0,0,0
0.631976,0,0,0,0
0.633386,0,0,0,0
0.634795,0,0,0,0
0.636206,0,0,0,0
0.637616,0,0,0,0
0.639032,0,0,0,0
0.640470,0,0,0,0
0.642001,0,0,0,0
0.643454,0,0,0,0
0.644852,0,0,0,0
0.647209,0,0,0,0
0.648788,0,0,0,0
0.650197,0,0,0,0
0.651610,0,0,0,0
0.652995,0,0,0,0
0.656586,0,0,0,0
0.658011,0,0,0,0
0.659394,0,0,0,0
0.660865,0,0,0,0
0.662234,0,0,0,0
0.663625,0,0,0,0
0.665012,0,0,0,0
0.666492,0,0,0,0
0.667950,0,0,0,0
0.669414,0,0,0,0
0.670798,0,0,0,0
0.672180,0,0,0,0
0.673567,0,0,0,0
0.675032,0,0,0,0
0.676419,0,0,0,0
0.677806,0,0,0,0
0.680616,0,0,0,0
0.682019,0,0,0,0
0.683395,0,0,0,0
0.684780,0,0,0,0
0.686283,0,0,0,0
0.687748,0,0,0,0
0.689159,0,0,0,0
0.690544,0,0,0,0
0.691923,0,0,0,0
0.693304,0,0,0,0
0.694684,0,0,0,0
0.696072,0,0,0,0
0.697452,0,0,0,0
0.698832,0,0,0,0
0.700212,0,0,0,0
0.701592,0,0,0,0
0.702972,0,0,0,0
0.704357,0,0,0,0
0.705874,0,0,0,0
0.707315,0,0,0,0
0.708832,0,0,0,0
0.710426,0,0,0,0
0.711977,0,0,0,0
0.713525,0,0,0,0
0.715079,0,0,0,0
0.716628,0,0,0,0
0.718192,0,0,0,0
0.719787,0,0,0,0
0.721336,0,0,0,0
0.722887,0,0,0,0
0.724436,0,0,0,0
0.725986,0,0,0,0
0.727535,0,0,0,0
0.729097,0,0,0,0
0.730647,0,0,0,0
0.732198,0,0,0,0
0.733746,0,0,0,0
0.735379,0,0,0,0
0.736770,0,0,0,0
0.738288,0,0,0,0
0.739851,0,0,0,0
0.741399,0,0,0,0
0.742950,0,0,0,0
0.744501,0,0,0,0
0.746052,0,0,0,0
0.747603,0,0,0,0
0.749153,0,0,0,0
0.750716,0,0,0,0
0.752267,0,0,0,0
0.753819,0,0,0,0
0.755370,0,0,0,0
0.756918,0,0,0,0
0.758355,0,0,0,0
0.759897,0,0,0,0
0.761332,0,0,0,0
0.762854,0,0,0,0
0.764406,0,0,0,0
0.765957,0,0,0,0
0.767549,0,0,0,0
0.769100,0,0,0,0
0.770650,0,0,0,0
0.772213,0,0,0,0
0.773861,0,0,0,0
0.775282,0,0,0,0
0.776682,0,0,0,0
0.778066,0,0,0,0
0.779444,0,0,0,0
0.780822,0,0,0,0
0.782210,0,0,0,0
0.783628,0,0,0,0
0.785007,0,0,0,0
0.786383,0,0,0,0
0.787762,0,0,0,0
0.789140,0,0,0,0
0.790518,0,0,0,0
0.791897,0,0,0,0
0.793282,0,0,0,0
0.794659,0,0,0,0
0.796037,0,0,0,0
0.797413,0,0,0,0
0.798790,0,0,0,0
0.800217,0,0,0,0
0.801571,0,0,0,0
0.802915,0,0,0,0
0.804275,0,0,0,0
0.805627,0,0,0,0
0.807086,0,0,0,0
0.808439,0,0,0,0
0.809806,0,0,0,0
0.811159,0,0,0,0
0.812512,0,0,0,0
0.814299,0,0,0,0
0.815697,0,0,0,0
0.817039,0,0,0,0
0.818379,0,0,0,0
0.819720,0,0,0,0
0.821061,0,0,0,0
0.822401,0,0,0,0
0.823742,0,0,0,0
0.825080,0,0,0,0
0.826423,0,0,0,0
0.827761,0,0,0,0
0.829100,0,0,0,0
0.830439,0,0,0,0
0.831807,0,0,0,0
0.833218,0,0,0,0
0.834628,0,0,0,0
0.836039,0,0,0,0
0.837458,0,0,0,0
0.838883,0,0,0,0
0.840293,0,0,0,0
0.841726,0,0,0,0
0.843151,0,0,0,0
0.844516,0,0,0,0
0.845934,0,0,0,0
0.847316,0,0,0,0
0.848684,0,0,0,0
0.850094,0,0,0,0
0.851454,0,0,0,0
0.852864,0,0,0,0
0.854220,0,0,0,0
0.855585,0,0,0,0
0.856947,0,0,0,0
0.858309,0,0,0,0
0.859673,0,0,0,0
0.861034,0,0,0,0
0.862443,0,0,0,0
0.863820,0,0,0,0
0.865181,0,0,0,0
0.866581,0,0,0,0
0.867982,0,0,0,0
0.869396,0,0,0,0
0.870809,0,0,0,0
0.872200,0,0,0,0
0.873589,0,0,0,0
0.875086,0,0,0,0
0.876475,0,0,0,0
0.877858,0,0,0,0
0.879240,0,0,0,0
0.880640,0,0,0,0
0.883400,0,0,0,0
0.884782,0,0,0,0
0.886162,0,0,0,0
0.887538,0,0,0,0
0.888995,0,0,0,0
0.890380,0,0,0,0
0.891764,0,0,0,0
0.893154,0,0,0,0
0.894533,0,0,0,0
0.895959,0,0,0,0
0.897337,0,0,0,0
0.898716,0,0,0,0
0.900094,0,0,0,0
0.901474,0,0,0,0
0.902995,0,0,0,0
0.904383,0,0,0,0
0.905893,0,0,0,0
0.907252,0,0,0,0
0.908759,0,0,0,0
0.910450,0,0,0,0
0.912017,0,0,0,0
0.913567,0,0,0,0
0.915134,0,0,0,0
0.916555,0,0,0,0
0.918076,0,0,0,0
0.919627,0,0,0,0
0.921176,0,0,0,0
0.922727,0,0,0,0
0.924278,0,0,0,0
0.925713,0,0,0,0
0.927239,0,0,0,0
0.928835,0,0,0,0
0.930388,0,0,0,0
0.931940,0,0,0,0
0.933488,0,0,0,0
0.935043,0,0,0,0
0.936481,0,0,0,0
0.938005,0,0,0,0
0.939556,0,0,0,0
0.941106,0,0,0,0
0.942657,0,0,0,0
0.944697,0,0,0,0
0.946294,0,0,0,0
0.947852,0,0,0,0
0.949402,0,0,0,0
0.950954,0,0,0,0
0.952505,0,0,0,0
0.954059,0,0,0,0
0.955611,0,0,0,0
0.957161,0,0,0,0
0.958724,0,0,0,0
0.960275,0,0,0,0
0.961828,0,0,0,0
0.963378,0,0,0,0
0.964927,0,0,0,0
0.966481,0,0,0,0
0.968034,0,0,0,0
0.969596,0,0,0,0
0.971127,0,0,0,0
0.972518,0,0,0,0
0.974037,0,0,0,0
0.975633,0,0,0,0
0.977194,0,0,0,0
0.978643,0,0,0,0
0.980057,0,0,0,0
0.981574,0,0,0,0
0.983133,0,0,0,0
0.984912,0,0,0,0
0.986326,0,0,0,0
0.987808,0,0,0,0
0.989348,0,0,0,0
0.990781,0,0,0,0
0.992303,0,0,0,0
0.993910,0,0,0,0
0.995454,0,0,0,0
0.996995,0,0,0,0
0.998411,0,0,0,0
0.999950,0,0,0,0
1.001503,0,0,0,0
1.003146,0,0,0,0
1.004696,0,0,0,0
1.006250,0,0,0,0
1.007847,0,0,0,0
1.009398,0,0,0,0
1.010951,0,0,0,0
1.012516,0,0,0,0
1.014070,0,0,0,0
1.015622,0,0,0,0
1.017171,0,0,0,0
1.018599,0,0,0,0
