elapsed_s,TSE_FE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_FE_VP_OUT_IS_NAN,TSE_FE_EXCLUDED_PRIM,TSE_FE_EARLY_CULL_CLIPPED_PRIM
0.913553,0,0,0,0
0.914892,0,0,0,0
0.916231,0,0,0,0
0.917569,0,0,0,0
0.918908,0,0,0,0
0.920378,0,0,0,0
0.921953,0,0,0,0
0.923507,0,0,0,0
0.925055,0,0,0,0
0.926605,0,0,0,0
0.928155,0,0,0,0
0.929703,0,0,0,0
0.931254,0,0,0,0
0.932693,0,0,0,0
0.934290,0,0,0,0
0.935945,0,0,0,0
0.937539,0,0,0,0
0.938946,0,0,0,0
0.940331,0,0,0,0
0.941712,0,0,0,0
0.943106,0,0,0,0
0.944489,0,0,0,0
0.945843,0,0,0,0
0.947224,0,0,0,0
0.948740,0,0,0,0
0.950291,0,0,0,0
0.951884,0,0,0,0
0.953447,0,0,0,0
0.954999,0,0,0,0
0.956549,0,0,0,0
0.958098,0,0,0,0
0.959652,0,0,0,0
0.961201,0,0,0,0
0.962753,0,0,0,0
0.964317,0,0,0,0
0.965865,0,0,0,0
0.967485,0,0,0,0
0.969079,0,0,0,0
0.970630,0,0,0,0
0.972181,0,0,0,0
0.973730,0,0,0,0
0.975294,0,0,0,0
0.976845,0,0,0,0
0.978397,0,0,0,0
0.979946,0,0,0,0
0.981501,0,0,0,0
0.983054,0,0,0,0
0.984605,0,0,0,0
0.986040,0,0,0,0
0.987563,0,0,0,0
0.988983,0,0,0,0
0.990508,0,0,0,0
0.992059,0,0,0,0
0.993610,0,0,0,0
0.995163,0,0,0,0
0.996729,0,0,0,0
0.998283,0,0,0,0
0.999856,0,0,0,0
1.001503,0,0,0,0
1.002930,0,0,0,0
1.004452,0,0,0,0
1.006004,0,0,0,0
1.007570,0,0,0,0
1.009112,0,0,0,0
1.010533,0,0,0,0
1.012093,0,0,0,0
1.013643,0,0,0,0
1.015194,0,0,0,0
1.016746,0,0,0,0
1.018311,0,0,0,0
1.019860,0,0,0,0
1.021410,0,0,0,0
1.022964,0,0,0,0
1.024512,0,0,0,0
1.026060,0,0,0,0
1.027615,0,0,0,0
1.029178,0,0,0,0
1.030732,0,0,0,0
1.032337,0,0,0,0
1.033783,0,0,0,0
1.035185,0,0,0,0
1.036701,0,0,0,0
1.038253,0,0,0,0
1.039818,0,0,0,0
1.041367,0,0,0,0
1.042919,0,0,0,0
1.044471,0,0,0,0
1.046019,0,0,0,0
1.047572,0,0,0,0
1.049167,0,0,0,0
1.050732,0,0,0,0
1.052281,0,0,0,0
1.053859,0,0,0,0
1.055280,0,0,0,0
1.056801,0,0,0,0
1.058354,0,0,0,0
1.059905,0,0,0,0
1.061468,0,0,0,0
1.063021,0,0,0,0
1.064574,0,0,0,0
1.066122,0,0,0,0
1.067679,0,0,0,0
1.069228,0,0,0,0
1.070781,0,0,0,0
1.072347,0,0,0,0
1.073939,0,0,0,0
1.075495,0,0,0,0
1.077045,0,0,0,0
1.078598,0,0,0,0
1.080193,0,0,0,0
1.081744,0,0,0,0
1.083309,0,0,0,0
1.084860,0,0,0,0
1.086413,0,0,0,0
1.087965,0,0,0,0
1.089514,0,0,0,0
1.091067,0,0,0,0
1.092618,0,0,0,0
1.094181,0,0,0,0
1.095609,0,0,0,0
1.097039,0,0,0,0
1.098423,0,0,0,0
1.099939,0,0,0,0
1.101488,0,0,0,0
1.103041,0,0,0,0
1.104608,0,0,0,0
1.106157,0,0,0,0
1.107679,0,0,0,0
1.109070,0,0,0,0
1.110588,0,0,0,0
1.112184,0,0,0,0
1.113735,0,0,0,0
1.115299,0,0,0,0
1.116851,0,0,0,0
1.118405,0,0,0,0
1.119957,0,0,0,0
1.121508,0,0,0,0
1.123062,0,0,0,0
1.124613,0,0,0,0
1.126174,0,0,0,0
1.127813,0,0,0,0
1.129362,0,0,0,0
1.130915,0,0,0,0
1.132466,0,0,0,0
1.134016,0,0,0,0
1.135569,0,0,0,0
1.137009,0,0,0,0
1.138539,0,0,0,0
1.140090,0,0,0,0
1.141638,0,0,0,0
1.143191,0,0,0,0
1.144743,0,0,0,0
1.146295,0,0,0,0
1.147859,0,0,0,0
1.149409,0,0,0,0
1.150961,0,0,0,0
1.152512,0,0,0,0
1.154061,0,0,0,0
1.155617,0,0,0,0
1.157166,0,0,0,0
1.158731,0,0,0,0
1.160325,0,0,0,0
1.161874,0,0,0,0
1.163374,0,0,0,0
1.164893,0,0,0,0
1.166445,0,0,0,0
1.167996,0,0,0,0
1.169557,0,0,0,0
1.171107,0,0,0,0
1.172657,0,0,0,0
1.174263,0,0,0,0
1.175854,0,0,0,0
1.177403,0,0,0,0
1.178956,0,0,0,0
1.180519,0,0,0,0
1.182068,0,0,0,0
1.183623,0,0,0,0
1.185172,0,0,0,0
1.186725,0,0,0,0
1.188276,0,0,0,0
1.189823,0,0,0,0
1.191255,0,0,0,0
1.192777,0,0,0,0
1.194329,0,0,0,0
1.195880,0,0,0,0
1.197430,0,0,0,0
1.198982,0,0,0,0
1.200532,0,0,0,0
1.202094,0,0,0,0
1.203649,0,0,0,0
1.205199,0,0,0,0
1.206752,0,0,0,0
1.208346,0,0,0,0
1.209896,0,0,0,0
1.211537,0,0,0,0
1.213099,0,0,0,0
1.214635,0,0,0,0
1.216160,0,0,0,0
1.217712,0,0,0,0
1.219264,0,0,0,0
1.220817,0,0,0,0
1.222372,0,0,0,0
1.223981,0,0,0,0
1.225533,0,0,0,0
1.227087,0,0,0,0
1.228638,0,0,0,0
1.230189,0,0,0,0
1.231903,0,0,0,0
1.233453,0,0,0,0
1.235019,0,0,0,0
1.236571,0,0,0,0
1.238122,0,0,0,0
1.239679,0,0,0,0
1.241274,0,0,0,0
1.242827,0,0,0,0
1.244380,0,0,0,0
1.245943,0,0,0,0
1.247500,0,0,0,0
1.249049,0,0,0,0
1.250604,0,0,0,0
1.252156,0,0,0,0
1.253706,0,0,0,0
1.255259,0,0,0,0
1.256825,0,0,0,0
1.258379,0,0,0,0
1.259932,0,0,0,0
1.261482,0,0,0,0
1.263033,0,0,0,0
1.264584,0,0,0,0
1.266134,0,0,0,0
1.267579,0,0,0,0
1.269099,0,0,0,0
1.270650,0,0,0,0
1.272244,0,0,0,0
1.273794,0,0,0,0
1.275347,0,0,0,0
1.276897,0,0,0,0
1.278462,0,0,0,0
1.280013,0,0,0,0
1.281561,0,0,0,0
1.283112,0,0,0,0
1.284663,0,0,0,0
1.286296,0,0,0,0
1.287720,0,0,0,0
1.289120,0,0,0,0
1.290638,0,0,0,0
1.292188,0,0,0,0
1.293737,0,0,0,0
1.295287,0,0,0,0
1.296837,0,0,0,0
1.298388,0,0,0,0
1.299952,0,0,0,0
1.301500,0,0,0,0
1.303053,0,0,0,0
1.304604,0,0,0,0
1.306152,0,0,0,0
1.307703,0,0,0,0
1.309253,0,0,0,0
1.310819,0,0,0,0
1.312369,0,0,0,0
1.313917,0,0,0,0
1.315559,0,0,0,0
1.317107,0,0,0,0
1.318660,0,0,0,0
1.320253,0,0,0,0
1.321814,0,0,0,0
1.323365,0,0,0,0
1.324915,0,0,0,0
1.326468,0,0,0,0
1.328018,0,0,0,0
1.329566,0,0,0,0
