elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.416057,0,0,0,0,0,0,0,0
0.417463,0,0,0,0,0,0,0,0
0.418822,0,0,0,0,0,0,0,0
0.420180,0,0,0,0,0,0,0,0
0.421538,0,0,0,0,0,0,0,0
0.422902,0,0,0,0,0,0,0,0
0.424252,0,0,0,0,0,0,0,0
0.425650,0,0,0,0,0,0,0,0
0.427001,0,0,0,0,0,0,0,0
0.428350,0,0,0,0,0,0,0,0
0.429765,0,0,0,0,0,0,0,0
0.431171,0,0,0,0,0,0,0,0
0.432502,0,0,0,0,0,0,0,0
0.433896,0,0,0,0,0,0,0,0
0.435222,0,0,0,0,0,0,0,0
0.436597,0,0,0,0,0,0,0,0
0.437916,0,0,0,0,0,0,0,0
0.439246,0,0,0,0,0,0,0,0
0.440575,0,0,0,0,0,0,0,0
0.442058,0,0,0,0,0,0,0,0
0.443404,0,0,0,0,0,0,0,0
0.444750,0,0,0,0,0,0,0,0
0.446083,0,0,0,0,0,0,0,0
0.447456,0,0,0,0,0,0,0,0
0.448769,0,0,0,0,0,0,0,0
0.450083,0,0,0,0,0,0,0,0
0.451400,0,0,0,0,0,0,0,0
0.452714,0,0,0,0,0,0,0,0
0.454028,0,0,0,0,0,0,0,0
0.455346,0,0,0,0,0,0,0,0
0.456713,0,0,0,0,0,0,0,0
0.458032,0,0,0,0,0,0,0,0
0.459345,0,0,0,0,0,0,0,0
0.460680,0,0,0,0,0,0,0,0
0.461995,0,0,0,0,0,0,0,0
0.463328,0,0,0,0,0,0,0,0
0.464596,0,0,0,0,0,0,0,0
0.465981,0,0,0,0,0,0,0,0
0.467358,0,0,0,0,0,0,0,0
0.468733,0,0,0,0,0,0,0,0
0.470110,0,0,0,0,0,0,0,0
0.471494,0,0,0,0,0,0,0,0
0.472925,0,0,0,0,0,0,0,0
0.474309,0,0,0,0,0,0,0,0
0.475685,0,0,0,0,0,0,0,0
0.477113,0,0,0,0,0,0,0,0
0.478489,0,0,0,0,0,0,0,0
0.479757,0,0,0,0,0,0,0,0
0.481215,0,0,0,0,0,0,0,0
0.482568,0,0,0,0,0,0,0,0
0.483919,0,0,0,0,0,0,0,0
0.485390,0,0,0,0,0,0,0,0
0.486985,0,0,0,0,0,0,0,0
0.488365,0,0,0,0,0,0,0,0
0.489783,0,0,0,0,0,0,0,0
0.491139,0,0,0,0,0,0,0,0
0.492502,0,0,0,0,0,0,0,0
0.494044,0,0,0,0,0,0,0,0
0.495595,0,3,0,0,0,0,0,0
0.497003,0,9,0,0,0,0,0,0
0.498436,0,0,0,0,0,0,0,0
0.499849,0,0,0,0,0,0,0,0
0.502150,0,0,0,0,0,0,0,0
0.503563,0,0,0,0,0,0,0,0
0.504973,0,0,0,0,0,0,0,0
0.506382,0,0,0,0,0,0,0,0
0.507975,0,0,0,0,0,0,0,0
0.509704,0,0,0,0,0,0,0,0
0.511106,0,0,0,0,0,0,0,0
0.512507,0,0,0,0,0,0,0,0
0.515919,0,0,0,0,0,0,0,0
0.519307,0,0,0,0,0,0,0,0
0.520811,0,0,0,0,0,0,0,0
0.522225,0,0,0,0,0,0,0,0
0.523627,0,0,0,0,0,0,0,0
0.525029,0,0,0,0,0,0,0,0
0.526485,0,0,0,0,0,0,0,0
0.527887,0,0,0,0,0,0,0,0
0.529289,0,0,0,0,0,0,0,0
0.530695,0,0,0,0,0,0,0,0
0.532149,0,0,0,0,0,0,0,0
0.533562,0,0,0,0,0,0,0,0
0.534975,0,0,0,0,0,0,0,0
0.536381,0,0,0,0,0,0,0,0
0.537872,0,0,0,0,0,0,0,0
0.539277,0,0,0,0,0,0,0,0
0.540685,0,0,0,0,0,0,0,0
0.542092,0,0,0,0,0,0,0,0
0.543549,0,0,0,0,0,0,0,0
0.544956,0,0,0,0,0,0,0,0
0.546362,0,0,0,0,0,0,0,0
0.547769,0,0,0,0,0,0,0,0
0.549174,0,0,0,0,0,0,0,0
0.550579,0,0,0,0,0,0,0,0
0.552036,0,0,0,0,0,0,0,0
0.553574,0,0,0,0,0,0,0,0
0.555158,0,0,0,0,0,0,0,0
0.556732,0,0,0,0,0,0,0,0
0.558348,0,0,0,0,0,0,0,0
0.559920,0,0,0,0,0,0,0,0
0.561494,0,0,0,0,0,0,0,0
0.563066,0,0,0,0,0,0,0,0
0.564636,0,0,0,0,0,0,0,0
0.566262,0,0,0,0,0,0,0,0
0.567832,0,0,0,0,0,0,0,0
0.569405,0,0,0,0,0,0,0,0
0.570976,0,0,0,0,0,0,0,0
0.572546,0,0,0,0,0,0,0,0
0.574256,0,0,0,0,0,0,0,0
0.575819,0,0,0,0,0,0,0,0
0.577274,0,0,0,0,0,0,0,0
0.578817,0,0,0,0,0,0,0,0
0.580387,0,0,0,0,0,0,0,0
0.581963,0,0,0,0,0,0,0,0
0.583533,0,0,0,0,0,0,0,0
0.585107,0,0,0,0,0,0,0,0
0.586679,0,0,0,0,0,0,0,0
0.588262,0,0,0,0,0,0,0,0
0.589833,0,0,0,0,0,0,0,0
0.591404,0,0,0,0,0,0,0,0
0.592977,0,0,0,0,0,0,0,0
0.594549,0,0,0,0,0,0,0,0
0.596119,0,0,0,0,0,0,0,0
0.597692,0,0,0,0,0,0,0,0
0.599150,0,0,0,0,0,0,0,0
0.600697,0,0,0,0,0,0,0,0
0.602270,0,0,0,0,0,0,0,0
0.603839,0,0,0,0,0,0,0,0
0.605413,0,0,0,0,0,0,0,0
0.607026,0,0,0,0,0,0,0,0
0.608954,0,0,0,0,0,0,0,0
0.610391,0,0,0,0,0,0,0,0
0.611803,0,0,0,0,0,0,0,0
0.613208,0,0,0,0,0,0,0,0
0.614609,0,0,0,0,0,0,0,0
0.616010,0,0,0,0,0,0,0,0
0.617408,0,0,0,0,0,0,0,0
