elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.392064,0,0,0,0,0,0,0,0
0.393627,0,0,0,0,0,0,0,0
0.395070,0,0,0,0,0,0,0,0
0.396622,0,0,0,0,0,0,0,0
0.398193,0,0,0,0,0,0,0,0
0.399623,0,0,0,0,0,0,0,0
0.401034,0,0,0,0,0,0,0,0
0.402572,0,0,0,0,0,0,0,0
0.404143,0,0,0,0,0,0,0,0
0.405712,0,0,0,0,0,0,0,0
0.407226,0,0,0,0,0,0,0,0
0.408648,0,0,0,0,0,0,0,0
0.410187,0,0,0,0,0,0,0,0
0.411760,0,0,0,0,0,0,0,0
0.413330,0,0,0,0,0,0,0,0
0.414946,0,0,0,0,0,0,0,0
0.416520,0,0,0,0,0,0,0,0
0.418104,0,0,0,0,0,0,0,0
0.419706,0,0,0,0,0,0,0,0
0.421283,0,0,0,0,0,0,0,0
0.422858,0,0,0,0,0,0,0,0
0.424432,0,0,0,0,0,0,0,0
0.426004,0,0,0,0,0,0,0,0
0.427582,0,0,0,0,0,0,0,0
0.429166,0,0,0,0,0,0,0,0
0.430784,0,0,0,0,0,0,0,0
0.432357,0,0,0,0,0,0,0,0
0.433929,0,0,0,0,0,0,0,0
0.435742,0,0,0,0,0,0,0,0
0.437172,0,0,0,0,0,0,0,0
0.438586,0,0,0,0,0,0,0,0
0.440008,0,0,0,0,0,0,0,0
0.441418,0,0,0,0,0,0,0,0
0.442830,0,0,0,0,0,0,0,0
0.444467,0,0,0,0,0,0,0,0
0.446039,0,0,0,0,0,0,0,0
0.447662,0,0,0,0,0,0,0,0
0.449234,0,0,0,0,0,0,0,0
0.450821,0,0,0,0,0,0,0,0
0.452396,0,0,0,0,0,0,0,0
0.453968,0,0,0,0,0,0,0,0
0.455546,0,0,0,0,0,0,0,0
0.457120,0,0,0,0,0,0,0,0
0.458694,0,0,0,0,0,0,0,0
0.460268,0,0,0,0,0,0,0,0
0.461853,0,0,0,0,0,0,0,0
0.463296,0,0,0,0,0,0,0,0
0.464840,0,0,0,0,0,0,0,0
0.466416,0,0,0,0,0,0,0,0
0.467980,0,0,0,0,0,0,0,0
0.469544,0,0,0,0,0,0,0,0
0.470985,0,0,0,0,0,0,0,0
0.472550,0,0,0,0,0,0,0,0
0.474122,0,0,0,0,0,0,0,0
0.475701,0,0,0,0,0,0,0,0
0.477273,0,0,0,0,0,0,0,0
0.478893,0,0,0,0,0,0,0,0
0.480459,0,0,0,0,0,0,0,0
0.482021,0,0,0,0,0,0,0,0
0.483497,0,0,0,0,0,0,0,0
0.485041,0,0,0,0,0,0,0,0
0.486614,0,0,0,0,0,0,0,0
0.488186,0,0,0,0,0,0,0,0
0.490097,0,0,0,0,0,0,0,0
0.491540,0,0,0,0,0,0,0,0
0.493022,0,0,0,0,0,0,0,0
0.494498,0,0,0,0,0,0,0,0
0.495912,0,0,0,0,0,0,0,0
0.497322,0,0,0,0,0,0,0,0
0.498732,0,0,0,0,0,0,0,0
0.500136,0,0,0,0,0,0,0,0
0.501665,0,0,0,0,0,0,0,0
0.503142,0,0,0,0,0,0,0,0
0.504727,0,0,0,0,0,0,0,0
0.506298,0,0,0,0,0,0,0,0
0.507869,0,0,0,0,0,0,0,0
0.509439,0,0,0,0,0,0,0,0
0.511054,0,0,0,0,0,0,0,0
0.512626,0,0,0,0,0,0,0,0
0.514195,0,0,0,0,0,0,0,0
0.515851,0,0,0,0,0,0,0,0
0.517420,0,0,0,0,0,0,0,0
0.518993,0,0,0,0,0,0,0,0
0.520566,0,0,0,0,0,0,0,0
0.522136,0,0,0,0,0,0,0,0
0.523711,0,0,0,0,0,0,0,0
0.525373,0,0,0,0,0,0,0,0
0.527003,0,0,0,0,0,0,0,0
0.528575,0,0,0,0,0,0,0,0
0.530145,0,0,0,0,0,0,0,0
0.531722,0,0,0,0,0,0,0,0
0.533291,0,0,0,0,0,0,0,0
0.534864,0,0,0,0,0,0,0,0
0.536435,0,0,0,0,0,0,0,0
0.538019,0,0,0,0,0,0,0,0
0.539596,0,0,0,0,0,0,0,0
0.541165,0,0,0,0,0,0,0,0
0.542780,0,0,0,0,0,0,0,0
0.544665,0,0,0,0,0,0,0,0
0.546159,0,0,0,0,0,0,0,0
0.547735,0,0,0,0,0,0,0,0
0.549185,0,0,0,0,0,0,0,0
0.550598,0,0,0,0,0,0,0,0
0.552140,0,0,0,0,0,0,0,0
0.553712,0,0,0,0,0,0,0,0
0.555286,0,0,0,0,0,0,0,0
0.556860,0,0,0,0,0,0,0,0
0.558477,0,0,0,0,0,0,0,0
0.560063,0,0,0,0,0,0,0,0
0.561636,0,0,0,0,0,0,0,0
0.563210,0,0,0,0,0,0,0,0
0.564775,0,0,0,0,0,0,0,0
0.566397,0,0,0,0,0,0,0,0
0.567999,0,0,0,0,0,0,0,0
0.569569,0,0,0,0,0,0,0,0
