elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.811566,0,0,104,0
0.812953,0,0,104,0
0.814360,0,0,104,0
0.815714,0,0,104,0
0.817107,0,0,104,0
0.818463,0,0,104,0
0.819817,0,0,104,0
0.821214,0,0,104,0
0.822613,0,0,104,0
0.823954,0,0,104,0
0.825295,0,0,104,0
0.826636,0,0,104,0
0.827976,0,0,104,0
0.829314,0,0,104,0
0.830652,0,0,104,0
0.831990,0,0,104,0
0.833335,0,0,104,0
0.834674,0,0,104,0
0.836012,0,0,104,0
0.837351,0,0,104,0
0.838719,0,0,104,0
0.840129,0,0,104,0
0.841539,0,0,104,0
0.842950,0,0,104,0
0.844364,0,0,104,0
0.845774,0,0,104,0
0.847189,0,0,104,0
0.848612,0,0,104,0
0.849923,0,0,104,0
0.851334,0,0,104,0
0.852745,0,0,104,0
0.854154,0,0,104,0
0.855581,0,0,104,0
0.857012,0,0,104,0
0.858425,0,0,104,0
0.859818,0,0,104,0
0.861265,0,0,104,0
0.862656,46,957,1292,0
0.864046,0,0,104,0
0.865436,0,0,104,0
0.866830,0,0,104,0
0.868211,0,0,104,0
0.869595,0,0,104,0
0.871016,0,0,104,0
0.872401,236,131014,87138,0
0.873659,108,136276,78557,0
0.875497,0,0,104,0
0.876897,0,0,104,0
0.878294,0,0,104,0
0.879679,0,0,104,0
0.881062,0,0,104,0
0.882446,0,0,104,0
0.883829,0,0,104,0
0.885770,0,0,104,0
0.887200,0,0,104,0
0.888580,0,0,104,0
0.889960,0,0,104,0
0.891340,0,0,104,0
0.892719,0,0,104,0
0.896982,0,0,104,0
0.898377,0,0,104,0
0.899764,0,0,104,0
0.901327,0,0,104,0
0.904217,0,0,104,0
0.905731,0,0,104,0
0.907128,0,0,104,0
0.908491,0,0,104,0
0.909833,0,0,104,0
0.911176,0,0,104,0
0.912513,0,0,104,0
0.913852,0,0,104,0
0.915198,0,0,104,0
0.916537,0,0,104,0
0.917875,0,0,104,0
0.919357,0,0,104,0
0.920793,0,0,104,0
0.922319,0,0,104,0
0.923868,0,0,104,0
0.925422,0,0,104,0
0.926966,0,0,104,0
0.928506,0,0,104,0
0.929939,0,0,104,0
0.931356,0,0,104,0
0.932896,0,0,104,0
0.934427,0,0,104,0
0.935847,0,0,104,0
0.937367,0,0,104,0
0.938917,0,0,104,0
0.940477,0,0,104,0
0.942026,0,0,104,0
0.943573,0,0,104,0
0.945158,0,0,104,0
0.946783,0,0,104,0
0.948324,0,0,104,0
0.949744,0,0,104,0
0.951277,0,0,104,0
0.952864,0,0,104,0
0.954415,0,0,104,0
0.955962,0,0,104,0
0.957513,0,0,104,0
0.959062,0,0,104,0
0.960609,0,0,104,0
0.962251,0,0,104,0
0.963798,0,0,104,0
0.965349,0,0,104,0
0.966943,0,0,104,0
0.968491,0,0,104,0
0.970040,0,0,104,0
0.971588,0,0,104,0
0.973152,0,0,104,0
0.974702,0,0,104,0
0.976249,0,0,104,0
0.977799,0,0,104,0
0.979349,0,0,104,0
0.980897,0,0,104,0
0.982531,0,0,104,0
0.984092,0,0,104,0
0.985642,0,0,104,0
0.987193,0,0,104,0
0.988741,0,0,104,0
0.990292,0,0,104,0
0.991840,0,0,104,0
0.993391,0,0,104,0
0.995182,0,0,104,0
0.996680,0,0,104,0
0.998100,0,0,104,0
0.999643,0,0,104,0
1.001194,0,0,104,0
1.002744,0,0,104,0
1.004291,0,0,104,0
1.005851,0,0,104,0
1.007401,0,0,104,0
1.008951,0,0,104,0
1.010502,0,0,104,0
1.012053,0,0,104,0
1.013606,0,0,104,0
1.015202,0,0,104,0
1.016765,0,0,104,0
1.018342,0,0,104,0
1.019891,0,0,104,0
1.021445,0,0,104,0
1.022997,0,0,104,0
1.024546,0,0,104,0
1.026098,0,0,104,0
1.027662,0,0,104,0
1.029216,0,0,104,0
1.030812,0,0,104,0
1.032362,0,0,104,0
1.033914,0,0,104,0
1.035457,0,0,104,0
1.037106,0,0,104,0
1.038537,0,0,104,0
1.039928,0,0,104,0
1.041446,0,0,104,0
1.042999,0,0,104,0
1.044549,0,0,104,0
1.046102,0,0,104,0
1.047652,0,0,104,0
1.049221,0,0,104,0
1.050772,0,0,104,0
1.052324,0,0,104,0
1.053876,0,0,104,0
1.055417,0,0,104,0
1.057143,0,0,104,0
1.058596,0,0,104,0
1.060047,0,0,104,0
1.061439,0,0,104,0
1.062944,0,0,104,0
1.064332,0,0,104,0
1.065712,0,0,104,0
1.067091,0,0,104,0
1.068470,0,0,104,0
1.071531,0,0,104,0
1.073062,0,0,104,0
1.074615,0,0,104,0
1.076164,0,0,104,0
1.077719,0,0,104,0
1.079314,0,0,104,0
1.080865,0,0,104,0
1.082418,0,0,104,0
1.083983,0,0,104,0
1.085537,0,0,104,0
1.087090,0,0,104,0
1.088639,0,0,104,0
1.090196,0,0,104,0
1.091747,0,0,104,0
1.093301,0,0,104,0
1.094909,0,0,104,0
1.096460,0,0,104,0
1.098013,0,0,104,0
1.099565,0,0,104,0
1.101119,0,0,104,0
1.102671,0,0,104,0
1.104098,0,0,104,0
1.105506,0,0,104,0
1.106894,0,0,104,0
