elapsed_s,RBBM_S_PC_BUSY,RBBM_S_TESS_BUSY,RBBM_S_TSEFE_BUSY,RBBM_S_TSEBE_BUSY
0.477297,0,0,0,0
0.478864,0,0,0,0
0.480457,0,0,0,0
0.482006,0,0,0,0
0.483557,0,0,0,0
0.485108,0,0,0,0
0.486659,0,0,0,0
0.488252,0,0,0,0
0.489815,0,0,0,0
0.491367,0,0,0,0
0.492917,0,0,0,0
0.494466,0,0,0,0
0.496022,0,0,0,0
0.497570,0,0,0,0
0.499121,0,0,0,0
0.500685,0,0,0,0
0.502234,0,0,0,0
0.503732,0,0,0,0
0.505252,0,0,0,0
0.506802,0,0,0,0
0.508352,0,0,0,0
0.509901,0,0,0,0
0.511509,0,0,0,0
0.513059,0,0,0,0
0.514611,0,0,0,0
0.516160,0,0,0,0
0.517709,0,0,0,0
0.519304,0,0,0,0
0.520854,0,0,0,0
0.522417,0,0,0,0
0.523971,0,0,0,0
0.525521,0,0,0,0
0.527115,0,0,0,0
0.528667,0,0,0,0
0.530215,0,0,0,0
0.531639,0,0,0,0
0.533167,0,0,0,0
0.535269,0,0,0,0
0.536824,0,0,0,0
0.538374,0,0,0,0
0.539931,0,0,0,0
0.541481,0,0,0,0
0.543077,0,0,0,0
0.544641,0,0,0,0
0.546191,0,0,0,0
0.547742,0,0,0,0
0.549293,0,0,0,0
0.550846,0,0,0,0
0.552442,0,0,0,0
0.553992,0,0,0,0
0.555557,0,0,0,0
0.557108,0,0,0,0
0.558661,0,0,0,0
0.560254,0,0,0,0
0.561803,0,0,0,0
0.563356,0,0,0,0
0.564907,0,0,0,0
0.566471,0,0,0,0
0.568028,0,0,0,0
0.569578,0,0,0,0
0.571130,0,0,0,0
0.572682,0,0,0,0
0.574232,0,0,0,0
0.575859,0,0,0,0
0.577424,0,0,0,0
0.578976,0,0,0,0
0.580528,0,0,0,0
0.582077,0,0,0,0
0.583673,0,0,0,0
0.585226,0,0,0,0
0.586779,0,0,0,0
0.588344,0,0,0,0
0.589894,0,0,0,0
0.591489,0,0,0,0
0.593040,0,0,0,0
0.594591,0,0,0,0
0.596143,0,0,0,0
0.597692,0,0,0,0
0.599303,0,0,0,0
0.600855,0,0,0,0
0.602404,0,0,0,0
0.603979,0,0,0,0
0.605530,0,0,0,0
0.607126,0,0,0,0
0.608678,0,0,0,0
0.610243,0,0,0,0
0.611856,0,0,0,0
0.613407,0,0,0,0
0.614960,0,0,0,0
0.616511,0,0,0,0
0.618061,0,0,0,0
0.619611,0,0,0,0
0.621176,0,0,0,0
0.622729,0,0,0,0
0.624323,0,0,0,0
0.625874,0,0,0,0
0.627425,0,0,0,0
0.628977,0,0,0,0
0.630526,0,0,0,0
0.632028,0,0,0,0
0.633419,0,0,0,0
0.634937,0,0,0,0
0.636809,0,0,0,0
0.638209,0,0,0,0
0.639642,0,0,0,0
0.641031,0,0,0,0
0.642431,0,0,0,0
0.643841,0,0,0,0
0.645356,0,0,0,0
0.646910,0,0,0,0
0.648506,0,0,0,0
0.650055,0,0,0,0
0.651605,0,0,0,0
0.653170,0,0,0,0
0.654723,0,0,0,0
0.656318,0,0,0,0
0.657867,0,0,0,0
0.659419,0,0,0,0
0.660969,0,0,0,0
0.662518,0,0,0,0
0.664126,0,0,0,0
0.665675,0,0,0,0
0.667227,0,0,0,0
0.668777,0,0,0,0
0.670326,0,0,0,0
0.671882,0,0,0,0
0.673430,0,0,0,0
0.674995,0,0,0,0
0.676546,0,0,0,0
0.678095,0,0,0,0
0.679688,0,0,0,0
0.681239,0,0,0,0
0.682790,0,0,0,0
0.684340,0,0,0,0
0.685902,0,0,0,0
0.687495,0,0,0,0
0.689046,0,0,0,0
0.690596,0,0,0,0
0.692147,0,0,0,0
0.693697,0,0,0,0
0.695292,0,0,0,0
0.696856,0,0,0,0
0.698405,0,0,0,0
0.700029,0,0,0,0
0.701418,0,0,0,0
0.702936,0,0,0,0
0.704486,0,0,0,0
0.706034,0,0,0,0
0.707597,0,0,0,0
0.709148,0,0,0,0
