elapsed_s,RB_STARVE_CYCLES_CCU,RB_STARVE_CYCLES_Z_PLANE,RB_STARVE_CYCLES_BARY_PLANE,RB_Z_WORKLOAD,RB_HLSQ_ACTIVE,RB_Z_READ,RB_Z_WRITE,RB_C_READ
0.098370,0,0,0,0,0,0,0,0
0.099781,0,0,0,0,0,0,0,0
0.101143,0,0,0,0,0,0,0,0
0.102502,0,0,0,0,0,0,0,0
0.103861,0,0,0,0,0,0,0,0
0.105219,0,0,0,0,0,0,0,0
0.106622,0,0,0,0,0,0,0,0
0.109043,0,0,0,0,0,0,0,0
0.110456,0,0,0,0,0,0,0,0
0.111873,0,0,0,0,0,0,0,0
0.113408,0,0,0,0,0,0,0,0
0.114833,0,0,0,0,0,0,0,0
0.116238,0,0,0,0,0,0,0,0
0.117640,0,0,0,0,0,0,0,0
0.119053,0,0,0,0,0,0,0,0
0.120454,0,0,0,0,0,0,0,0
0.121858,0,0,0,0,0,0,0,0
0.123263,0,0,0,0,0,0,0,0
0.124716,0,0,0,0,0,0,0,0
0.126200,0,0,0,0,0,0,0,0
0.127613,0,0,0,0,0,0,0,0
0.129023,0,0,0,0,0,0,0,0
0.130484,0,0,0,0,0,0,0,0
0.131893,0,0,0,0,0,0,0,0
0.133303,0,0,0,0,0,0,0,0
0.134712,0,0,0,0,0,0,0,0
0.136118,0,0,0,0,0,0,0,0
0.137528,0,0,0,0,0,0,0,0
0.139066,0,0,0,0,0,0,0,0
0.140567,0,0,0,0,0,0,0,0
0.141984,0,0,0,0,0,0,0,0
0.143394,0,0,0,0,0,0,0,0
0.144801,0,0,0,0,0,0,0,0
0.146210,0,0,0,0,0,0,0,0
0.147616,0,0,0,0,0,0,0,0
0.149156,0,0,0,0,0,0,0,0
0.150741,0,0,0,0,0,0,0,0
0.152313,0,0,0,0,0,0,0,0
0.153885,0,0,0,0,0,0,0,0
0.155457,0,0,0,0,0,0,0,0
0.157033,0,0,0,0,0,0,0,0
0.158605,0,0,0,0,0,0,0,0
0.160175,0,0,0,0,0,0,0,0
0.161763,0,0,0,0,0,0,0,0
0.163336,0,0,0,0,0,0,0,0
0.164906,0,0,0,0,0,0,0,0
0.166482,0,0,0,0,0,0,0,0
0.168052,0,0,0,0,0,0,0,0
0.169625,0,0,0,0,0,0,0,0
0.171194,0,0,0,0,0,0,0,0
0.172774,0,0,0,0,0,0,0,0
0.174350,0,0,0,0,0,0,0,0
0.175920,0,0,0,0,0,0,0,0
0.177494,0,0,0,0,0,0,0,0
0.179066,0,0,0,0,0,0,0,0
0.180636,0,0,0,0,0,0,0,0
0.182158,0,0,0,0,0,0,0,0
0.183708,0,0,0,0,0,0,0,0
0.185280,0,0,0,0,0,0,0,0
0.186852,0,0,0,0,0,0,0,0
0.188465,0,0,0,0,0,0,0,0
0.190038,0,0,0,0,0,0,0,0
0.192712,0,0,0,0,0,0,0,0
0.194278,0,0,0,0,0,0,0,0
0.195821,0,0,0,0,0,0,0,0
0.197396,0,0,0,0,0,0,0,0
0.198968,0,0,0,0,0,0,0,0
0.200544,0,0,0,0,0,0,0,0
0.201995,0,0,0,0,0,0,0,0
0.203411,0,0,0,0,0,0,0,0
0.204876,0,0,0,0,0,0,0,0
0.206341,0,0,0,0,0,0,0,0
0.207740,0,0,0,0,0,0,0,0
0.209139,0,0,0,0,0,0,0,0
0.210540,0,0,0,0,0,0,0,0
0.211940,0,0,0,0,0,0,0,0
0.213343,0,0,0,0,0,0,0,0
0.214744,0,0,0,0,0,0,0,0
0.216152,0,0,0,0,0,0,0,0
0.217555,0,0,0,0,0,0,0,0
0.218954,0,0,0,0,0,0,0,0
0.220402,0,0,0,0,0,0,0,0
0.221778,0,0,0,0,0,0,0,0
0.223152,0,0,0,0,0,0,0,0
0.224525,0,0,0,0,0,0,0,0
0.225899,0,0,0,0,0,0,0,0
0.227280,0,0,0,0,0,0,0,0
0.228654,0,0,0,0,0,0,0,0
0.230027,0,0,0,0,0,0,0,0
0.231400,0,0,0,0,0,0,0,0
0.232773,0,0,0,0,0,0,0,0
0.234178,0,0,0,0,0,0,0,0
0.235551,0,0,0,0,0,0,0,0
0.236960,0,0,0,0,0,0,0,0
0.238341,0,0,0,0,0,0,0,0
0.239701,0,0,0,0,0,0,0,0
0.241060,0,0,0,0,0,0,0,0
0.242419,0,0,0,0,0,0,0,0
0.243778,0,0,0,0,0,0,0,0
0.245163,0,0,0,0,0,0,0,0
0.246522,0,0,0,0,0,0,0,0
0.247880,0,0,0,0,0,0,0,0
0.249243,0,0,0,0,0,0,0,0
0.250601,0,0,0,0,0,0,0,0
0.251988,0,0,0,0,0,0,0,0
0.253414,0,0,0,0,0,0,0,0
0.254841,0,0,0,0,0,0,0,0
0.256267,0,0,0,0,0,0,0,0
0.257694,0,0,0,0,0,0,0,0
0.259120,0,0,0,0,0,0,0,0
0.260558,0,0,0,0,0,0,0,0
0.261893,0,0,0,0,0,0,0,0
0.263395,0,0,0,0,0,0,0,0
0.264779,0,0,0,0,0,0,0,0
0.266165,0,0,0,0,0,0,0,0
0.267542,0,0,0,0,0,0,0,0
0.268918,0,0,0,0,0,0,0,0
0.270273,0,0,0,0,0,0,0,0
0.271649,0,0,0,0,0,0,0,0
0.273039,0,0,0,0,0,0,0,0
0.274402,0,48,0,0,48,0,0,0
0.276061,0,0,0,0,0,0,0,0
0.277427,0,0,0,0,0,0,0,0
0.278793,0,0,0,0,0,0,0,0
0.280154,0,0,0,0,0,0,0,0
0.281516,0,0,0,0,0,0,0,0
0.282892,0,0,0,0,0,0,0,0
0.284271,0,156,0,0,192,0,0,0
0.285841,0,180,0,0,144,0,0,0
0.287257,0,0,0,0,0,0,0,0
0.288667,0,0,0,0,0,0,0,0
0.290380,0,0,0,0,0,0,0,0
0.291789,0,0,0,0,0,0,0,0
0.293207,0,0,0,0,0,0,0,0
0.294615,0,0,0,0,0,0,0,0
0.296015,0,0,0,0,0,0,0,0
0.298214,0,0,0,0,0,0,0,0
0.300097,0,0,0,0,0,0,0,0
0.305040,0,0,0,0,0,0,0,0
0.306456,0,0,0,0,0,0,0,0
0.307861,0,0,0,0,0,0,0,0
0.310606,0,0,0,0,0,0,0,0
0.312101,0,0,0,0,0,0,0,0
0.313537,0,0,0,0,0,0,0,0
0.314939,0,0,0,0,0,0,0,0
0.316385,0,0,0,0,0,0,0,0
0.317807,0,0,0,0,0,0,0,0
0.319208,0,0,0,0,0,0,0,0
0.320610,0,0,0,0,0,0,0,0
0.322014,0,0,0,0,0,0,0,0
0.323421,0,0,0,0,0,0,0,0
0.324826,0,0,0,0,0,0,0,0
0.326234,0,0,0,0,0,0,0,0
0.327640,0,0,0,0,0,0,0,0
0.329185,0,0,0,0,0,0,0,0
0.330602,0,0,0,0,0,0,0,0
0.331987,0,0,0,0,0,0,0,0
0.333398,0,0,0,0,0,0,0,0
