elapsed_s,HLSQ_L2STC_REQ_INS_HLSQ,HLSQ_L2STC_REQ_INS_HLSQ_HIT,HLSQ_L2STC_REQ_INS_SP,HLSQ_L2STC_REQ_INS_SP_HIT,HLSQ_L2STC_REQ_UCHE,HLSQ_L2STC_LATENCY_CYCLES
0.158334,0,0,0,0,0,0
0.159892,0,0,0,0,0,0
0.161339,0,0,0,0,0,0
0.162870,0,0,0,0,0,0
0.164429,0,0,0,0,0,0
0.165995,0,0,0,0,0,0
0.167554,0,0,0,0,0,0
0.169117,0,0,0,0,0,0
0.170678,0,0,0,0,0,0
0.172125,0,0,0,0,0,0
0.173636,0,0,0,0,0,0
0.175165,0,0,0,0,0,0
0.176728,0,0,0,0,0,0
0.178290,0,0,0,0,0,0
0.179850,0,0,0,0,0,0
0.181411,0,0,0,0,0,0
0.182983,0,0,0,0,0,0
0.184546,0,0,0,0,0,0
0.186107,0,0,0,0,0,0
0.187667,0,0,0,0,0,0
0.189231,0,0,0,0,0,0
0.190793,0,0,0,0,0,0
0.192352,0,0,0,0,0,0
0.193932,0,0,0,0,0,0
0.195492,0,0,0,0,0,0
0.197056,0,0,0,0,0,0
0.198608,0,0,0,0,0,0
0.200159,0,0,0,0,0,0
0.201853,0,0,0,0,0,0
0.203412,0,0,0,0,0,0
0.205028,0,0,0,0,0,0
0.206590,0,0,0,0,0,0
0.208149,0,0,0,0,0,0
0.209759,0,0,0,0,0,0
0.211318,0,0,0,0,0,0
0.212880,0,0,0,0,0,0
0.214441,0,0,0,0,0,0
0.216012,0,0,0,0,0,0
0.217572,0,0,0,0,0,0
0.219129,0,0,0,0,0,0
0.220768,0,0,0,0,0,0
0.222153,0,0,0,0,0,0
0.223556,0,0,0,0,0,0
0.224955,0,0,0,0,0,0
0.226362,0,0,0,0,0,0
0.227760,0,0,0,0,0,0
0.229155,0,0,0,0,0,0
0.230643,0,0,0,0,0,0
0.232193,0,0,0,0,0,0
0.233888,0,0,0,0,0,0
0.235447,0,0,0,0,0,0
0.237024,0,0,0,0,0,0
0.238585,0,0,0,0,0,0
0.240145,0,0,0,0,0,0
0.241767,0,0,0,0,0,0
0.243328,0,0,0,0,0,0
0.244891,0,0,0,0,0,0
0.246453,0,0,0,0,0,0
0.248025,0,0,0,0,0,0
0.249585,0,0,0,0,0,0
0.251147,0,0,0,0,0,0
0.252752,0,0,0,0,0,0
0.254314,0,0,0,0,0,0
0.255873,0,0,0,0,0,0
0.257434,0,0,0,0,0,0
0.259000,0,0,0,0,0,0
0.261149,0,0,0,0,0,0
0.262654,0,0,0,0,0,0
0.264149,0,0,0,0,0,0
0.265695,0,0,0,0,0,0
0.267196,0,0,0,0,0,0
0.268637,0,0,0,0,0,0
0.270049,0,0,0,0,0,0
0.271573,0,0,0,0,0,0
0.273135,0,0,0,0,0,0
0.274697,0,0,0,0,0,0
0.276254,0,0,0,0,0,0
0.277817,0,0,0,0,0,0
0.279382,0,0,0,0,0,0
0.280955,0,0,0,0,0,0
0.282578,0,0,0,0,0,0
0.284012,0,0,0,0,0,0
0.285599,0,0,0,0,0,0
