elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
0.235819,0,459809,2332,2331,0,0,0,0,0,0,0,0,0,0
0.237528,0,472865,2441,2440,0,0,0,0,0,0,0,0,0,0
0.239127,0,1119375,2327,2326,0,0,0,0,0,0,0,0,0,0
0.241423,0,807059,2344,2343,0,0,0,0,0,0,0,0,0,0
0.243132,0,1480813,219973,798548,2,2194,80922,55275,0,0,0,0,170,5
0.244452,0,470509,2625,2624,0,0,0,0,0,0,0,0,0,0
0.245897,0,579863,2340,2339,0,0,0,0,0,0,0,0,0,0
0.247570,0,534741,2338,2337,0,0,0,0,0,0,0,0,0,0
0.249187,0,508022,2341,2340,0,0,0,0,0,0,0,0,0,0
0.250693,0,1160170,146395,708465,1,2058,72188,32138,0,0,0,0,145,3
0.252009,0,514436,76547,90671,1,0,8359,22252,0,0,0,0,25,2
0.253412,0,475932,2416,2415,0,0,0,0,0,0,0,0,0,0
0.254824,0,475249,2344,2343,0,0,0,0,0,0,0,0,0,0
0.256543,0,438481,2347,2346,0,0,0,0,0,0,0,0,0,0
0.258008,0,441462,2344,2343,0,0,0,0,0,0,0,0,0,0
0.259425,0,1453466,219189,793782,2,2185,81061,54603,0,0,0,0,170,5
0.260749,0,454684,2459,2458,0,0,0,0,0,0,0,0,0,0
0.262210,0,569176,2340,2339,0,0,0,0,0,0,0,0,0,0
0.263780,0,1163225,2339,2338,0,0,0,0,0,0,0,0,0,0
0.266060,0,831118,2438,2437,0,0,0,0,0,0,0,0,0,0
0.267667,0,1521134,133080,698509,1,1189,37991,32234,0,0,0,0,145,3
0.269088,0,532944,2486,2485,0,0,0,0,0,0,0,0,0,0
0.270722,0,506558,2332,2331,0,0,0,0,0,0,0,0,0,0
0.272180,0,473046,2346,2345,0,0,0,0,0,0,0,0,0,0
0.273608,0,541441,3053,3052,0,0,0,0,0,0,0,0,0,0
0.275123,0,521437,45744,93012,0,0,0,0,0,0,0,0,33,0
0.276395,0,949507,9991,518647,0,0,0,0,0,0,0,0,112,3
0.277797,0,480714,2535,2534,0,0,0,0,0,0,0,0,0,0
0.279332,0,570058,2344,2343,0,0,0,0,0,0,0,0,0,0
0.281444,0,473557,2422,2421,0,0,0,0,0,0,0,0,0,0
0.282931,0,585020,2342,2341,0,0,0,0,0,0,0,0,0,0
0.284478,0,1251083,58126,614368,0,0,0,0,0,0,0,0,145,3
0.286003,0,497143,2510,2509,0,0,0,0,0,0,0,0,0,0
0.287470,0,474672,2342,2341,0,0,0,0,0,0,0,0,0,0
0.289003,0,534301,2357,2356,0,0,0,0,0,0,0,0,0,0
0.290544,0,481787,2433,2432,0,0,0,0,0,0,0,0,0,0
0.291989,0,485692,45293,62824,0,0,0,0,0,0,0,0,33,0
0.293265,0,976955,12003,548885,0,0,0,0,0,0,0,0,112,3
