elapsed_s,TP_FILTER_POINT_FP32,TP_LATENCY_FIFO_FULL,TP_RESERVED_62,TP_RESERVED_63,TP_RESERVED_64,TP_RESERVED_65,TP_RESERVED_66,TP_RESERVED_67,TP_RESERVED_68,TP_RESERVED_69,TP_RESERVED_70,TP_RESERVED_71
0.275630,0,0,0,0,0,0,0,0,0,0,0,0
0.277227,0,0,0,0,0,0,0,0,0,0,0,0
0.278834,0,0,0,0,0,0,0,0,0,0,0,0
0.280434,0,0,0,0,0,0,0,0,0,0,0,0
0.282028,0,0,0,0,0,0,0,0,0,0,0,0
0.283625,0,0,0,0,0,0,0,0,0,0,0,0
0.285221,0,0,0,0,0,0,0,0,0,0,0,0
0.286815,0,0,0,0,0,0,0,0,0,0,0,0
0.288416,0,0,0,0,0,0,0,0,0,0,0,0
0.290021,0,0,0,0,0,0,0,0,0,0,0,0
0.291670,0,0,0,0,0,0,0,0,0,0,0,0
0.293267,0,0,0,0,0,0,0,0,0,0,0,0
0.294859,0,0,0,0,0,0,0,0,0,0,0,0
0.296329,0,0,0,0,0,0,0,0,0,0,0,0
0.297896,0,0,0,0,0,0,0,0,0,0,0,0
0.299493,0,0,0,0,0,0,0,0,0,0,0,0
0.300977,0,0,0,0,0,0,0,0,0,0,0,0
0.302543,0,0,0,0,0,0,0,0,0,0,0,0
0.304200,0,0,0,0,0,0,0,0,0,0,0,0
0.305792,0,0,0,0,0,0,0,0,0,0,0,0
0.307445,0,0,0,0,0,0,0,0,0,0,0,0
0.309040,0,0,0,0,0,0,0,0,0,0,0,0
0.310633,0,0,0,0,0,0,0,0,0,0,0,0
0.312245,0,0,0,0,0,0,0,0,0,0,0,0
0.313838,0,0,0,0,0,0,0,0,0,0,0,0
0.315434,0,0,0,0,0,0,0,0,0,0,0,0
0.317040,0,0,0,0,0,0,0,0,0,0,0,0
0.318557,0,0,0,0,0,0,0,0,0,0,0,0
0.320200,0,0,0,0,0,0,0,0,0,0,0,0
0.321640,0,0,0,0,0,0,0,0,0,0,0,0
0.323134,0,0,0,0,0,0,0,0,0,0,0,0
0.324567,0,0,0,0,0,0,0,0,0,0,0,0
0.325997,0,0,0,0,0,0,0,0,0,0,0,0
0.327429,0,0,0,0,0,0,0,0,0,0,0,0
0.329064,0,0,0,0,0,0,0,0,0,0,0,0
0.330650,0,0,0,0,0,0,0,0,0,0,0,0
0.332349,0,0,0,0,0,0,0,0,0,0,0,0
0.333956,0,0,0,0,0,0,0,0,0,0,0,0
0.335554,0,0,0,0,0,0,0,0,0,0,0,0
0.337149,0,0,0,0,0,0,0,0,0,0,0,0
0.338744,0,0,0,0,0,0,0,0,0,0,0,0
0.340390,0,0,0,0,0,0,0,0,0,0,0,0
0.341984,0,0,0,0,0,0,0,0,0,0,0,0
0.343582,0,0,0,0,0,0,0,0,0,0,0,0
0.345192,0,0,0,0,0,0,0,0,0,0,0,0
0.346785,0,0,0,0,0,0,0,0,0,0,0,0
0.348386,0,0,0,0,0,0,0,0,0,0,0,0
0.349980,0,0,0,0,0,0,0,0,0,0,0,0
0.351577,0,0,0,0,0,0,0,0,0,0,0,0
0.353173,0,0,0,0,0,0,0,0,0,0,0,0
0.354767,0,0,0,0,0,0,0,0,0,0,0,0
0.356425,0,0,0,0,0,0,0,0,0,0,0,0
0.358018,0,0,0,0,0,0,0,0,0,0,0,0
0.359616,0,0,0,0,0,0,0,0,0,0,0,0
0.361211,0,0,0,0,0,0,0,0,0,0,0,0
0.362805,0,0,0,0,0,0,0,0,0,0,0,0
0.364407,0,0,0,0,0,0,0,0,0,0,0,0
0.366000,0,0,0,0,0,0,0,0,0,0,0,0
0.367644,0,0,0,0,0,0,0,0,0,0,0,0
0.369247,0,0,0,0,0,0,0,0,0,0,0,0
0.371380,0,0,0,0,0,0,0,0,0,0,0,0
0.372914,0,0,0,0,0,0,0,0,0,0,0,0
0.375179,0,0,0,0,0,0,0,0,0,0,0,0
0.377826,0,0,0,0,0,0,0,0,0,0,0,0
0.379442,0,0,0,0,0,0,0,0,0,0,0,0
0.381098,0,0,0,0,0,0,0,0,0,0,0,0
0.383445,0,0,0,0,0,0,0,0,0,0,0,0
0.385165,0,0,0,0,0,0,0,0,0,0,0,0
0.387268,0,0,0,0,0,0,0,0,0,0,0,0
0.389509,0,0,0,0,0,0,0,0,0,0,0,0
0.391014,0,0,0,0,0,0,0,0,0,0,0,0
0.392503,0,0,0,0,0,0,0,0,0,0,0,0
0.394065,0,0,0,0,0,0,0,0,0,0,0,0
0.395575,0,0,0,0,0,0,0,0,0,0,0,0
0.397021,0,0,0,0,0,0,0,0,0,0,0,0
0.398382,0,0,0,0,0,0,0,0,0,0,0,0
0.399783,0,0,0,0,0,0,0,0,0,0,0,0
0.401152,0,0,0,0,0,0,0,0,0,0,0,0
0.402504,0,0,0,0,0,0,0,0,0,0,0,0
0.403858,0,0,0,0,0,0,0,0,0,0,0,0
0.405209,0,0,0,0,0,0,0,0,0,0,0,0
0.406559,0,0,0,0,0,0,0,0,0,0,0,0
0.407911,0,0,0,0,0,0,0,0,0,0,0,0
0.409263,0,0,0,0,0,0,0,0,0,0,0,0
0.410616,0,0,0,0,0,0,0,0,0,0,0,0
0.412019,0,0,0,0,0,0,0,0,0,0,0,0
0.413372,0,0,0,0,0,0,0,0,0,0,0,0
0.414723,0,0,0,0,0,0,0,0,0,0,0,0
0.416082,0,0,0,0,0,0,0,0,0,0,0,0
0.417434,0,0,0,0,0,0,0,0,0,0,0,0
0.418786,0,0,0,0,0,0,0,0,0,0,0,0
0.420250,0,0,0,0,0,0,0,0,0,0,0,0
0.421689,0,0,0,0,0,0,0,0,0,0,0,0
0.423137,0,0,0,0,0,0,0,0,0,0,0,0
0.424701,0,0,0,0,0,0,0,0,0,0,0,0
0.426295,0,0,0,0,0,0,0,0,0,0,0,0
0.427890,0,0,0,0,0,0,0,0,0,0,0,0
0.429486,0,0,0,0,0,0,0,0,0,0,0,0
0.431083,0,0,0,0,0,0,0,0,0,0,0,0
