elapsed_s,TP_RESERVED_84,TP_RESERVED_85,TP_RESERVED_86,TP_RESERVED_87,TP_RESERVED_88,TP_RESERVED_89,TP_RESERVED_90,TP_RESERVED_91,TP_RESERVED_92,TP_RESERVED_93,TP_RESERVED_94,TP_RESERVED_95
0.309385,0,0,0,0,0,0,0,0,0,0,0,0
0.310972,0,0,0,0,0,0,0,0,0,0,0,0
0.312573,0,0,0,0,0,0,0,0,0,0,0,0
0.314038,0,0,0,0,0,0,0,0,0,0,0,0
0.315607,0,0,0,0,0,0,0,0,0,0,0,0
0.317203,0,0,0,0,0,0,0,0,0,0,0,0
0.318805,0,0,0,0,0,0,0,0,0,0,0,0
0.320401,0,0,0,0,0,0,0,0,0,0,0,0
0.322041,0,0,0,0,0,0,0,0,0,0,0,0
0.323651,0,0,0,0,0,0,0,0,0,0,0,0
0.325248,0,0,0,0,0,0,0,0,0,0,0,0
0.326712,0,0,0,0,0,0,0,0,0,0,0,0
0.328145,0,0,0,0,0,0,0,0,0,0,0,0
0.329572,0,0,0,0,0,0,0,0,0,0,0,0
0.330997,0,0,0,0,0,0,0,0,0,0,0,0
0.332421,0,0,0,0,0,0,0,0,0,0,0,0
0.333857,0,0,0,0,0,0,0,0,0,0,0,0
0.335419,0,0,0,0,0,0,0,0,0,0,0,0
0.337014,0,0,0,0,0,0,0,0,0,0,0,0
0.338660,0,0,0,0,0,0,0,0,0,0,0,0
0.340253,0,0,0,0,0,0,0,0,0,0,0,0
0.341850,0,0,0,0,0,0,0,0,0,0,0,0
0.343446,0,0,0,0,0,0,0,0,0,0,0,0
0.345052,0,0,0,0,0,0,0,0,0,0,0,0
0.346652,0,0,0,0,0,0,0,0,0,0,0,0
0.348129,0,0,0,0,0,0,0,0,0,0,0,0
0.349696,0,0,0,0,0,0,0,0,0,0,0,0
0.351291,0,0,0,0,0,0,0,0,0,0,0,0
0.352890,0,0,0,0,0,0,0,0,0,0,0,0
0.354485,0,0,0,0,0,0,0,0,0,0,0,0
0.355966,0,0,0,0,0,0,0,0,0,0,0,0
0.357533,0,0,0,0,0,0,0,0,0,0,0,0
0.359128,0,0,0,0,0,0,0,0,0,0,0,0
0.360719,0,0,0,0,0,0,0,0,0,0,0,0
0.362207,0,0,0,0,0,0,0,0,0,0,0,0
0.363669,0,0,0,0,0,0,0,0,0,0,0,0
0.365231,0,0,0,0,0,0,0,0,0,0,0,0
0.366709,0,0,0,0,0,0,0,0,0,0,0,0
0.368272,0,0,0,0,0,0,0,0,0,0,0,0
0.369911,0,0,0,0,0,0,0,0,0,0,0,0
0.371477,0,0,0,0,0,0,0,0,0,0,0,0
0.372937,0,0,0,0,0,0,0,0,0,0,0,0
0.374625,0,0,0,0,0,0,0,0,0,0,0,0
0.376105,0,0,0,0,0,0,0,0,0,0,0,0
0.377587,0,0,0,0,0,0,0,0,0,0,0,0
0.379014,0,0,0,0,0,0,0,0,0,0,0,0
0.380437,0,0,0,0,0,0,0,0,0,0,0,0
0.381862,0,0,0,0,0,0,0,0,0,0,0,0
0.383285,0,0,0,0,0,0,0,0,0,0,0,0
0.384832,0,0,0,0,0,0,0,0,0,0,0,0
0.386294,0,0,0,0,0,0,0,0,0,0,0,0
0.387863,0,0,0,0,0,0,0,0,0,0,0,0
0.389545,0,0,0,0,0,0,0,0,0,0,0,0
0.391131,0,0,0,0,0,0,0,0,0,0,0,0
0.392716,0,0,0,0,0,0,0,0,0,0,0,0
0.394179,0,0,0,0,0,0,0,0,0,0,0,0
0.395675,0,0,0,0,0,0,0,0,0,0,0,0
0.398317,0,0,0,0,0,0,0,0,0,0,0,0
0.399765,0,0,0,0,0,0,0,0,0,0,0,0
0.401195,0,0,0,0,0,0,0,0,0,0,0,0
0.402671,0,0,0,0,0,0,0,0,0,0,0,0
0.404099,0,0,0,0,0,0,0,0,0,0,0,0
0.405528,0,0,0,0,0,0,0,0,0,0,0,0
0.407084,0,0,0,0,0,0,0,0,0,0,0,0
0.408677,0,0,0,0,0,0,0,0,0,0,0,0
0.410162,0,0,0,0,0,0,0,0,0,0,0,0
0.411599,0,0,0,0,0,0,0,0,0,0,0,0
0.413029,0,0,0,0,0,0,0,0,0,0,0,0
0.414459,0,0,0,0,0,0,0,0,0,0,0,0
0.415892,0,0,0,0,0,0,0,0,0,0,0,0
0.417375,0,0,0,0,0,0,0,0,0,0,0,0
0.419022,0,0,0,0,0,0,0,0,0,0,0,0
0.420619,0,0,0,0,0,0,0,0,0,0,0,0
0.422083,0,0,0,0,0,0,0,0,0,0,0,0
0.423647,0,0,0,0,0,0,0,0,0,0,0,0
0.425240,0,0,0,0,0,0,0,0,0,0,0,0
0.426905,0,0,0,0,0,0,0,0,0,0,0,0
0.428497,0,0,0,0,0,0,0,0,0,0,0,0
0.430094,0,0,0,0,0,0,0,0,0,0,0,0
0.431701,0,0,0,0,0,0,0,0,0,0,0,0
0.433342,0,0,0,0,0,0,0,0,0,0,0,0
0.434937,0,0,0,0,0,0,0,0,0,0,0,0
0.436529,0,0,0,0,0,0,0,0,0,0,0,0
0.438127,0,0,0,0,0,0,0,0,0,0,0,0
0.439723,0,0,0,0,0,0,0,0,0,0,0,0
