elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.174464,0,0,0,0,0,0
0.176024,0,0,0,0,0,0
0.177631,0,0,0,0,0,0
0.179192,0,0,0,0,0,0
0.180817,0,0,0,0,0,0
0.182385,0,0,0,0,0,0
0.185112,0,0,0,0,0,0
0.186495,0,0,0,0,0,0
0.187866,0,0,0,0,0,0
0.189223,0,0,0,0,0,0
0.190574,0,0,0,0,0,0
0.191923,0,0,0,0,0,0
0.193293,0,0,0,0,0,0
0.194703,0,0,0,0,0,0
0.196121,0,0,0,0,0,0
0.197522,0,0,0,0,0,0
0.198918,0,0,0,0,0,0
0.200313,0,0,0,0,0,0
0.201714,0,0,0,0,0,0
0.203118,0,0,0,0,0,0
0.204516,0,0,0,0,0,0
0.205916,0,0,0,0,0,0
0.207326,0,0,0,0,0,0
0.208725,0,0,0,0,0,0
0.210100,0,0,0,0,0,0
0.211498,0,0,0,0,0,0
0.213023,0,0,0,0,0,0
0.214585,0,0,0,0,0,0
0.216146,0,0,0,0,0,0
0.217764,0,0,0,0,0,0
0.219327,0,0,0,0,0,0
0.220890,0,0,0,0,0,0
0.222452,0,0,0,0,0,0
0.224012,0,0,0,0,0,0
0.225621,0,0,0,0,0,0
0.227182,0,0,0,0,0,0
0.228824,0,0,0,0,0,0
0.230443,0,0,0,0,0,0
0.231995,0,0,0,0,0,0
0.233471,0,0,0,0,0,0
0.235004,0,0,0,0,0,0
0.236564,0,0,0,0,0,0
0.239407,0,0,0,0,0,0
0.240869,0,0,0,0,0,0
0.242319,0,0,0,0,0,0
0.243719,0,0,0,0,0,0
0.245119,0,0,0,0,0,0
0.246518,0,0,0,0,0,0
0.247915,0,0,0,0,0,0
0.249348,0,0,0,0,0,0
0.250747,0,0,0,0,0,0
0.252153,0,0,0,0,0,0
0.253552,0,0,0,0,0,0
0.254949,0,0,0,0,0,0
0.256346,0,0,0,0,0,0
0.257743,0,0,0,0,0,0
0.259268,0,0,0,0,0,0
0.260832,0,0,0,0,0,0
0.262409,0,0,0,0,0,0
0.263970,0,0,0,0,0,0
0.265577,0,0,0,0,0,0
0.267140,0,0,0,0,0,0
0.268701,0,0,0,0,0,0
0.270125,0,0,0,0,0,0
0.271527,0,0,0,0,0,0
0.273063,0,0,0,0,0,0
0.274668,0,0,0,0,0,0
0.276227,0,0,0,0,0,0
0.277787,0,0,0,0,0,0
0.279347,0,0,0,0,0,0
0.280909,0,0,0,0,0,0
0.282513,0,0,0,0,0,0
0.284087,0,0,0,0,0,0
0.285647,0,0,0,0,0,0
0.287208,0,0,0,0,0,0
0.288818,0,0,0,0,0,0
0.290378,0,0,0,0,0,0
0.291936,0,0,0,0,0,0
0.293498,0,0,0,0,0,0
0.295073,0,0,0,0,0,0
0.296632,0,0,0,0,0,0
0.298198,0,0,0,0,0,0
0.299756,0,0,0,0,0,0
0.301318,0,0,0,0,0,0
0.302878,0,0,0,0,0,0
0.304437,0,0,0,0,0,0
0.306088,0,0,0,0,0,0
0.307648,0,0,0,0,0,0
0.309208,0,0,0,0,0,0
0.310770,0,0,0,0,0,0
0.312328,0,0,0,0,0,0
0.313932,0,0,0,0,0,0
0.315493,0,0,0,0,0,0
0.317069,0,0,0,0,0,0
0.318629,0,0,0,0,0,0
0.320188,0,0,0,0,0,0
0.321792,0,0,0,0,0,0
0.323352,0,0,0,0,0,0
0.324914,0,0,0,0,0,0
0.326474,0,0,0,0,0,0
0.328045,0,0,0,0,0,0
0.329652,0,0,0,0,0,0
0.331213,0,0,0,0,0,0
0.332774,0,0,0,0,0,0
0.334335,0,0,0,0,0,0
0.335892,0,0,0,0,0,0
0.337503,0,0,0,0,0,0
0.339077,0,0,0,0,0,0
0.340636,0,0,0,0,0,0
0.342201,0,0,0,0,0,0
0.343760,0,0,0,0,0,0
0.345364,0,0,0,0,0,0
0.346839,0,0,0,0,0,0
0.348368,0,0,0,0,0,0
0.349811,0,0,0,0,0,0
0.351335,0,0,0,0,0,0
0.353000,0,0,0,0,0,0
0.354605,0,0,0,0,0,0
0.356166,0,0,0,0,0,0
0.357728,0,0,0,0,0,0
0.359290,0,0,0,0,0,0
0.360866,0,0,0,0,0,0
0.362472,0,0,0,0,0,0
0.364032,0,0,0,0,0,0
0.365595,0,0,0,0,0,0
0.367158,0,0,0,0,0,0
0.368718,0,0,0,0,0,0
0.370327,0,0,0,0,0,0
0.371901,0,0,0,0,0,0
0.373465,0,0,0,0,0,0
0.375027,0,0,0,0,0,0
0.376587,0,0,0,0,0,0
0.378173,0,0,0,0,0,0
0.379733,0,0,0,0,0,0
0.381298,0,0,0,0,0,0
0.382874,0,0,0,0,0,0
0.384434,0,0,0,0,0,0
0.386085,0,0,0,0,0,0
0.387646,0,0,0,0,0,0
0.389210,0,0,0,0,0,0
0.390772,0,0,0,0,0,0
