group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,slope_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
CP,CP_BUSY_GFX_CORE_IDLE,flat_or_saturated,9107876.0,7576402.0,138179.0,0.018238076596252418,-0.484230908339922,-2004.9005166330658,7576402.0,8318.0,650256.0,734721.0,138179.0
RAS,RAS_BUSY_CYCLES,flat_or_saturated,8170399.0,11181.0,0.0,0.0,-0.31431049241330006,-1124.5790700604832,11181.0,1705381.0,6453837.0,0.0,0.0
SP,SP_TTU_INSTRUCTIONS,flat_or_saturated,6496011.0,6496011.0,0.0,0.0,-0.4766031238193982,-1773.5245085685497,6496011.0,0.0,0.0,0.0,0.0
RBBM,RBBM_US_ALWAYS_ON,flat_or_saturated,6192602.0,5452472.0,75249.0,0.013800896180668145,-0.47753946451539986,-1443.9022807459694,5452472.0,15624.0,247192.0,402065.0,75249.0
RBBM,RBBM_US_STATUS_MASKED,flat_or_saturated,6090713.0,5088650.0,145724.0,0.02863706484038006,-0.46160988843242173,-1286.1041771673392,5088650.0,9866.0,236246.0,610227.0,145724.0
SP,SP_SCH_MEM_CTRL_WORKING_CYCLES,flat_or_saturated,5961590.0,5961590.0,0.0,0.0,-0.47660312381939807,-1627.6182375672056,5961590.0,0.0,0.0,0.0,0.0
SP,SP_TTU_GPR_RD_REQ,flat_or_saturated,5890727.0,5890727.0,0.0,0.0,-0.4766031238193981,-1608.2714003696249,5890727.0,0.0,0.0,0.0,0.0
SP,SP_WORKING_EU_CS_STAGE,flat_or_saturated,5822752.0,5822752.0,0.0,0.0,-0.4766031238193982,-1589.7130376344098,5822752.0,0.0,0.0,0.0,0.0
SP,SP_WORKING_EU_FS_STAGE,flat_or_saturated,5822752.0,5822752.0,0.0,0.0,-0.4766031238193982,-1589.7130376344098,5822752.0,0.0,0.0,0.0,0.0
SP,SP_WORKING_EU,flat_or_saturated,5821937.0,5821937.0,0.0,0.0,-0.4766031238193982,-1589.4905283938183,5821937.0,0.0,0.0,0.0,0.0
SP,SP_GPR_CACHE_SRC2_RDCNT,flat_or_saturated,5818720.0,5818720.0,0.0,0.0,-0.4766031238193981,-1588.612231182797,5818720.0,0.0,0.0,0.0,0.0
SP,SP_GPR_CACHE_SRC2_GPR_CACHE_HINT_RDCNT,flat_or_saturated,5818600.0,5818600.0,0.0,0.0,-0.4766031238193981,-1588.5794690860228,5818600.0,0.0,0.0,0.0,0.0
SP,SP_FS_WAVE_REQ_PENDING,flat_or_saturated,5808437.0,5808437.0,0.0,0.0,-0.4766031238193981,-1585.8047925067215,5808437.0,0.0,0.0,0.0,0.0
SP,SP_WAVE_SHORT_SYNC_CYCLES,flat_or_saturated,5441454.0,5441454.0,0.0,0.0,-0.47660312381939823,-1485.6120211693556,5441454.0,0.0,0.0,0.0,0.0
SP,SP_SEQUENCER_WORKING_CYCLES,flat_or_saturated,4996680.0,4996680.0,0.0,0.0,-0.4766031238193983,-1364.1809475806463,4996680.0,0.0,0.0,0.0,0.0
SP,SP_GPR_CACHE_SRC0_GPR_CACHE_HINT_RDCNT,flat_or_saturated,4990160.0,4990160.0,0.0,0.0,-0.4766031238193981,-1362.4008736559147,4990160.0,0.0,0.0,0.0,0.0
