elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.478485,0,0,104,0
0.480037,0,0,104,0
0.481586,0,0,104,0
0.483164,0,0,104,0
0.484713,0,0,104,0
0.486265,0,0,104,0
0.487815,0,0,104,0
0.489377,0,0,104,0
0.490969,0,0,104,0
0.492519,0,0,104,0
0.494069,0,0,104,0
0.495617,0,0,104,0
0.497164,0,0,104,0
0.498755,0,0,104,0
0.500317,0,0,104,0
0.501867,0,0,104,0
0.503417,0,0,104,0
0.504964,0,0,104,0
0.506559,0,0,104,0
0.508109,0,0,104,0
0.509655,0,0,104,0
0.511222,0,0,104,0
0.512769,0,0,104,0
0.514363,0,0,104,0
0.515911,0,0,104,0
0.517458,0,0,104,0
0.519102,0,0,104,0
0.520649,0,0,104,0
0.522255,0,0,104,0
0.523804,0,0,104,0
0.525351,0,0,104,0
0.526900,0,0,104,0
0.528449,0,0,104,0
0.530047,0,0,104,0
0.531641,0,0,104,0
0.533202,0,0,104,0
0.534751,0,0,104,0
0.536300,0,0,104,0
0.537851,0,0,104,0
0.539444,0,0,104,0
0.540992,0,0,104,0
0.542543,0,0,104,0
0.544106,0,0,104,0
0.545653,0,0,104,0
0.547208,0,0,104,0
0.548755,0,0,104,0
0.550306,0,0,104,0
0.551856,0,0,104,0
0.553402,0,0,104,0
0.555035,0,0,104,0
0.556584,0,0,104,0
0.558134,0,0,104,0
0.559683,0,0,104,0
0.561230,0,0,104,0
0.562836,0,0,104,0
0.565285,0,0,104,0
0.566723,0,0,104,0
0.568110,0,0,104,0
0.569492,0,0,104,0
0.570986,0,0,104,0
0.572577,0,0,104,0
0.574292,0,0,104,0
0.575757,0,0,104,0
0.577303,0,0,104,0
0.578758,0,0,104,0
0.580154,0,0,104,0
0.581540,0,0,104,0
0.582927,0,0,104,0
0.584309,0,0,104,0
0.585689,0,0,104,0
0.587165,0,0,104,0
0.588560,0,0,104,0
0.589977,0,0,104,0
0.591357,0,0,104,0
0.592737,0,0,104,0
0.594118,0,0,104,0
0.595654,0,0,104,0
0.597203,0,0,104,0
0.598767,0,0,104,0
0.600317,0,0,104,0
0.601868,0,0,104,0
0.603463,0,0,104,0
0.605012,0,0,104,0
0.606563,0,0,104,0
0.608113,0,0,104,0
0.609551,0,0,104,0
0.611079,0,0,104,0
0.612627,0,0,104,0
0.614179,0,0,104,0
0.615728,0,0,104,0
0.617276,0,0,104,0
0.618870,0,0,104,0
0.620434,0,0,104,0
0.621986,0,0,104,0
0.623536,0,0,104,0
0.625086,0,0,104,0
0.626679,0,0,104,0
0.628229,0,0,104,0
0.629781,0,0,104,0
0.631343,0,0,104,0
0.632888,0,0,104,0
0.634482,0,0,104,0
0.636031,0,0,104,0
0.637579,0,0,104,0
0.639130,0,0,104,0
0.640679,0,0,104,0
0.642287,0,0,104,0
0.643751,0,0,104,0
0.645273,0,0,104,0
0.646823,0,0,104,0
0.648372,0,0,104,0
0.649922,0,0,104,0
0.651512,0,0,104,0
0.653112,0,0,104,0
0.654506,0,0,104,0
0.656032,0,0,104,0
0.657580,0,0,104,0
0.659132,0,0,104,0
0.660681,0,0,104,0
0.662232,0,0,104,0
0.663795,0,0,104,0
0.665342,0,0,104,0
0.666933,0,0,104,0
0.668483,0,0,104,0
0.670034,0,0,104,0
0.671886,0,0,104,0
0.673429,0,0,104,0
0.674986,0,0,104,0
0.676498,0,0,104,0
0.677928,0,0,104,0
0.679448,0,0,104,0
0.680997,0,0,104,0
0.682596,0,0,104,0
0.684149,0,0,104,0
0.685713,0,0,104,0
0.687306,0,0,104,0
0.688857,0,0,104,0
0.690452,0,0,104,0
0.692005,0,0,104,0
0.693555,0,0,104,0
0.695110,0,0,104,0
0.696672,0,0,104,0
0.698268,0,0,104,0
0.699820,0,0,104,0
0.701370,0,0,104,0
0.702921,0,0,104,0
0.704473,0,0,104,0
0.706026,0,0,104,0
0.707635,0,0,104,0
0.709184,0,0,104,0
0.710735,0,0,104,0
0.712287,0,0,104,0
0.715243,0,0,104,0
0.716697,0,0,104,0
0.718109,0,0,104,0
0.719493,0,0,104,0
0.720874,0,0,104,0
0.722259,0,0,104,0
0.723681,0,0,104,0
0.725071,0,0,104,0
0.726458,0,0,104,0
0.727842,0,0,104,0
0.729235,0,0,104,0
0.730664,0,0,104,0
0.732048,0,0,104,0
0.733433,0,0,104,0
0.734827,0,0,104,0
