elapsed_s,PC_US_MESH_DRAWS,PC_US_MESH_DEAD_DRAWS,PC_US_MESH_MVIS_EN_DRAWS,PC_US_MESH_DEAD_PRIM,PC_US_MESH_LIVE_PRIM,PC_US_MESH_PA_EN_PRIM,PC_US_STARVE_CYCLES_FOR_MVIS_STREAM,PC_US_STARVE_CYCLES_PREDRAW
0.131000,0,0,0,0,0,0,0,0
0.132502,0,0,0,0,0,0,0,0
0.133998,0,0,0,0,0,0,0,0
0.135494,0,0,0,0,0,0,0,0
0.137019,0,0,0,0,0,0,0,0
0.138527,0,0,0,0,0,0,0,0
0.140026,0,0,0,0,0,0,0,0
0.141522,0,0,0,0,0,0,0,0
0.143012,0,0,0,0,0,0,0,0
0.144508,0,0,0,0,0,0,0,0
0.146032,0,0,0,0,0,0,0,0
0.147529,0,0,0,0,0,0,0,0
0.149037,0,0,0,0,0,0,0,0
0.150536,0,0,0,0,0,0,0,0
0.152034,0,0,0,0,0,0,0,0
0.153534,0,0,0,0,0,0,0,0
0.155047,0,0,0,0,0,0,0,0
0.156544,0,0,0,0,0,0,0,0
0.158041,0,0,0,0,0,0,0,0
0.159551,0,0,0,0,0,0,0,0
0.161074,0,0,0,0,0,0,0,0
0.162573,0,0,0,0,0,0,0,0
0.164073,0,0,0,0,0,0,0,0
0.165570,0,0,0,0,0,0,0,0
0.167069,0,0,0,0,0,0,0,0
0.168613,0,0,0,0,0,0,0,0
0.169822,0,0,0,0,0,0,0,0
0.171269,0,0,0,0,0,0,0,0
0.172720,0,0,0,0,0,0,0,0
0.174162,0,0,0,0,0,0,0,0
0.175604,0,0,0,0,0,0,0,0
0.177065,0,0,0,0,0,0,0,0
0.178507,0,0,0,0,0,0,0,0
0.179949,0,0,0,0,0,0,0,0
0.181390,0,0,0,0,0,0,0,0
0.182860,0,0,0,0,0,0,0,0
0.184301,0,0,0,0,0,0,0,0
0.185758,0,0,0,0,0,0,0,0
0.187092,0,0,0,0,0,0,0,0
0.188536,0,0,0,0,0,0,0,0
0.189976,0,0,0,0,0,0,0,0
0.191424,0,0,0,0,0,0,0,0
0.192884,0,0,0,0,0,0,0,0
0.194324,0,0,0,0,0,0,0,0
0.201744,0,0,0,0,0,0,0,0
0.203193,0,0,0,0,0,0,0,0
0.204635,0,0,0,0,0,0,0,0
0.205964,0,0,0,0,0,0,0,0
0.207404,0,0,0,0,0,0,0,0
0.208864,0,0,0,0,0,0,0,0
0.210306,0,0,0,0,0,0,0,0
0.211747,0,0,0,0,0,0,0,0
0.213195,0,0,0,0,0,0,0,0
0.214637,0,0,0,0,0,0,0,0
0.216077,0,0,0,0,0,0,0,0
0.217519,0,0,0,0,0,0,0,0
0.218883,0,0,0,0,0,0,0,0
0.220324,0,0,0,0,0,0,0,0
0.221732,0,0,0,0,0,0,0,0
0.223066,0,0,0,0,0,0,0,0
0.224514,0,0,0,0,0,0,0,0
0.225975,0,0,0,0,0,0,0,0
0.227418,0,0,0,0,0,0,0,0
0.228749,0,0,0,0,0,0,0,0
0.230189,0,0,0,0,0,0,0,0
0.231631,0,0,0,0,0,0,0,0
0.233090,0,0,0,0,0,0,0,0
0.234538,0,0,0,0,0,0,0,0
0.235979,0,0,0,0,0,0,0,0
0.237419,0,0,0,0,0,0,0,0
0.238842,0,0,0,0,0,0,0,0
0.240283,0,0,0,0,0,0,0,0
0.241763,0,0,0,0,0,0,0,0
