elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.906281,0,0,0,0,0,0
0.907843,0,0,0,0,0,0
0.909404,0,0,0,0,0,0
0.910793,0,0,0,0,0,0
0.912197,0,0,0,0,0,0
0.913726,0,0,0,0,0,0
0.915301,0,0,0,0,0,0
0.916863,0,0,0,0,0,0
0.918425,0,0,0,0,0,0
0.919987,0,0,0,0,0,0
0.921550,0,0,0,0,0,0
0.923158,0,0,0,0,0,0
0.924717,0,0,0,0,0,0
0.926292,0,0,0,0,0,0
0.927846,0,0,0,0,0,0
0.929397,0,0,0,0,0,0
0.931019,0,0,0,0,0,0
0.932581,0,0,0,0,0,0
0.934146,0,0,0,0,0,0
0.935706,0,0,0,0,0,0
0.937277,0,0,0,0,0,0
0.938837,0,0,0,0,0,0
0.940394,0,0,0,0,0,0
0.941955,0,0,0,0,0,0
0.943518,0,0,0,0,0,0
0.945073,0,0,0,0,0,0
0.946505,0,0,0,0,0,0
0.948046,0,0,0,0,0,0
0.949607,0,0,0,0,0,0
0.951168,0,0,0,0,0,0
0.952726,0,0,0,0,0,0
0.954331,0,0,0,0,0,0
0.955892,0,0,0,0,0,0
0.957521,0,0,0,0,0,0
0.959026,0,0,0,0,0,0
0.960556,0,0,0,0,0,0
0.962118,0,0,0,0,0,0
0.963679,0,0,0,0,0,0
0.965238,0,0,0,0,0,0
0.966802,0,0,0,0,0,0
0.968361,0,0,0,0,0,0
0.969981,0,0,0,0,0,0
0.971542,0,0,0,0,0,0
0.973101,0,0,0,0,0,0
0.974724,0,0,0,0,0,0
0.976284,0,0,0,0,0,0
0.977862,0,0,0,0,0,0
0.979422,0,0,0,0,0,0
0.980994,0,0,0,0,0,0
0.982554,0,0,0,0,0,0
0.984114,0,0,0,0,0,0
0.985675,0,0,0,0,0,0
0.987282,0,0,0,0,0,0
0.988731,0,0,0,0,0,0
0.990158,0,0,0,0,0,0
0.991726,0,0,0,0,0,0
0.993285,0,0,0,0,0,0
0.994907,0,0,0,0,0,0
0.996348,0,0,0,0,0,0
0.998137,0,0,0,0,0,0
1.000228,0,0,0,0,0,0
1.001697,0,0,0,0,0,0
1.003147,0,0,0,0,0,0
1.004546,0,0,0,0,0,0
1.005939,0,0,0,0,0,0
1.007331,0,0,0,0,0,0
1.008723,0,0,0,0,0,0
1.010078,0,0,0,0,0,0
1.011596,0,0,0,0,0,0
1.013040,0,0,0,0,0,0
1.014442,0,0,0,0,0,0
1.015841,0,0,0,0,0,0
1.017236,0,0,0,0,0,0
1.018726,0,0,0,0,0,0
1.020129,0,0,0,0,0,0
1.021531,0,0,0,0,0,0
1.022925,0,0,0,0,0,0
1.024329,0,0,0,0,0,0
1.025727,0,0,0,0,0,0
1.027162,0,0,0,0,0,0
1.028562,0,0,0,0,0,0
1.029965,0,0,0,0,0,0
1.031364,0,0,0,0,0,0
1.032765,0,0,0,0,0,0
1.034203,0,0,0,0,0,0
1.035698,0,0,0,0,0,0
1.037262,0,0,0,0,0,0
1.038830,0,0,0,0,0,0
1.040395,0,0,0,0,0,0
1.041963,0,0,0,0,0,0
1.043520,0,0,0,0,0,0
1.045076,0,0,0,0,0,0
1.046594,0,0,0,0,0,0
1.048128,0,0,0,0,0,0
1.049697,0,0,0,0,0,0
1.051308,0,0,0,0,0,0
1.052872,0,0,0,0,0,0
1.054438,0,0,0,0,0,0
1.056003,0,0,0,0,0,0
1.057583,0,0,0,0,0,0
1.059150,0,0,0,0,0,0
1.060713,0,0,0,0,0,0
1.062280,0,0,0,0,0,0
1.063844,0,0,0,0,0,0
1.065409,0,0,0,0,0,0
1.067018,0,0,0,0,0,0
1.068470,0,0,0,0,0,0
1.069873,0,0,0,0,0,0
1.071406,0,0,0,0,0,0
