elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.511523,0,423031,3620,2506
0.512928,0,417579,3573,2471
0.514450,0,431630,3695,2482
0.516003,0,430398,3685,2491
0.517553,0,429417,3676,2554
0.519148,0,444065,3806,2474
0.520702,0,429763,3680,2465
0.522370,0,433461,3712,2479
0.523935,0,430284,3684,2477
0.525484,0,440495,3774,2481
0.527079,0,432171,3700,2577
0.528632,0,431763,3696,2618
0.530186,0,428153,3666,2601
0.531728,0,435532,3730,2463
0.533267,0,436854,3742,2481
0.534741,0,421559,3606,2472
0.536265,0,441287,3781,2469
0.537815,0,489023,4196,2496
0.539421,0,444323,3806,2464
0.540971,0,432273,3702,2476
0.542526,0,479225,4110,2471
0.544114,0,426563,3651,2562
0.545668,0,425008,4629,2474
0.547220,0,561671,3839,2477
0.548614,0,402621,3443,2548
0.550006,0,402866,3444,2475
0.551436,0,418349,3581,2479
0.552824,0,420461,3599,2478
0.554213,0,420119,3596,2474
0.555739,0,430420,3685,2475
0.557291,0,431205,3691,2477
0.558886,0,433627,3713,2472
0.560439,0,428836,3672,2472
0.562070,0,482771,4142,2469
0.563540,0,419932,3595,2482
0.564930,0,401696,3435,2482
0.566457,0,480769,4125,2480
0.568053,0,430225,3684,2474
0.569602,0,441179,3779,2471
0.571152,0,431026,3691,2477
0.572703,0,430079,3682,2588
0.574254,0,430587,3687,2478
0.575806,0,431076,3691,2475
0.577368,0,439614,3765,2493
0.578919,0,431441,3694,2482
0.580469,0,429360,3676,2469
0.582022,0,430558,3686,2474
0.583574,0,432095,3701,2481
0.585123,0,427348,3659,2479
0.586673,0,429730,3680,2469
0.588236,0,430218,3684,2564
0.589783,0,433968,3716,2558
0.591376,0,432353,3703,2504
0.592925,0,431139,3692,2476
0.594477,0,431438,3693,2476
0.596028,0,430118,3685,2474
0.597575,0,430552,3684,2522
0.599051,0,419451,3589,2473
0.600572,0,429762,3680,2544
0.602122,0,429183,3676,2482
0.603672,0,430750,3688,2479
0.605220,0,427097,3656,2477
0.606814,0,431523,3694,2481
0.608367,0,429222,3675,2470
0.609928,0,593718,5111,2483
0.611502,0,419342,3587,2473
0.612893,0,419571,3591,2478
0.614410,0,480779,4126,2466
0.616006,0,431326,3694,2469
0.617555,0,429221,3673,2471
0.619106,0,429666,3678,2475
0.620668,0,430610,3686,2624
0.622220,0,439959,3769,2479
0.623773,0,431210,3693,2474
0.625322,0,430696,3687,2473
0.626872,0,430528,3687,2474
0.628423,0,432027,3698,2466
0.630039,0,506996,4354,2479
0.631669,0,430743,3686,2473
0.633217,0,429993,3684,2485
0.634641,0,409448,3501,2483
0.636160,0,424490,3634,2477
0.637700,0,514603,4687,2476
0.639401,0,466236,3732,2592
0.640952,0,431140,3693,2612
0.642517,0,432773,3705,2484
0.644070,0,432768,3706,2473
0.645620,0,430188,3683,2467
0.647086,0,416950,3567,2587
0.648609,0,442582,3792,2474
0.650163,0,430658,3686,2480
0.651716,0,430776,3689,2482
