elapsed_s,HLSQ_FS_SP_CCTX_NUM,HLSQ_BV_SP_CCTX_NUM,HLSQ_VS_SP_SCTX_NUM,HLSQ_FS_SP_SCTX_NUM,HLSQ_BV_SP_SCTX_NUM
0.683681,0,0,0,0,0
0.685253,0,0,0,0,0
0.686810,0,0,0,0,0
0.688363,0,0,0,0,0
0.689919,0,0,0,0,0
0.691476,0,0,0,0,0
0.693034,0,0,0,0,0
0.694591,0,0,0,0,0
0.696160,0,0,0,0,0
0.697717,0,0,0,0,0
0.699275,0,0,0,0,0
0.700826,0,0,0,0,0
0.702275,0,0,0,0,0
0.703801,0,0,0,0,0
0.705359,0,0,0,0,0
0.706929,0,0,0,0,0
0.708484,0,0,0,0,0
0.710084,0,0,0,0,0
0.711640,0,0,0,0,0
0.713198,0,0,0,0,0
0.714756,0,0,0,0,0
0.716310,0,0,0,0,0
0.717880,0,0,0,0,0
0.719437,0,0,0,0,0
0.720995,0,0,0,0,0
0.722552,0,0,0,0,0
0.724108,0,0,0,0,0
0.725708,0,0,0,0,0
0.727264,0,0,0,0,0
0.728833,0,0,0,0,0
0.730393,0,0,0,0,0
0.731948,0,0,0,0,0
0.733505,0,0,0,0,0
0.735063,0,0,0,0,0
0.736617,0,0,0,0,0
0.738365,0,0,0,0,0
0.739935,0,0,0,0,0
0.741537,0,0,0,0,0
0.743085,0,0,0,0,0
0.744630,0,0,0,0,0
0.746279,0,0,0,0,0
0.747804,0,0,0,0,0
0.749363,0,0,0,0,0
0.750932,0,0,0,0,0
0.752487,0,0,0,0,0
0.754044,0,0,0,0,0
0.755601,0,0,0,0,0
0.757158,0,0,0,0,0
0.758758,0,0,0,0,0
0.760312,0,0,0,0,0
0.761882,0,0,0,0,0
0.763430,0,0,0,0,0
0.765062,0,0,0,0,0
0.766690,0,0,0,0,0
0.768242,0,0,0,0,0
0.769799,0,0,0,0,0
0.771354,0,0,0,0,0
0.772921,0,0,0,0,0
0.774547,0,0,0,0,0
0.776101,0,0,0,0,0
0.777658,0,0,0,0,0
0.779213,0,0,0,0,0
0.780767,0,0,0,0,0
0.782326,0,0,0,0,0
0.783768,0,0,0,0,0
0.785296,0,0,0,0,0
0.786851,0,0,0,0,0
0.788404,0,0,0,0,0
0.790001,0,0,0,0,0
0.791557,0,0,0,0,0
0.793113,0,0,0,0,0
0.794682,0,0,0,0,0
0.796236,0,0,0,0,0
0.797793,0,0,0,0,0
0.799349,0,0,0,0,0
0.800901,0,0,0,0,0
0.802459,0,0,0,0,0
0.803902,0,0,0,0,0
0.805491,0,0,0,0,0
0.807048,0,0,0,0,0
0.808602,0,0,0,0,0
0.810029,0,0,0,0,0
0.811554,0,0,0,0,0
0.813113,0,0,0,0,0
0.814669,0,0,0,0,0
0.816236,0,0,0,0,0
0.817794,0,0,0,0,0
0.819350,0,0,0,0,0
0.820903,0,0,0,0,0
0.822466,0,0,0,0,0
0.824021,0,0,0,0,0
0.825578,0,0,0,0,0
0.827147,0,0,0,0,0
0.828701,0,0,0,0,0
0.830261,0,0,0,0,0
0.831815,0,0,0,0,0
0.833373,0,0,0,0,0
0.834926,0,0,0,0,0
0.836481,0,0,0,0,0
0.838094,0,0,0,0,0
0.839651,0,0,0,0,0
0.841209,0,0,0,0,0
0.842765,0,0,0,0,0
0.844320,0,0,0,0,0
0.845875,0,0,0,0,0
0.847423,0,0,0,0,0
0.849212,0,0,0,0,0
0.850764,0,0,0,0,0
0.852318,0,0,0,0,0
0.853915,0,0,0,0,0
0.855469,0,0,0,0,0
0.857027,0,0,0,0,0
0.858583,0,0,0,0,0
0.860150,0,0,0,0,0
0.861707,0,0,0,0,0
0.863263,0,0,0,0,0
0.864816,0,0,0,0,0
0.866374,0,0,0,0,0
0.867926,0,0,0,0,0
0.869526,0,0,0,0,0
0.871093,0,0,0,0,0
0.872646,0,0,0,0,0
0.874270,0,0,0,0,0
0.875823,0,0,0,0,0
0.877378,0,0,0,0,0
0.878932,0,0,0,0,0
0.880485,0,0,0,0,0
0.882053,0,0,0,0,0
0.883608,0,0,0,0,0
0.885165,0,0,0,0,0
0.886762,0,0,0,0,0
0.888315,0,0,0,0,0
0.889868,0,0,0,0,0
0.891423,0,0,0,0,0
0.892992,0,0,0,0,0
0.894546,0,0,0,0,0
0.896100,0,0,0,0,0
0.897656,0,0,0,0,0
0.899211,0,0,0,0,0
0.900762,0,0,0,0,0
0.902321,0,0,0,0,0
0.903888,0,0,0,0,0
0.905444,0,0,0,0,0
0.906877,0,0,0,0,0
0.908403,0,0,0,0,0
0.909957,0,0,0,0,0
0.911512,0,0,0,0,0
0.913068,0,0,0,0,0
0.914635,0,0,0,0,0
0.916187,0,0,0,0,0
0.917787,0,0,0,0,0
0.919343,0,0,0,0,0
0.920896,0,0,0,0,0
0.922455,0,0,0,0,0
0.924007,0,0,0,0,0
0.925577,0,0,0,0,0
0.927131,0,0,0,0,0
0.928683,0,0,0,0,0
0.930240,0,0,0,0,0
0.931793,0,0,0,0,0
0.933350,0,0,0,0,0
0.934903,0,0,0,0,0
0.936470,0,0,0,0,0
0.938023,0,0,0,0,0
0.939576,0,0,0,0,0
0.941128,0,0,0,0,0
0.942651,0,0,0,0,0
0.944198,0,0,0,0,0
0.945625,0,0,0,0,0
0.947162,0,0,0,0,0
0.948717,0,0,0,0,0
0.950275,0,0,0,0,0
0.951821,0,0,0,0,0
0.953247,0,0,0,0,0
0.954772,0,0,0,0,0
0.956326,0,0,0,0,0
0.957895,0,0,0,0,0
0.959347,0,0,0,0,0
0.960897,0,0,0,0,0
0.962458,0,0,0,0,0
0.964012,0,0,0,0,0
0.965617,0,0,0,0,0
0.967172,0,0,0,0,0
0.968740,0,0,0,0,0
0.970298,0,0,0,0,0
0.971853,0,0,0,0,0
0.973409,0,0,0,0,0
0.974964,0,0,0,0,0
0.976518,0,0,0,0,0
0.978073,0,0,0,0,0
0.979641,0,0,0,0,0
0.981199,0,0,0,0,0
0.982800,0,0,0,0,0
0.984353,0,0,0,0,0
0.985908,0,0,0,0,0
0.987464,0,0,0,0,0
0.989057,0,0,0,0,0
0.990627,0,0,0,0,0
0.992180,0,0,0,0,0
0.993582,0,0,0,0,0
0.995103,0,0,0,0,0
0.996656,0,0,0,0,0
0.998146,0,0,0,0,0
0.999671,0,0,0,0,0
