elapsed_s,RAS_LRZ_INTF_WORKING_CYCLES,RAS_BLOCKS,RAS_FALSE_PARTIAL_STILE,RAS_SLICE_BLOCK_NONEMTPY
0.648014,0,0,0,0
0.649563,0,0,0,0
0.650981,0,0,0,0
0.652374,0,0,0,0
0.653894,0,0,0,0
0.655456,0,0,0,0
0.657005,0,0,0,0
0.658555,0,0,0,0
0.660105,0,0,0,0
0.661658,0,0,0,0
0.663208,0,0,0,0
0.664756,0,0,0,0
0.666363,0,0,0,0
0.667794,0,0,0,0
0.669320,0,0,0,0
0.670876,0,0,0,0
0.672426,0,0,0,0
0.674080,0,0,0,0
0.675631,0,0,0,0
0.677194,0,0,0,0
0.678744,0,0,0,0
0.680295,0,0,0,0
0.681847,0,0,0,0
0.683441,0,0,0,0
0.684989,0,0,0,0
0.686538,0,0,0,0
0.688102,0,0,0,0
0.689653,0,0,0,0
0.691203,0,0,0,0
0.692751,0,0,0,0
0.694303,0,0,0,0
0.695852,0,0,0,0
0.697400,0,0,0,0
0.698968,0,0,0,0
0.700517,0,0,0,0
0.702069,0,0,0,0
0.703618,0,0,0,0
0.705166,0,0,0,0
0.706715,0,0,0,0
0.708266,0,0,0,0
0.709831,0,0,0,0
0.711381,0,0,0,0
0.712929,0,0,0,0
0.714523,0,0,0,0
0.716065,0,0,0,0
0.717702,0,0,0,0
0.719178,0,0,0,0
0.720580,0,0,0,0
0.722142,0,0,0,0
0.723572,0,0,0,0
0.724970,0,0,0,0
0.726397,0,0,0,0
0.727780,0,0,0,0
0.729161,0,0,0,0
0.730583,0,0,0,0
0.732006,0,0,0,0
0.733393,0,0,0,0
0.734909,0,0,0,0
0.736458,0,0,0,0
0.738008,0,0,0,0
0.739556,0,0,0,0
0.741104,0,0,0,0
0.742666,0,0,0,0
0.744213,0,0,0,0
0.745763,0,0,0,0
0.747357,0,0,0,0
0.748904,0,0,0,0
0.750452,0,0,0,0
0.752001,0,0,0,0
0.753561,0,0,0,0
0.755526,0,0,0,0
0.756950,0,0,0,0
0.758344,0,0,0,0
0.759733,0,0,0,0
0.761118,0,0,0,0
0.762548,0,0,0,0
0.763950,0,0,0,0
0.765533,0,0,0,0
0.767086,0,0,0,0
0.768632,0,0,0,0
0.770182,0,0,0,0
0.771730,0,0,0,0
0.773276,0,0,0,0
0.774774,0,0,0,0
0.776291,0,0,0,0
0.777841,0,0,0,0
0.779436,0,0,0,0
0.780982,0,0,0,0
0.782531,0,0,0,0
0.784079,0,0,0,0
0.785642,0,0,0,0
0.787191,0,0,0,0
0.788738,0,0,0,0
0.790287,0,0,0,0
0.791837,0,0,0,0
0.793384,0,0,0,0
0.794936,0,0,0,0
0.796496,0,0,0,0
0.798046,0,0,0,0
0.799594,0,0,0,0
0.801141,0,0,0,0
0.802687,0,0,0,0
0.804236,0,0,0,0
0.805786,0,0,0,0
0.807347,0,0,0,0
0.808893,0,0,0,0
0.810486,0,0,0,0
0.812035,0,0,0,0
0.813581,0,0,0,0
0.815177,0,0,0,0
0.816775,0,0,0,0
0.818340,0,0,0,0
0.819891,0,0,0,0
0.821439,0,0,0,0
0.823013,0,0,0,0
0.824561,0,0,0,0
0.826157,0,0,0,0
0.827707,0,0,0,0
0.829270,0,0,0,0
0.830867,0,0,0,0
0.832415,0,0,0,0
0.833967,0,0,0,0
0.835518,0,0,0,0
0.837067,0,0,0,0
0.838617,0,0,0,0
0.840181,0,0,0,0
0.841733,0,0,0,0
0.843329,0,0,0,0
0.844878,0,0,0,0
0.846431,0,0,0,0
0.847981,0,0,0,0
0.849530,0,0,0,0
0.851098,0,0,0,0
0.852647,0,0,0,0
0.854199,0,0,0,0
0.855740,0,0,0,0
0.857279,0,0,0,0
0.859018,0,0,0,0
0.860567,0,0,0,0
0.862131,0,0,0,0
0.863681,0,0,0,0
0.865228,0,0,0,0
0.866776,0,0,0,0
0.868326,0,0,0,0
0.869877,0,0,0,0
0.871426,0,0,0,0
0.872985,0,0,0,0
0.874578,0,0,0,0
0.876127,0,0,0,0
0.877678,0,0,0,0
0.879227,0,0,0,0
0.880775,0,0,0,0
0.882326,0,0,0,0
0.883889,0,0,0,0
0.885436,0,0,0,0
0.886824,0,0,0,0
0.888214,0,0,0,0
0.889730,0,0,0,0
0.891323,0,0,0,0
0.892870,0,0,0,0
0.894431,0,0,0,0
0.895980,0,0,0,0
0.897527,0,0,0,0
0.899080,0,0,0,0
0.900627,0,0,0,0
0.902177,0,0,0,0
0.903727,0,0,0,0
0.905287,0,0,0,0
0.906911,0,0,0,0
0.908458,0,0,0,0
0.910009,0,0,0,0
0.911558,0,0,0,0
0.913105,0,0,0,0
