elapsed_s,RB_C_WRITE,RB_TOTAL_PASS,RB_Z_PASS,RB_Z_FAIL,RB_S_FAIL,RB_BLENDED_FXP_COMPONENTS,RB_BLENDED_FP16_COMPONENTS,RB_PS_INVOCATIONS
0.152520,0,0,0,0,0,0,0,0
0.153930,0,0,0,0,0,0,0,0
0.155340,0,0,0,0,0,0,0,0
0.156790,0,0,0,0,0,0,0,0
0.158328,0,0,0,0,0,0,0,0
0.159786,0,0,0,0,0,0,0,0
0.161331,0,0,0,0,0,0,0,0
0.162901,0,0,0,0,0,0,0,0
0.164470,0,0,0,0,0,0,0,0
0.166040,0,0,0,0,0,0,0,0
0.167610,0,0,0,0,0,0,0,0
0.169183,0,0,0,0,0,0,0,0
0.170768,0,0,0,0,0,0,0,0
0.172337,0,0,0,0,0,0,0,0
0.173951,0,0,0,0,0,0,0,0
0.175521,0,0,0,0,0,0,0,0
0.177093,0,0,0,0,0,0,0,0
0.178657,0,0,0,0,0,0,0,0
0.180217,0,0,0,0,0,0,0,0
0.181668,0,0,0,0,0,0,0,0
0.183206,0,0,0,0,0,0,0,0
0.184787,0,0,0,0,0,0,0,0
0.186366,0,0,0,0,0,0,0,0
0.187934,0,0,0,0,0,0,0,0
0.189506,0,0,0,0,0,0,0,0
0.191076,0,0,0,0,0,0,0,0
0.192657,0,0,0,0,0,0,0,0
0.194231,0,0,0,0,0,0,0,0
0.195798,0,0,0,0,0,0,0,0
0.197370,0,0,0,0,0,0,0,0
0.198939,0,0,0,0,0,0,0,0
0.200507,0,0,0,0,0,0,0,0
0.202076,0,0,0,0,0,0,0,0
0.203659,0,0,0,0,0,0,0,0
0.205273,0,0,0,0,0,0,0,0
0.206844,0,0,0,0,0,0,0,0
0.208412,0,0,0,0,0,0,0,0
0.209981,0,0,0,0,0,0,0,0
0.211424,0,0,0,0,0,0,0,0
0.212969,0,0,0,0,0,0,0,0
0.214555,0,0,0,0,0,0,0,0
0.216124,0,0,0,0,0,0,0,0
0.217698,0,0,0,0,0,0,0,0
0.219270,0,0,0,0,0,0,0,0
0.220883,0,0,0,0,0,0,0,0
0.222476,0,0,0,0,0,0,0,0
0.223891,0,0,0,0,0,0,0,0
0.225440,0,0,0,0,0,0,0,0
0.227013,0,0,0,0,0,0,0,0
0.228583,0,0,0,0,0,0,0,0
0.230209,0,0,0,0,0,0,0,0
0.231780,0,0,0,0,0,0,0,0
0.233353,0,0,0,0,0,0,0,0
0.234926,0,0,0,0,0,0,0,0
0.236508,0,0,0,0,0,0,0,0
0.238181,0,0,0,0,0,0,0,0
0.239752,0,0,0,0,0,0,0,0
0.241326,0,0,0,0,0,0,0,0
0.242899,0,0,0,0,0,0,0,0
0.244512,0,0,0,0,0,0,0,0
0.246083,0,0,0,0,0,0,0,0
0.247667,0,0,0,0,0,0,0,0
0.249241,0,0,0,0,0,0,0,0
0.250813,0,0,0,0,0,0,0,0
0.252382,0,0,0,0,0,0,0,0
0.253999,0,0,0,0,0,0,0,0
0.255571,0,0,0,0,0,0,0,0
0.257146,0,0,0,0,0,0,0,0
0.258732,0,0,0,0,0,0,0,0
0.260301,0,0,0,0,0,0,0,0
0.261874,0,0,0,0,0,0,0,0
0.263386,0,0,0,0,0,0,0,0
0.265018,0,0,0,0,0,0,0,0
0.266590,0,0,0,0,0,0,0,0
0.268162,0,0,0,0,0,0,0,0
0.269622,0,0,0,0,0,0,0,0
0.271166,0,0,0,0,0,0,0,0
0.272737,0,0,0,0,0,0,0,0
0.274376,0,0,0,0,0,0,0,0
0.275783,0,0,0,0,0,0,0,0
0.277190,0,0,0,0,0,0,0,0
0.278730,0,0,0,0,0,0,0,0
0.280311,0,0,0,0,0,0,0,0
0.281881,0,0,0,0,0,0,0,0
0.283451,0,0,0,0,0,0,0,0
0.285066,0,0,0,0,0,0,0,0
0.286637,0,0,0,0,0,0,0,0
0.288206,0,0,0,0,0,0,0,0
0.289777,0,0,0,0,0,0,0,0
0.291360,0,0,0,0,0,0,0,0
0.292932,0,0,0,0,0,0,0,0
0.294502,0,0,0,0,0,0,0,0
0.296071,0,0,0,0,0,0,0,0
0.297537,0,0,0,0,0,0,0,0
0.299107,0,0,0,0,0,0,0,0
0.300492,0,0,0,0,0,0,0,0
0.301917,0,0,0,0,0,0,0,0
0.303457,0,0,0,0,0,0,0,0
0.304862,0,0,0,0,0,0,0,0
0.306278,0,0,0,0,0,0,0,0
0.307639,0,0,0,0,0,0,0,0
0.308997,0,0,0,0,0,0,0,0
0.310353,0,0,0,0,0,0,0,0
0.311710,0,0,0,0,0,0,0,0
0.313138,0,0,0,0,0,0,0,0
0.314566,0,0,0,0,0,0,0,0
0.315938,0,0,0,0,0,0,0,0
0.317294,0,0,0,0,0,0,0,0
0.318621,0,0,0,0,0,0,0,0
0.319947,0,0,0,0,0,0,0,0
