elapsed_s,RBBM_S_PC_BUSY,RBBM_S_TESS_BUSY,RBBM_S_TSEFE_BUSY,RBBM_S_TSEBE_BUSY
0.965455,0,0,0,0
0.966796,0,0,0,0
0.968196,0,0,0,0
0.969586,0,0,0,0
0.970994,0,0,0,0
0.972377,0,0,0,0
0.973761,0,0,0,0
0.975144,0,0,0,0
0.976655,0,0,0,0
0.978074,0,0,0,0
0.979589,0,0,0,0
0.981145,0,0,0,0
0.982611,0,0,0,0
0.984024,0,0,0,0
0.985577,0,0,0,0
0.987132,0,0,0,0
0.988685,0,0,0,0
0.990289,0,0,0,0
0.991849,0,0,0,0
0.993393,0,0,0,0
0.994902,0,0,0,0
0.996425,0,0,0,0
0.998025,0,0,0,0
0.999581,0,0,0,0
1.001134,0,0,0,0
1.002574,0,0,0,0
1.004100,0,0,0,0
1.005656,0,0,0,0
1.007256,0,0,0,0
1.008807,0,0,0,0
1.010364,0,0,0,0
1.011919,0,0,0,0
1.013485,0,0,0,0
1.015084,0,0,0,0
1.016636,0,0,0,0
1.018192,0,0,0,0
1.019748,0,0,0,0
1.021300,0,0,0,0
1.022861,0,0,0,0
1.024302,0,0,0,0
1.025829,0,0,0,0
1.027383,0,0,0,0
1.028936,0,0,0,0
1.030534,0,0,0,0
1.032089,0,0,0,0
1.033644,0,0,0,0
1.035213,0,0,0,0
1.036766,0,0,0,0
1.038367,0,0,0,0
1.039921,0,0,0,0
1.041474,0,0,0,0
1.042896,0,0,0,0
1.044292,0,0,0,0
1.045823,0,0,0,0
1.047422,0,0,0,0
1.048974,0,0,0,0
1.050528,0,0,0,0
1.052073,0,0,0,0
1.053730,0,0,0,0
1.055324,0,0,0,0
1.056889,0,0,0,0
1.058442,0,0,0,0
1.059996,0,0,0,0
1.061550,0,0,0,0
1.063104,0,0,0,0
1.064656,0,0,0,0
1.066210,0,0,0,0
1.067777,0,0,0,0
1.069327,0,0,0,0
1.070885,0,0,0,0
1.072437,0,0,0,0
1.073991,0,0,0,0
1.075545,0,0,0,0
1.077097,0,0,0,0
1.078708,0,0,0,0
1.080263,0,0,0,0
1.081818,0,0,0,0
1.083372,0,0,0,0
1.084923,0,0,0,0
1.086521,0,0,0,0
1.088074,0,0,0,0
1.089642,0,0,0,0
1.091195,0,0,0,0
1.092745,0,0,0,0
1.094344,0,0,0,0
1.095899,0,0,0,0
1.097493,0,0,0,0
1.098911,0,0,0,0
1.100315,0,0,0,0
1.101838,0,0,0,0
1.103437,0,0,0,0
1.104989,0,0,0,0
1.106542,0,0,0,0
1.107967,0,0,0,0
1.109490,0,0,0,0
1.111101,0,0,0,0
1.112654,0,0,0,0
1.114211,0,0,0,0
1.115765,0,0,0,0
1.117318,0,0,0,0
1.118878,0,0,0,0
1.120431,0,0,0,0
1.122000,0,0,0,0
1.123555,0,0,0,0
1.125108,0,0,0,0
1.126705,0,0,0,0
1.128259,0,0,0,0
1.129814,0,0,0,0
1.131368,0,0,0,0
1.132934,0,0,0,0
1.134911,0,0,0,0
1.136761,0,0,0,0
1.138167,0,0,0,0
1.139565,0,0,0,0
1.140956,0,0,0,0
1.142391,0,0,0,0
1.143798,0,0,0,0
1.145188,0,0,0,0
1.146577,0,0,0,0
1.148096,0,0,0,0
1.149652,0,0,0,0
1.151170,0,0,0,0
1.152565,0,0,0,0
1.153972,0,0,0,0
1.155358,0,0,0,0
1.156739,0,0,0,0
1.158160,0,0,0,0
1.159673,0,0,0,0
1.161096,0,0,0,0
1.162619,0,0,0,0
1.164184,0,0,0,0
1.165736,0,0,0,0
1.167287,0,0,0,0
1.168836,0,0,0,0
1.170387,0,0,0,0
1.171938,0,0,0,0
1.173484,0,0,0,0
1.174974,0,0,0,0
1.176373,0,0,0,0
1.177768,0,0,0,0
1.179156,0,0,0,0
1.180543,0,0,0,0
1.181968,0,0,0,0
1.183484,0,0,0,0
1.185034,0,0,0,0
1.186471,0,0,0,0
1.187985,0,0,0,0
1.189580,0,0,0,0
1.191128,0,0,0,0
1.192749,0,0,0,0
1.194304,0,0,0,0
1.195856,0,0,0,0
1.197418,0,0,0,0
1.198975,0,0,0,0
1.200526,0,0,0,0
1.202080,0,0,0,0
1.203630,0,0,0,0
1.205181,0,0,0,0
1.206685,0,0,0,0
1.208216,0,0,0,0
1.209767,0,0,0,0
1.211318,0,0,0,0
1.212868,0,0,0,0
1.214464,0,0,0,0
1.216016,0,0,0,0
1.217568,0,0,0,0
1.219134,0,0,0,0
1.220684,0,0,0,0
1.222280,0,0,0,0
1.223833,0,0,0,0
1.225384,0,0,0,0
1.226939,0,0,0,0
1.228488,0,0,0,0
1.230100,0,0,0,0
1.231651,0,0,0,0
1.233201,0,0,0,0
1.234814,0,0,0,0
1.236364,0,0,0,0
1.237917,0,0,0,0
1.239468,0,0,0,0
1.240907,0,0,0,0
1.242431,0,0,0,0
1.243985,0,0,0,0
1.245618,0,0,0,0
1.247023,0,0,0,0
1.248417,0,0,0,0
1.249939,0,0,0,0
1.251507,0,0,0,0
1.253060,0,0,0,0
1.254657,0,0,0,0
1.256212,0,0,0,0
1.257768,0,0,0,0
1.259314,0,0,0,0
1.260859,0,0,0,0
1.262338,0,0,0,0
1.263863,0,0,0,0
1.265416,0,0,0,0
1.266975,0,0,0,0
1.268354,0,0,0,0
1.269756,0,0,0,0
1.271280,0,0,0,0
1.272847,0,0,0,0
1.274401,0,0,0,0
1.275956,0,0,0,0
1.277508,0,0,0,0
1.279084,0,0,0,0
1.280637,0,0,0,0
1.282194,0,0,0,0
1.283762,0,0,0,0
1.285315,0,0,0,0
1.286876,0,0,0,0
1.288429,0,0,0,0
1.289985,0,0,0,0
1.291540,0,0,0,0
1.293092,0,0,0,0
1.294575,0,0,0,0
1.296101,0,0,0,0
1.297657,0,0,0,0
1.299203,0,0,0,0
1.300747,0,0,0,0
1.302212,0,0,0,0
1.303736,0,0,0,0
1.305303,0,0,0,0
1.306860,0,0,0,0
1.308413,0,0,0,0
1.310015,0,0,0,0
1.311570,0,0,0,0
1.313123,0,0,0,0
1.314677,0,0,0,0
1.316245,0,0,0,0
1.317801,0,0,0,0
1.319401,0,0,0,0
1.320952,0,0,0,0
1.322507,0,0,0,0
1.324061,0,0,0,0
1.325618,0,0,0,0
1.327231,0,0,0,0
1.328782,0,0,0,0
1.330339,0,0,0,0
