elapsed_s,TSE_NEVER_COUNT,TSE_BE_BUSY_CYCLES,TSE_BE_CLIPPING_CYCLES,TSE_BE_STALL_CYCLES_RAS
0.712678,0,0,0,0
0.714230,0,0,0,0
0.715781,0,0,0,0
0.717334,0,0,0,0
0.718888,0,0,0,0
0.720454,0,0,0,0
0.722050,0,0,0,0
0.723601,0,0,0,0
0.725152,0,0,0,0
0.726705,0,0,0,0
0.728338,0,0,0,0
0.729735,0,0,0,0
0.731172,0,0,0,0
0.732693,0,0,0,0
0.734246,0,0,0,0
0.735795,0,0,0,0
0.737390,0,0,0,0
0.738944,0,0,0,0
0.740498,0,0,0,0
0.741969,0,0,0,0
0.743372,0,0,0,0
0.744738,0,0,0,0
0.746128,0,0,0,0
0.747710,0,0,0,0
0.749102,0,0,0,0
0.750490,0,0,0,0
0.752005,0,0,0,0
0.753575,0,0,0,0
0.755124,0,0,0,0
0.756678,0,0,0,0
0.758230,0,0,0,0
0.759780,0,0,0,0
0.761332,0,0,0,0
0.762885,0,0,0,0
0.764452,0,0,0,0
0.766004,0,0,0,0
0.767554,0,0,0,0
0.769152,0,0,0,0
0.770704,0,0,0,0
0.772338,0,0,0,0
0.773831,0,0,0,0
0.775234,0,0,0,0
0.776754,0,0,0,0
0.778307,0,0,0,0
0.779858,0,0,0,0
0.781410,0,0,0,0
0.782842,0,0,0,0
0.784371,0,0,0,0
0.785982,0,0,0,0
0.787533,0,0,0,0
0.789086,0,0,0,0
0.790628,0,0,0,0
0.792169,0,0,0,0
0.793761,0,0,0,0
0.795309,0,0,0,0
0.796875,0,0,0,0
0.798424,0,0,0,0
0.799972,0,0,0,0
0.801576,0,0,0,0
0.803124,0,0,0,0
0.804676,0,0,0,0
0.806226,0,0,0,0
0.807788,0,0,0,0
0.809338,0,0,0,0
0.810888,0,0,0,0
0.812439,0,0,0,0
0.813990,0,0,0,0
0.815538,0,0,0,0
0.817133,0,0,0,0
0.818697,0,0,0,0
0.820247,0,0,0,0
0.821730,0,0,0,0
0.823247,0,0,0,0
0.824799,0,0,0,0
0.826349,0,0,0,0
0.827897,0,0,0,0
0.829457,0,0,0,0
0.831007,0,0,0,0
0.832558,0,0,0,0
0.834154,0,0,0,0
0.835702,0,0,0,0
0.837252,0,0,0,0
0.838801,0,0,0,0
0.840366,0,0,0,0
0.841916,0,0,0,0
0.843464,0,0,0,0
0.845016,0,0,0,0
0.846566,0,0,0,0
0.848114,0,0,0,0
0.849669,0,0,0,0
0.851230,0,0,0,0
0.852782,0,0,0,0
0.854333,0,0,0,0
0.855880,0,0,0,0
0.857427,0,0,0,0
0.858974,0,0,0,0
0.860403,0,0,0,0
0.861942,0,0,0,0
0.863493,0,0,0,0
0.865089,0,0,0,0
0.866642,0,0,0,0
0.868193,0,0,0,0
0.869749,0,0,0,0
0.871298,0,0,0,0
0.872741,0,0,0,0
0.874266,0,0,0,0
0.875817,0,0,0,0
0.877370,0,0,0,0
0.878923,0,0,0,0
0.880476,0,0,0,0
0.882031,0,0,0,0
0.883602,0,0,0,0
0.885155,0,0,0,0
0.886707,0,0,0,0
0.888351,0,0,0,0
0.889846,0,0,0,0
0.891240,0,0,0,0
0.892760,0,0,0,0
0.894315,0,0,0,0
0.895857,0,0,0,0
0.897278,0,0,0,0
0.898797,0,0,0,0
0.900348,0,0,0,0
0.901899,0,0,0,0
0.903448,0,0,0,0
0.905015,0,0,0,0
0.906565,0,0,0,0
0.908114,0,0,0,0
0.909668,0,0,0,0
0.911217,0,0,0,0
0.912812,0,0,0,0
0.914363,0,0,0,0
0.915801,0,0,0,0
0.917323,0,0,0,0
0.918874,0,0,0,0
0.920428,0,0,0,0
0.921980,0,0,0,0
0.923529,0,0,0,0
