elapsed_s,TSE_CLIP_CODE_WORKING_CYCLE_L1,TSE_CLIP_WORKING_CYCLE_L1,TSE_CLIP_CTRL_WORKING_CYCLE_L2,TSE_CLIP_VP_FMUL_WORKING_CYCLE_L2
0.977951,0,0,0,0
0.979560,0,0,0,0
0.981113,0,0,0,0
0.982669,0,0,0,0
0.985467,0,0,0,0
0.986869,0,0,0,0
0.988390,0,0,0,0
0.989828,0,0,0,0
0.991356,0,0,0,0
0.992910,0,0,0,0
0.994512,0,0,0,0
0.996172,0,0,0,0
0.997724,0,0,0,0
0.999283,0,0,0,0
1.000848,0,0,0,0
1.002404,0,0,0,0
1.003958,0,0,0,0
1.005511,0,0,0,0
1.007066,0,0,0,0
1.008621,0,0,0,0
1.010177,0,0,0,0
1.011794,0,0,0,0
1.013348,0,0,0,0
1.014902,0,0,0,0
1.016420,0,0,0,0
1.017825,0,0,0,0
1.019350,0,0,0,0
1.020905,0,0,0,0
1.022475,0,0,0,0
1.024022,0,0,0,0
1.025568,0,0,0,0
1.027236,0,0,0,0
1.028823,0,0,0,0
1.030382,0,0,0,0
1.031938,0,0,0,0
1.033508,0,0,0,0
1.035064,0,0,0,0
1.036620,0,0,0,0
1.038179,0,0,0,0
1.039735,0,0,0,0
1.041290,0,0,0,0
1.042745,0,0,0,0
1.044315,0,0,0,0
1.045954,0,0,0,0
1.047498,0,0,0,0
1.048888,0,0,0,0
1.050276,0,0,0,0
1.051796,0,0,0,0
1.053515,0,0,0,0
1.055138,0,0,0,0
1.056693,0,0,0,0
1.058251,0,0,0,0
1.059798,0,0,0,0
1.061343,0,0,0,0
1.062765,0,0,0,0
1.064291,0,0,0,0
1.065859,0,0,0,0
1.067471,0,0,0,0
1.069026,0,0,0,0
1.070584,0,0,0,0
1.072140,0,0,0,0
1.073695,0,0,0,0
1.075256,0,0,0,0
1.076824,0,0,0,0
1.078383,0,0,0,0
1.079937,0,0,0,0
1.081492,0,0,0,0
1.083049,0,0,0,0
1.084607,0,0,0,0
1.086165,0,0,0,0
1.087609,0,0,0,0
1.089131,0,0,0,0
1.090727,0,0,0,0
1.092281,0,0,0,0
1.093833,0,0,0,0
1.095251,0,0,0,0
1.096773,0,0,0,0
1.098340,0,0,0,0
1.099893,0,0,0,0
1.101443,0,0,0,0
1.102997,0,0,0,0
1.104550,0,0,0,0
1.106143,0,0,0,0
1.107741,0,0,0,0
1.109306,0,0,0,0
1.110857,0,0,0,0
1.112411,0,0,0,0
1.113964,0,0,0,0
1.115516,0,0,0,0
1.117067,0,0,0,0
1.118621,0,0,0,0
1.120186,0,0,0,0
1.121738,0,0,0,0
1.123297,0,0,0,0
1.124848,0,0,0,0
1.126403,0,0,0,0
1.127956,0,0,0,0
1.129506,0,0,0,0
1.130946,0,0,0,0
1.132469,0,0,0,0
1.134023,0,0,0,0
1.135576,0,0,0,0
1.137128,0,0,0,0
1.138726,0,0,0,0
1.140279,0,0,0,0
1.141844,0,0,0,0
1.143349,0,0,0,0
1.144901,0,0,0,0
1.146456,0,0,0,0
1.148010,0,0,0,0
1.149561,0,0,0,0
1.151170,0,0,0,0
1.152724,0,0,0,0
1.154152,0,0,0,0
1.155721,0,0,0,0
1.157274,0,0,0,0
1.158827,0,0,0,0
1.160381,0,0,0,0
1.161936,0,0,0,0
1.163495,0,0,0,0
1.165037,0,0,0,0
1.166457,0,0,0,0
1.167977,0,0,0,0
1.169525,0,0,0,0
1.171013,0,0,0,0
1.172559,0,0,0,0
1.174126,0,0,0,0
1.175677,0,0,0,0
1.177226,0,0,0,0
1.178878,0,0,0,0
1.181048,0,0,0,0
1.182449,0,0,0,0
1.183836,0,0,0,0
1.185229,0,0,0,0
1.186617,0,0,0,0
1.188002,0,0,0,0
1.189386,0,0,0,0
1.190770,0,0,0,0
1.192246,0,0,0,0
1.193792,0,0,0,0
1.195426,0,0,0,0
1.196971,0,0,0,0
1.198395,0,0,0,0
1.199918,0,0,0,0
1.201471,0,0,0,0
1.203069,0,0,0,0
1.204625,0,0,0,0
1.206195,0,0,0,0
1.207750,0,0,0,0
1.209303,0,0,0,0
1.210857,0,0,0,0
1.212413,0,0,0,0
1.213969,0,0,0,0
1.215525,0,0,0,0
1.217033,0,0,0,0
1.218651,0,0,0,0
1.220014,0,0,0,0
1.221468,0,0,0,0
1.222886,0,0,0,0
1.224372,0,0,0,0
1.225785,0,0,0,0
1.228661,0,0,0,0
1.230094,0,0,0,0
1.231648,0,0,0,0
1.233204,0,0,0,0
1.234804,0,0,0,0
1.236360,0,0,0,0
1.237801,0,0,0,0
1.239332,0,0,0,0
1.240888,0,0,0,0
1.242445,0,0,0,0
1.244001,0,0,0,0
1.245555,0,0,0,0
1.247175,0,0,0,0
1.248743,0,0,0,0
1.250344,0,0,0,0
1.251898,0,0,0,0
1.253450,0,0,0,0
1.255006,0,0,0,0
1.256562,0,0,0,0
1.258120,0,0,0,0
1.259690,0,0,0,0
1.261246,0,0,0,0
1.262800,0,0,0,0
1.264357,0,0,0,0
1.265914,0,0,0,0
1.267462,0,0,0,0
1.269008,0,0,0,0
1.270446,0,0,0,0
1.271973,0,0,0,0
1.273528,0,0,0,0
1.275137,0,0,0,0
1.276694,0,0,0,0
1.278252,0,0,0,0
1.279809,0,0,0,0
1.281377,0,0,0,0
1.282976,0,0,0,0
1.284533,0,0,0,0
1.286090,0,0,0,0
1.287647,0,0,0,0
1.289202,0,0,0,0
1.290759,0,0,0,0
1.292329,0,0,0,0
1.293952,0,0,0,0
1.295575,0,0,0,0
1.297130,0,0,0,0
1.298731,0,0,0,0
1.300287,0,0,0,0
1.301842,0,0,0,0
1.303483,0,0,0,0
1.305038,0,0,0,0
1.306596,0,0,0,0
1.308152,0,0,0,0
1.309707,0,0,0,0
1.311231,0,0,0,0
1.312626,0,0,0,0
1.314159,0,0,0,0
1.315760,0,0,0,0
1.317316,0,0,0,0
1.318871,0,0,0,0
1.320428,0,0,0,0
1.321986,0,0,0,0
1.323543,0,0,0,0
1.325113,0,0,0,0
1.326670,0,0,0,0
1.328226,0,0,0,0
1.329783,0,0,0,0
1.331345,0,0,0,0
1.332899,0,0,0,0
1.334457,0,0,0,0
1.336027,0,0,0,0
1.337583,0,0,0,0
1.339228,0,0,0,0
1.340785,0,0,0,0
1.342343,0,0,0,0
1.343899,0,0,0,0
1.345453,0,0,0,0
1.347066,0,0,0,0
1.348625,0,0,0,0
1.350185,0,0,0,0
1.351742,0,0,0,0
1.353297,0,0,0,0
1.354854,0,0,0,0
1.356411,0,0,0,0
1.357854,0,0,0,0
1.359414,0,0,0,0
1.360969,0,0,0,0
1.362571,0,0,0,0
1.364128,0,0,0,0
1.365683,0,0,0,0
1.367244,0,0,0,0
1.368814,0,0,0,0
1.370373,0,0,0,0
1.371968,0,0,0,0
1.373501,0,0,0,0
1.374924,0,0,0,0
1.376320,0,0,0,0
1.377710,0,0,0,0
1.379113,0,0,0,0
1.380503,0,0,0,0
1.381893,0,0,0,0
1.383282,0,0,0,0
1.384799,0,0,0,0
1.386355,0,0,0,0
1.387910,0,0,0,0
1.389478,0,0,0,0
1.391033,0,0,0,0
1.392588,0,0,0,0
1.394143,0,0,0,0
1.395742,0,0,0,0
1.397295,0,0,0,0
1.398848,0,0,0,0
1.400290,0,0,0,0
1.401815,0,0,0,0
1.403374,0,0,0,0
1.404803,0,0,0,0
1.406330,0,0,0,0
1.407884,0,0,0,0
1.409437,0,0,0,0
1.410918,0,0,0,0
1.412442,0,0,0,0
1.413998,0,0,0,0
1.415550,0,0,0,0
1.416978,0,0,0,0
1.418401,0,0,0,0
1.419953,0,0,0,0
1.421520,0,0,0,0
1.423072,0,0,0,0
1.424623,0,0,0,0
1.426058,0,0,0,0
1.427629,0,0,0,0
1.429185,0,0,0,0
1.430741,0,0,0,0
1.432310,0,0,0,0
1.433865,0,0,0,0
1.435436,0,0,0,0
1.436991,0,0,0,0
1.438547,0,0,0,0
1.440104,0,0,0,0
1.441658,0,0,0,0
1.443232,0,0,0,0
1.444787,0,0,0,0
1.446345,0,0,0,0
1.447901,0,0,0,0
1.449456,0,0,0,0
1.451011,0,0,0,0
1.452568,0,0,0,0
1.454018,0,0,0,0
1.455584,0,0,0,0
1.457180,0,0,0,0
1.458824,0,0,0,0
1.460422,0,0,0,0
1.462018,0,0,0,0
1.463614,0,0,0,0
1.465223,0,0,0,0
1.466820,0,0,0,0
1.468417,0,0,0,0
1.470014,0,0,0,0
1.471600,0,0,0,0
1.473185,0,0,0,0
1.474641,0,0,0,0
1.476075,0,0,0,0
1.477495,0,0,0,0
1.479046,0,0,0,0
1.480471,0,0,0,0
1.481895,0,0,0,0
1.483327,0,0,0,0
1.484895,0,0,0,0
1.486373,0,0,0,0
1.487936,0,0,0,0
1.489529,0,0,0,0
1.491194,0,0,0,0
1.492786,0,0,0,0
1.494381,0,0,0,0
1.495975,0,0,0,0
1.497582,0,0,0,0
1.499180,0,0,0,0
1.500771,0,0,0,0
1.502367,0,0,0,0
1.503960,0,0,0,0
1.505552,0,0,0,0
1.507241,0,0,0,0
1.508847,0,0,0,0
1.510644,0,0,0,0
1.512214,0,0,0,0
1.513809,0,0,0,0
1.515409,0,0,0,0
1.517003,0,0,0,0
1.518601,0,0,0,0
1.520210,0,0,0,0
1.521804,0,0,0,0
1.523406,0,0,0,0
1.525000,0,0,0,0
1.526596,0,0,0,0
1.528191,0,0,0,0
1.529785,0,0,0,0
1.531399,0,0,0,0
