elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
0.595369,0,0,0,0
0.596932,0,0,0,0
0.598556,0,0,0,0
0.600106,0,0,0,0
0.601659,0,0,0,0
0.603210,0,0,0,0
0.604760,0,0,0,0
0.606355,0,0,0,0
0.607920,0,0,0,0
0.609472,0,0,0,0
0.611024,0,0,0,0
0.612573,0,0,0,0
0.614170,0,0,0,0
0.615721,0,0,0,0
0.617350,0,0,0,0
0.618757,0,0,0,0
0.620150,0,0,0,0
0.621669,0,0,0,0
0.623220,0,0,0,0
0.624769,0,0,0,0
0.626322,0,0,0,0
0.627752,0,0,0,0
0.629296,0,0,0,0
0.630848,0,0,0,0
0.632398,0,0,0,0
0.633951,0,0,0,0
0.635502,0,0,0,0
0.637051,0,0,0,0
0.638603,0,0,0,0
0.640158,0,0,0,0
0.641577,0,0,0,0
0.643093,0,0,0,0
0.644641,0,0,0,0
0.646234,0,0,0,0
0.647784,0,0,0,0
0.649334,0,0,0,0
0.650898,0,0,0,0
0.652445,0,0,0,0
0.654040,0,0,0,0
0.655589,0,0,0,0
0.657492,0,0,0,0
0.658916,0,0,0,0
0.660307,0,0,0,0
0.661757,0,0,0,0
0.663149,0,0,0,0
0.664543,0,0,0,0
0.665932,0,0,0,0
0.667661,0,0,0,0
0.669243,0,0,0,0
0.670713,0,0,0,0
0.672243,0,0,0,0
0.673795,0,0,0,0
0.675345,0,0,0,0
0.676894,0,0,0,0
0.678488,0,0,0,0
0.680040,0,0,0,0
0.681591,0,0,0,0
0.683156,0,0,0,0
0.684705,0,0,0,0
0.686299,0,0,0,0
0.687851,0,0,0,0
0.689403,0,0,0,0
0.690954,0,0,0,0
0.692503,0,0,0,0
0.694112,0,0,0,0
0.695664,0,0,0,0
0.697213,0,0,0,0
0.698765,0,0,0,0
0.700313,0,0,0,0
0.701910,0,0,0,0
0.703461,0,0,0,0
0.705024,0,0,0,0
0.706578,0,0,0,0
0.708008,0,0,0,0
0.709534,0,0,0,0
0.711130,0,0,0,0
0.712680,0,0,0,0
0.714230,0,0,0,0
0.715794,0,0,0,0
0.717346,0,0,0,0
0.718896,0,0,0,0
0.720445,0,0,0,0
0.721998,0,0,0,0
0.723548,0,0,0,0
0.725097,0,0,0,0
0.726598,0,0,0,0
0.727991,0,0,0,0
0.729509,0,0,0,0
0.731096,0,0,0,0
0.732837,0,0,0,0
0.734272,0,0,0,0
0.735675,0,0,0,0
0.737050,0,0,0,0
0.738910,0,0,0,0
0.740341,0,0,0,0
0.741796,0,0,0,0
0.743469,0,0,0,0
0.745459,0,0,0,0
0.746913,0,0,0,0
0.748385,0,0,0,0
0.749812,0,0,0,0
0.751195,0,0,0,0
0.752577,0,0,0,0
0.753960,0,0,0,0
0.755346,0,0,0,0
0.756730,0,0,0,0
0.758286,0,0,0,0
0.759849,0,0,0,0
0.761399,0,0,0,0
0.762936,0,0,0,0
0.764451,0,0,0,0
0.765914,0,0,0,0
0.767430,0,0,0,0
0.768856,0,0,0,0
0.770393,0,0,0,0
0.771945,0,0,0,0
0.773498,0,0,0,0
0.775095,0,0,0,0
0.776645,0,0,0,0
0.778195,0,0,0,0
0.779747,0,0,0,0
0.781312,0,0,0,0
0.782864,0,0,0,0
0.784414,0,0,0,0
0.785967,0,0,0,0
0.787586,0,0,0,0
0.789030,0,0,0,0
0.790481,0,0,0,0
0.792011,0,0,0,0
0.793564,0,0,0,0
0.795115,0,0,0,0
0.796664,0,0,0,0
0.798259,0,0,0,0
0.799810,0,0,0,0
0.801363,0,0,0,0
0.802803,0,0,0,0
0.804324,0,0,0,0
0.805923,0,0,0,0
0.807475,0,0,0,0
0.809025,0,0,0,0
0.810580,0,0,0,0
0.812129,0,0,0,0
0.813580,0,0,0,0
0.815146,0,0,0,0
0.816696,0,0,0,0
0.818248,0,0,0,0
0.819800,0,0,0,0
0.821353,0,0,0,0
0.822906,0,0,0,0
0.824470,0,0,0,0
0.826023,0,0,0,0
0.827656,0,0,0,0
0.829100,0,0,0,0
0.830551,0,0,0,0
0.832069,0,0,0,0
0.833622,0,0,0,0
0.835187,0,0,0,0
0.836738,0,0,0,0
0.838333,0,0,0,0
0.839886,0,0,0,0
0.841439,0,0,0,0
0.842990,0,0,0,0
0.844540,0,0,0,0
0.846152,0,0,0,0
0.847698,0,0,0,0
0.849240,0,0,0,0
0.850772,0,0,0,0
0.852165,0,0,0,0
0.853727,0,0,0,0
0.855278,0,0,0,0
0.856839,0,0,0,0
0.858391,0,0,0,0
0.859941,0,0,0,0
0.861492,0,0,0,0
0.862921,0,0,0,0
0.864444,0,0,0,0
0.865996,0,0,0,0
0.867502,0,0,0,0
0.868905,0,0,0,0
0.870349,0,0,0,0
0.871740,0,0,0,0
0.873128,0,0,0,0
0.874557,0,0,0,0
0.875946,0,0,0,0
0.877466,0,0,0,0
0.879076,0,0,0,0
0.880623,0,0,0,0
0.882175,0,0,0,0
0.883727,0,0,0,0
0.885345,0,0,0,0
0.887009,0,0,0,0
0.888561,0,0,0,0
0.890127,0,0,0,0
0.891808,0,0,0,0
0.893367,0,0,0,0
0.894910,0,0,0,0
0.896306,0,0,0,0
0.897828,0,0,0,0
0.899384,0,0,0,0
0.900850,0,0,0,0
0.902449,0,0,0,0
0.904006,0,0,0,0
0.905562,0,0,0,0
0.907116,0,0,0,0
0.908605,0,0,0,0
0.910181,0,0,0,0
0.911751,0,0,0,0
0.913308,0,0,0,0
0.914864,0,0,0,0
0.916418,0,0,0,0
0.918020,0,0,0,0
0.919577,0,0,0,0
0.921131,0,0,0,0
0.922580,0,0,0,0
0.924106,0,0,0,0
0.925663,0,0,0,0
0.927218,0,0,0,0
0.929122,0,0,0,0
0.930589,0,0,0,0
0.931987,0,0,0,0
0.933601,0,0,0,0
0.934997,0,0,0,0
0.936381,0,0,0,0
