elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.376458,0,0,0,0,1296057,0
0.378356,0,0,0,0,12417126,0
0.383178,0,0,0,0,1331118,0
0.384617,0,0,0,0,1206165,0
0.385973,0,0,0,0,1220664,0
0.387332,0,0,0,0,1216269,0
0.388685,0,0,0,0,1208427,0
0.390034,0,0,0,0,1276566,0
0.391476,0,0,0,0,1215126,0
0.392884,0,0,0,0,1143009,0
0.394296,0,0,0,0,1201545,0
0.395694,0,0,0,0,1207242,0
0.397090,0,0,0,0,1204764,0
0.398514,0,0,0,0,1202547,0
0.400038,0,0,0,0,1240917,0
0.401597,0,0,0,0,1260705,0
0.403163,0,0,0,0,1243095,0
0.404737,0,0,0,0,1239567,0
0.406347,0,0,0,0,1238685,0
0.407908,0,0,0,0,1235169,0
0.409467,0,0,0,0,1240038,0
0.411027,0,0,0,0,1243707,0
0.412588,0,0,0,0,1236876,0
0.414149,0,0,0,0,1417434,0
0.415770,0,0,0,0,1242972,0
0.417330,0,0,0,0,1243758,0
0.418891,0,0,0,0,1242516,0
0.420453,0,0,0,0,1272438,0
0.422016,0,0,0,0,1376307,0
0.423620,0,0,0,0,1271202,0
0.425180,0,0,0,0,1241850,0
0.426754,0,0,0,0,1245915,0
0.428315,0,0,0,0,1235199,0
0.429877,0,0,0,0,1242477,0
0.431438,0,0,0,0,1241865,0
0.432997,0,0,0,0,1237467,0
0.434560,0,0,0,0,1243647,0
0.436120,0,0,0,0,1242252,0
0.437693,0,0,0,0,1887159,0
0.439334,0,0,0,0,1206258,0
0.440863,0,0,0,0,1238139,0
0.442426,0,0,0,0,1243080,0
0.443987,0,0,0,0,1241466,0
0.445545,0,0,0,0,1432668,0
0.447195,0,0,0,0,1200393,0
0.448767,0,0,0,0,1885428,0
0.450383,0,0,0,0,1230534,0
0.451801,0,0,0,0,1260822,0
0.453219,0,0,0,0,1323507,0
0.454723,0,0,0,0,1313871,0
0.456161,0,0,0,0,1170144,0
0.457556,0,0,0,0,1195299,0
0.459169,0,0,0,0,1605261,0
0.460566,0,0,0,0,1206747,0
0.461965,0,0,0,0,1352712,0
0.463399,0,0,0,0,1201089,0
0.464923,0,0,0,0,1245087,0
0.466485,0,0,0,0,1267683,0
0.468045,0,0,0,0,1268127,0
0.469619,0,0,0,0,1252044,0
0.471185,0,0,0,0,1237074,0
0.472743,0,0,0,0,1238085,0
0.474305,0,0,0,0,1242996,0
0.475866,0,0,0,0,1242093,0
0.477425,0,0,0,0,1242180,0
0.479029,0,0,0,0,1246281,0
0.480605,0,0,0,0,1236771,0
0.482166,0,0,0,0,1243200,0
0.483727,0,0,0,0,1241391,0
0.485287,0,0,0,0,1241712,0
0.486892,0,0,0,0,1235487,0
0.488451,0,0,0,0,1234617,0
0.489893,0,0,0,0,1210575,0
0.491435,0,0,0,0,1231419,0
0.492987,0,0,0,0,1225512,0
0.494462,0,0,0,0,1218207,0
0.496056,0,0,0,0,1245111,0
0.497616,0,0,0,0,1256073,0
0.499181,0,0,0,0,1274736,0
0.500742,0,0,0,0,1245561,0
0.502316,0,0,0,0,1250169,0
0.503880,0,0,0,0,1239978,0
0.505440,0,0,0,0,1274181,0
0.507001,0,0,0,0,1246593,0
0.508562,0,0,0,0,1247793,0
0.510125,0,0,0,0,1390089,0
0.511733,0,0,0,0,1239510,0
0.513306,0,0,0,0,1245912,0
0.514867,0,0,0,0,1274517,0
0.516429,0,0,0,0,1245288,0
0.517991,0,0,0,0,1385271,0
0.519597,0,0,0,0,1273266,0
0.521157,0,0,0,0,1244673,0
0.522718,0,0,0,0,1243365,0
0.524293,0,0,0,0,1245687,0
0.525929,0,0,0,0,1582590,0
0.527597,0,0,0,0,1244904,0
0.529158,0,0,0,0,1244733,0
0.530720,0,0,0,0,1241901,0
0.532282,0,0,0,0,1244454,0
0.533843,0,0,0,0,1699071,0
0.535522,0,0,0,0,1213317,0
0.536926,0,0,0,0,1160853,0
0.538455,0,0,0,0,1246137,0
0.540015,0,0,0,0,1240176,0
0.541574,0,0,0,0,1251432,0
0.543140,0,0,0,0,1236855,0
0.544696,0,0,0,0,1242075,0
0.546271,0,0,0,0,1243002,0
0.547832,0,0,0,0,1239756,0
0.549390,0,0,0,0,1236543,0
0.550994,0,0,0,0,1241220,0
0.552556,0,0,0,0,1242750,0
0.554118,0,0,0,0,1242522,0
0.555679,0,0,0,0,1236741,0
0.557251,0,0,0,0,1241325,0
0.558854,0,0,0,0,1249809,0
