elapsed_s,VPC_FE_SP_COMPONENTS,VPC_FE_STALL_CYCLES_VPCRAM_POS,VPC_FE_VS_BUSY_CYCLES,VPC_FE_VS_WORKING_CYCLES,VPC_FE_NUM_VPCRAM_READ_POS,VPC_FE_WIT_FULL_CYCLES
0.152765,0,0,0,0,0,0
0.154156,0,0,0,0,0,0
0.155583,0,0,0,0,0,0
0.156949,0,0,0,0,0,0
0.158315,0,0,0,0,0,0
0.159681,0,0,0,0,0,0
0.161046,0,0,0,0,0,0
0.162418,0,0,0,0,0,0
0.163784,0,0,0,0,0,0
0.165150,0,0,0,0,0,0
0.166515,0,0,0,0,0,0
0.167882,0,0,0,0,0,0
0.169248,0,0,0,0,0,0
0.170617,0,0,0,0,0,0
0.171930,0,0,0,0,0,0
0.173228,0,0,0,0,0,0
0.174578,0,0,0,0,0,0
0.175888,0,0,0,0,0,0
0.177184,0,0,0,0,0,0
0.178471,0,0,0,0,0,0
0.179757,0,0,0,0,0,0
0.181104,0,0,0,0,0,0
0.182444,0,0,0,0,0,0
0.183787,0,0,0,0,0,0
0.185121,0,0,0,0,0,0
0.186614,0,0,0,0,0,0
0.187956,0,0,0,0,0,0
0.189297,0,0,0,0,0,0
0.190838,0,0,0,0,0,0
0.192180,0,0,0,0,0,0
0.193521,0,0,0,0,0,0
0.194868,0,0,0,0,0,0
0.196282,0,0,0,0,0,0
0.197711,0,0,0,0,0,0
0.199117,0,0,0,0,0,0
0.200461,0,0,0,0,0,0
0.201803,0,0,0,0,0,0
0.203180,0,0,0,0,0,0
0.204574,0,0,0,0,0,0
0.206148,0,0,0,0,0,0
0.207579,0,0,0,0,0,0
0.209218,0,0,0,0,0,0
0.210687,0,0,0,0,0,0
0.212084,0,0,0,0,0,0
0.213475,0,0,0,0,0,0
0.214868,0,0,0,0,0,0
0.216274,0,0,0,0,0,0
0.217671,0,0,0,0,0,0
0.219196,0,0,0,0,0,0
0.220758,0,0,0,0,0,0
0.222323,0,0,0,0,0,0
0.223887,0,0,0,0,0,0
0.225449,0,0,0,0,0,0
0.227024,0,0,0,0,0,0
0.228587,0,0,0,0,0,0
0.230151,0,0,0,0,0,0
0.231713,0,0,0,0,0,0
0.233273,0,0,0,0,0,0
0.234878,0,0,0,0,0,0
0.236440,0,0,0,0,0,0
0.238019,0,0,0,0,0,0
0.239571,0,0,0,0,0,0
0.241123,0,0,0,0,0,0
0.242552,0,0,0,0,0,0
0.244083,0,0,0,0,0,0
0.245642,0,0,0,0,0,0
0.247207,0,0,0,0,0,0
0.248780,0,0,0,0,0,0
0.250385,0,0,0,0,0,0
0.251946,0,0,0,0,0,0
0.253505,0,0,0,0,0,0
0.255067,0,0,0,0,0,0
0.256628,0,0,0,0,0,0
0.258314,0,0,0,0,0,0
0.259806,0,0,0,0,0,0
0.261337,0,0,0,0,0,0
0.262898,0,0,0,0,0,0
0.264460,0,0,0,0,0,0
0.266023,0,0,0,0,0,0
0.267627,0,0,0,0,0,0
0.269230,0,0,0,0,0,0
0.270804,0,0,0,0,0,0
0.272365,0,0,0,0,0,0
0.273927,0,0,0,0,0,0
0.275489,0,0,0,0,0,0
0.277049,0,0,0,0,0,0
0.278612,0,0,0,0,0,0
0.280173,0,0,0,0,0,0
0.281745,0,0,0,0,0,0
0.283312,0,0,0,0,0,0
0.284872,0,0,0,0,0,0
0.286434,0,0,0,0,0,0
0.287995,0,0,0,0,0,0
0.289554,0,0,0,0,0,0
0.291184,0,0,0,0,0,0
0.292755,0,0,0,0,0,0
0.294318,0,0,0,0,0,0
0.295878,0,0,0,0,0,0
0.297438,0,0,0,0,0,0
0.299043,0,0,0,0,0,0
