
[selected] 6 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
       SP         gid=0x0a selector=5    SP_STALL_CYCLES_UCHE                         (A8XX_PERF_SP_STALL_CYCLES_UCHE)
       HLSQ       gid=0x04 selector=6    HLSQ_STALL_CYCLES_UCHE                       (A8XX_PERF_HLSQ_STALL_CYCLES_UCHE)
       UCHE       gid=0x08 selector=1    UCHE_BUSY_CYCLES                             (A8XX_PERF_UCHE_BUSY_CYCLES)
       UCHE       gid=0x08 selector=52   UCHE_RAM_READ_REQ                            (A8XX_PERF_UCHE_RAM_READ_REQ)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[GET] SP_STALL_CYCLES_UCHE                         group=0xa selector=5 reg_low=0x298 reg_high=0x299
[GET] HLSQ_STALL_CYCLES_UCHE                       group=0x4 selector=6 reg_low=0x1fe reg_high=0x1ff
[GET] UCHE_BUSY_CYCLES                             group=0x8 selector=1 reg_low=0x254 reg_high=0x255
[GET] UCHE_RAM_READ_REQ                            group=0x8 selector=52 reg_low=0x252 reg_high=0x253

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES,SP_STALL_CYCLES_UCHE,HLSQ_STALL_CYCLES_UCHE,UCHE_BUSY_CYCLES,UCHE_RAM_READ_REQ
0.727704,68893821,42795113,0,0,2276843,280432
0.732933,68865619,42784613,0,0,2269458,281108
0.738160,68960169,42830434,0,0,2266994,281066
0.743388,68950979,42839362,0,0,2256925,281006
0.748606,68808339,42748015,0,0,2266834,279922
0.753941,70332589,43696673,0,0,2321575,286846
0.759173,69023667,42880831,0,0,2279668,281140
0.764390,68802725,42738516,0,0,2270268,279936
0.769624,68919694,42821695,0,0,2278482,281574
0.774901,69693457,43295274,0,0,2298124,283978
0.780134,69016532,42875747,0,0,2278701,281196
0.785363,68951116,42838352,0,0,2271670,281134
0.790596,69011171,42875061,0,0,2280278,281212
0.795833,69046211,42893391,0,0,2279294,281148
0.801069,69054200,42886718,0,0,2280855,281424
0.806290,68873338,42777596,0,0,2281885,280682
0.811532,69109505,42928038,0,0,2285281,281536
0.816763,69012160,42865785,0,0,2279951,281158
0.822916,81136109,50393490,0,0,2701856,331398
0.828144,68962974,42834312,0,0,2276437,280390
0.833384,69078348,42907588,0,0,2291826,281296
0.838609,68883198,42790561,0,0,2278400,280682
0.843835,68960283,42829696,0,0,2281659,281162
0.849056,68863264,42777913,0,0,2270503,280626
0.854320,69411619,43118271,0,0,2297889,283014
0.859546,68863100,42778971,0,0,2268581,280500
0.864822,69554335,43209827,0,0,2300568,283262
0.870061,69169615,42969105,0,0,2288742,281712
0.875301,69032584,42902908,0,0,2283566,281730
0.880536,69096892,42903654,0,0,2289909,281168
0.885766,68973862,42850477,0,0,2286316,281646
0.890985,68841208,42755256,0,0,2275625,280162
0.896206,68861261,42778741,0,0,2278473,280704
0.901478,68955834,42835576,0,0,2281971,280890
0.906701,69422203,43126093,0,0,2291924,283054
0.911918,68807372,42741527,0,0,2279649,280148
0.917216,69762594,43337637,0,0,2303785,284824
0.922456,69155871,42978309,0,0,2296513,282162
0.927690,69009366,42849449,0,0,2281150,280506
0.932913,68959611,42826875,0,0,2282318,281200
0.938166,69194922,42971519,0,0,2292387,281721
0.944800,87396588,54274621,0,0,2875957,356305
0.952942,107418465,66712982,0,0,3581741,437362
0.960262,96480601,59914656,0,0,3176196,392932
0.965589,69837001,43556190,0,0,2313000,286452
0.970818,69499879,42984708,0,0,2297501,281164
0.976049,68973542,42845071,0,0,2280053,281220
0.981268,68827691,42758685,0,0,2273822,280324
0.986494,68916395,42813655,0,0,2272399,281382
0.991717,68893365,42797049,0,0,2275811,280374
0.997121,38946325,24164987,0,0,1314136,173880
1.002456,0,0,0,0,0,0
1.007813,0,0,0,0,0,0
1.013193,0,0,0,0,0,0
1.018586,0,0,0,0,0,0
1.023944,0,0,0,0,0,0
1.029323,0,0,0,0,0,0
1.034780,0,0,0,0,0,0
1.040146,0,0,0,0,0,0
1.045591,0,0,0,0,0,0
1.050983,0,0,0,0,0,0
1.056363,0,0,0,0,0,0
1.061826,0,0,0,0,0,0
1.067115,0,0,0,0,0,0
1.072460,0,0,0,0,0,0
1.077822,0,0,0,0,0,0
1.083071,0,0,0,0,0,0
1.088307,0,0,0,0,0,0
1.093541,0,0,0,0,0,0
1.098769,0,0,0,0,0,0
1.104010,0,0,0,0,0,0
1.109253,0,0,0,0,0,0
1.115158,0,0,0,0,0,0
1.120314,0,0,0,0,0,0
1.125974,0,0,0,0,0,0
1.131224,0,0,0,0,0,0
1.136728,0,0,0,0,0,0
1.142588,0,0,0,0,0,0
1.147817,0,0,0,0,0,0
1.153044,0,0,0,0,0,0
1.158350,0,0,0,0,0,0
1.163681,0,0,0,0,0,0
1.168932,0,0,0,0,0,0
1.175488,0,0,0,0,0,0
1.180726,0,0,0,0,0,0
1.188485,0,0,0,0,0,0
1.193836,431965,273038,0,0,27520,41069
1.199941,0,0,0,0,0,0
1.205224,0,0,0,0,0,0
1.211169,0,0,0,0,0,0
1.216502,0,0,0,0,0,0
1.221969,0,0,0,0,0,0
1.227349,0,0,0,0,0,0
1.232599,0,0,0,0,0,0
1.237970,0,0,0,0,0,0
1.243447,0,0,0,0,0,0
1.248930,0,0,0,0,0,0
1.254579,0,0,0,0,0,0
1.259876,0,0,0,0,0,0
1.265262,0,0,0,0,0,0
1.270657,0,0,0,0,0,0
1.276088,0,0,0,0,0,0
1.281378,0,0,0,0,0,0
1.286729,0,0,0,0,0,0
1.292098,0,0,0,0,0,0
1.297485,0,0,0,0,0,0
1.303020,0,0,0,0,0,0
1.308448,0,0,0,0,0,0
1.313822,0,0,0,0,0,0
1.319325,0,0,0,0,0,0
1.324571,0,0,0,0,0,0
1.330788,0,0,0,0,0,0
1.336152,0,0,0,0,0,0
1.341556,0,0,0,0,0,0
1.347036,0,0,0,0,0,0
1.352404,0,0,0,0,0,0
1.357878,0,0,0,0,0,0
1.363254,0,0,0,0,0,0
