elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.760922,0,0,0,0,0,0,0
0.762557,0,0,0,0,0,0,0
0.764124,0,0,0,0,0,0,0
0.765693,0,0,0,0,0,0,0
0.767261,0,0,0,0,0,0,0
0.768828,0,0,0,0,0,0,0
0.770394,0,0,0,0,0,0,0
0.771961,0,0,0,0,0,0,0
0.773544,0,0,0,0,0,0,0
0.775112,0,0,0,0,0,0,0
0.776676,0,0,0,0,0,0,0
0.778288,0,0,0,0,0,0,0
0.779857,0,0,0,0,0,0,0
0.781426,0,0,0,0,0,0,0
0.782984,0,0,0,0,0,0,0
0.784554,0,0,0,0,0,0,0
0.785989,0,0,0,0,0,0,0
0.787432,0,0,0,0,0,0,0
0.788836,0,0,0,0,0,0,0
0.790242,0,0,0,0,0,0,0
0.791645,0,0,0,0,0,0,0
0.793047,0,0,0,0,0,0,0
0.794502,0,0,0,0,0,0,0
0.796087,0,0,0,0,0,0,0
0.797653,0,0,0,0,0,0,0
0.799095,0,0,0,0,0,0,0
0.800509,0,0,0,0,0,0,0
0.802050,0,0,0,0,0,0,0
0.803618,0,0,0,0,0,0,0
0.805197,0,0,0,0,0,0,0
0.806770,0,0,0,0,0,0,0
0.808335,0,0,0,0,0,0,0
0.809950,0,0,0,0,0,0,0
0.811518,0,0,0,0,0,0,0
0.813085,0,0,0,0,0,0,0
0.814622,0,0,0,0,0,0,0
0.816039,0,0,0,0,0,0,0
0.817576,0,0,0,0,0,0,0
0.819144,0,0,0,0,0,0,0
0.820710,0,0,0,0,0,0,0
0.822278,0,0,0,0,0,0,0
0.823845,0,0,0,0,0,0,0
0.825452,0,0,0,0,0,0,0
0.827079,0,0,0,0,0,0,0
0.828646,0,0,0,0,0,0,0
0.830214,0,0,0,0,0,0,0
0.831781,0,0,0,0,0,0,0
0.833350,0,0,0,0,0,0,0
0.834919,0,0,0,0,0,0,0
0.836485,0,0,0,0,0,0,0
0.838068,0,0,0,0,0,0,0
0.839635,0,0,0,0,0,0,0
0.841201,0,0,0,0,0,0,0
0.842771,0,0,0,0,0,0,0
0.844337,0,0,0,0,0,0,0
0.845906,0,0,0,0,0,0,0
0.847475,0,0,0,0,0,0,0
0.849055,0,0,0,0,0,0,0
0.850627,0,0,0,0,0,0,0
0.852193,0,0,0,0,0,0,0
0.853763,0,0,0,0,0,0,0
0.855331,0,0,0,0,0,0,0
0.856897,0,0,0,0,0,0,0
0.858458,0,0,0,0,0,0,0
0.860006,0,0,0,0,0,0,0
0.861576,0,0,0,0,0,0,0
0.863144,0,0,0,0,0,0,0
0.864709,0,0,0,0,0,0,0
0.866277,0,0,0,0,0,0,0
0.867844,0,0,0,0,0,0,0
0.869413,0,0,0,0,0,0,0
0.870993,0,0,0,0,0,0,0
0.872559,0,0,0,0,0,0,0
0.874171,0,0,0,0,0,0,0
0.875740,0,0,0,0,0,0,0
