elapsed_s,PC_US_BV_STALLED_BY_UCHE_FEEDBACK,PC_US_VSD_RARB_DVIZ_FULL,PC_US_VSD_RARB_PVIZ_FULL,PC_US_VSD_RARB_TVIZ_FULL,PC_US_DP0_RARB_FULL,PC_US_DP1_RARB_FULL,PC_US_DP0_LIVE_PRIM,PC_US_DP1_LIVE_PRIM
0.160158,0,0,0,0,0,0,0,0
0.161575,0,0,0,0,0,0,0,0
0.162985,0,0,0,0,0,0,0,0
0.164402,0,0,0,0,0,0,0,0
0.165813,0,0,0,0,0,0,0,0
0.167222,0,0,0,0,0,0,0,0
0.168628,0,0,0,0,0,0,0,0
0.170168,0,0,0,0,0,0,0,0
0.171737,0,0,0,0,0,0,0,0
0.173354,0,0,0,0,0,0,0,0
0.174937,0,0,0,0,0,0,0,0
0.176504,0,0,0,0,0,0,0,0
0.178164,0,0,0,0,0,0,0,0
0.179735,0,0,0,0,0,0,0,0
0.181307,0,0,0,0,0,0,0,0
0.182878,0,0,0,0,0,0,0,0
0.184447,0,0,0,0,0,0,0,0
0.186082,0,0,0,0,0,0,0,0
0.187652,0,0,0,0,0,0,0,0
0.189268,0,0,0,0,0,0,0,0
0.190841,0,0,0,0,0,0,0,0
0.192409,0,0,0,0,0,0,0,0
0.193979,0,0,0,0,0,0,0,0
0.195551,0,0,0,0,0,0,0,0
0.197138,0,0,0,0,0,0,0,0
0.198709,0,0,0,0,0,0,0,0
0.200279,0,0,0,0,0,0,0,0
0.201849,0,0,0,0,0,0,0,0
0.203420,0,0,0,0,0,0,0,0
0.204993,0,0,0,0,0,0,0,0
0.206608,0,0,0,0,0,0,0,0
0.208190,0,0,0,0,0,0,0,0
0.209761,0,0,0,0,0,0,0,0
0.211332,0,0,0,0,0,0,0,0
0.212905,0,0,0,0,0,0,0,0
0.214477,0,0,0,0,0,0,0,0
0.216047,0,0,0,0,0,0,0,0
0.217620,0,0,0,0,0,0,0,0
0.219203,0,0,0,0,0,0,0,0
0.220773,0,0,0,0,0,0,0,0
0.222295,0,0,0,0,0,0,0,0
0.223710,0,0,0,0,0,0,0,0
0.225250,0,0,0,0,0,0,0,0
0.226822,0,0,0,0,0,0,0,0
0.228392,0,0,0,0,0,0,0,0
0.229849,0,0,0,0,0,0,0,0
0.231392,0,0,0,0,0,0,0,0
0.232964,0,0,0,0,0,0,0,0
0.234416,0,0,0,0,0,0,0,0
0.235964,0,0,0,0,0,0,0,0
0.237581,0,0,0,0,0,0,0,0
0.239153,0,0,0,0,0,0,0,0
0.240737,0,0,0,0,0,0,0,0
0.242356,0,0,0,0,0,0,0,0
0.243916,0,0,0,0,0,0,0,0
0.245356,0,0,0,0,0,0,0,0
0.246898,0,0,0,0,0,0,0,0
0.248351,0,0,0,0,0,0,0,0
0.249768,0,0,0,0,0,0,0,0
0.251319,0,0,0,0,0,0,0,0
0.252892,0,0,0,0,0,0,0,0
0.254506,0,0,0,0,0,0,0,0
0.256076,0,0,0,0,0,0,0,0
