elapsed_s,TSE_SETUP_FDP3_2_WORKING_CYCLE_L3,TSE_SETUP_FDP3_3_WORKING_CYCLE_L3,TSE_SETUP_FDP3_4_WORKING_CYCLE_L3,TSE_SETUP_FDP3_5_WORKING_CYCLE_L3
0.469140,0,0,0,0
0.470693,0,0,0,0
0.472243,0,0,0,0
0.473806,0,0,0,0
0.475399,0,0,0,0
0.476950,0,0,0,0
0.478813,0,0,0,0
0.480328,0,0,0,0
0.481723,0,0,0,0
0.483156,0,0,0,0
0.484556,0,0,0,0
0.485947,0,0,0,0
0.487319,0,0,0,0
0.488833,0,0,0,0
0.490386,0,0,0,0
0.491936,0,0,0,0
0.493487,0,0,0,0
0.494986,0,0,0,0
0.496499,0,0,0,0
0.498020,0,0,0,0
0.499618,0,0,0,0
0.501202,0,0,0,0
0.502753,0,0,0,0
0.504304,0,0,0,0
0.505869,0,0,0,0
0.507421,0,0,0,0
0.508970,0,0,0,0
0.510521,0,0,0,0
0.512071,0,0,0,0
0.513620,0,0,0,0
0.515175,0,0,0,0
0.516737,0,0,0,0
0.518289,0,0,0,0
0.519841,0,0,0,0
0.521390,0,0,0,0
0.522940,0,0,0,0
0.524491,0,0,0,0
0.526043,0,0,0,0
0.527598,0,0,0,0
0.529138,0,0,0,0
0.530601,0,0,0,0
0.532120,0,0,0,0
0.533668,0,0,0,0
0.535125,0,0,0,0
0.536515,0,0,0,0
0.538041,0,0,0,0
0.539590,0,0,0,0
0.541137,0,0,0,0
0.542687,0,0,0,0
0.544237,0,0,0,0
0.545784,0,0,0,0
0.547335,0,0,0,0
0.548897,0,0,0,0
0.550449,0,0,0,0
0.551999,0,0,0,0
0.553546,0,0,0,0
0.555183,0,0,0,0
0.556730,0,0,0,0
0.558280,0,0,0,0
0.559718,0,0,0,0
0.561238,0,0,0,0
0.562832,0,0,0,0
0.564381,0,0,0,0
0.565912,0,0,0,0
0.567438,0,0,0,0
0.568986,0,0,0,0
0.570548,0,0,0,0
0.572097,0,0,0,0
0.573644,0,0,0,0
0.575196,0,0,0,0
0.576743,0,0,0,0
0.578347,0,0,0,0
0.579847,0,0,0,0
0.581255,0,0,0,0
0.582770,0,0,0,0
0.584404,0,0,0,0
0.585956,0,0,0,0
0.587355,0,0,0,0
0.588934,0,0,0,0
0.591497,0,0,0,0
0.592903,0,0,0,0
0.594336,0,0,0,0
0.595723,0,0,0,0
0.597107,0,0,0,0
0.598492,0,0,0,0
0.600003,0,0,0,0
0.601551,0,0,0,0
0.603168,0,0,0,0
0.604715,0,0,0,0
0.606265,0,0,0,0
0.607814,0,0,0,0
0.609361,0,0,0,0
0.610952,0,0,0,0
0.612380,0,0,0,0
0.613805,0,0,0,0
0.615331,0,0,0,0
0.616880,0,0,0,0
0.618432,0,0,0,0
0.619982,0,0,0,0
0.621531,0,0,0,0
0.623143,0,0,0,0
0.624704,0,0,0,0
0.626299,0,0,0,0
0.627850,0,0,0,0
0.629399,0,0,0,0
0.630950,0,0,0,0
0.632491,0,0,0,0
0.634076,0,0,0,0
0.635635,0,0,0,0
0.637183,0,0,0,0
0.638734,0,0,0,0
0.640284,0,0,0,0
0.641900,0,0,0,0
0.643407,0,0,0,0
0.644955,0,0,0,0
0.646520,0,0,0,0
0.648071,0,0,0,0
0.649620,0,0,0,0
0.651173,0,0,0,0
0.652721,0,0,0,0
0.654273,0,0,0,0
0.655823,0,0,0,0
0.657384,0,0,0,0
0.658978,0,0,0,0
0.660528,0,0,0,0
0.662081,0,0,0,0
0.663632,0,0,0,0
0.665179,0,0,0,0
0.666728,0,0,0,0
0.668292,0,0,0,0
0.669907,0,0,0,0
0.671524,0,0,0,0
0.673073,0,0,0,0
0.674669,0,0,0,0
0.676219,0,0,0,0
0.677768,0,0,0,0
0.679336,0,0,0,0
0.680884,0,0,0,0
0.682437,0,0,0,0
0.683987,0,0,0,0
0.685536,0,0,0,0
0.687047,0,0,0,0
0.688564,0,0,0,0
0.690128,0,0,0,0
0.691721,0,0,0,0
0.693268,0,0,0,0
0.694817,0,0,0,0
0.696365,0,0,0,0
0.697916,0,0,0,0
0.699463,0,0,0,0
0.701024,0,0,0,0
0.702574,0,0,0,0
0.704121,0,0,0,0
0.705668,0,0,0,0
0.707242,0,0,0,0
0.708789,0,0,0,0
0.710338,0,0,0,0
0.711901,0,0,0,0
0.713447,0,0,0,0
0.714996,0,0,0,0
0.716544,0,0,0,0
0.718134,0,0,0,0
0.719683,0,0,0,0
0.721231,0,0,0,0
0.722835,0,0,0,0
0.724386,0,0,0,0
0.725936,0,0,0,0
0.727485,0,0,0,0
0.729032,0,0,0,0
0.730582,0,0,0,0
0.732130,0,0,0,0
0.733692,0,0,0,0
0.735245,0,0,0,0
0.736791,0,0,0,0
0.738385,0,0,0,0
0.739934,0,0,0,0
0.741481,0,0,0,0
0.742902,0,0,0,0
0.744431,0,0,0,0
0.745980,0,0,0,0
0.747529,0,0,0,0
0.749075,0,0,0,0
0.750625,0,0,0,0
0.752174,0,0,0,0
0.753721,0,0,0,0
0.755163,0,0,0,0
0.756682,0,0,0,0
0.758230,0,0,0,0
0.759779,0,0,0,0
0.761326,0,0,0,0
0.762875,0,0,0,0
0.764420,0,0,0,0
0.765864,0,0,0,0
0.767392,0,0,0,0
0.768940,0,0,0,0
0.770536,0,0,0,0
0.772086,0,0,0,0
0.773634,0,0,0,0
0.775188,0,0,0,0
0.776751,0,0,0,0
0.778304,0,0,0,0
0.779854,0,0,0,0
0.781403,0,0,0,0
0.782953,0,0,0,0
0.784503,0,0,0,0
0.786070,0,0,0,0
0.787684,0,0,0,0
0.789234,0,0,0,0
0.790784,0,0,0,0
0.792335,0,0,0,0
0.793887,0,0,0,0
0.795437,0,0,0,0
0.796987,0,0,0,0
0.798550,0,0,0,0
0.800102,0,0,0,0
0.801651,0,0,0,0
0.803207,0,0,0,0
0.804756,0,0,0,0
0.806308,0,0,0,0
0.807859,0,0,0,0
0.809421,0,0,0,0
0.810972,0,0,0,0
0.812521,0,0,0,0
0.814074,0,0,0,0
0.815623,0,0,0,0
0.817173,0,0,0,0
0.818768,0,0,0,0
0.820333,0,0,0,0
0.821885,0,0,0,0
0.823435,0,0,0,0
0.824985,0,0,0,0
0.826537,0,0,0,0
0.828088,0,0,0,0
0.829637,0,0,0,0
0.831205,0,0,0,0
0.832755,0,0,0,0
0.834351,0,0,0,0
0.835902,0,0,0,0
0.837452,0,0,0,0
0.839002,0,0,0,0
0.840553,0,0,0,0
0.842119,0,0,0,0
0.843671,0,0,0,0
0.845221,0,0,0,0
0.846771,0,0,0,0
0.848313,0,0,0,0
0.849960,0,0,0,0
0.851439,0,0,0,0
0.852838,0,0,0,0
0.854355,0,0,0,0
0.855904,0,0,0,0
0.857451,0,0,0,0
0.859001,0,0,0,0
0.860551,0,0,0,0
0.862101,0,0,0,0
0.863662,0,0,0,0
0.865211,0,0,0,0
0.866804,0,0,0,0
0.868353,0,0,0,0
0.869904,0,0,0,0
0.871454,0,0,0,0
0.873002,0,0,0,0
0.874566,0,0,0,0
0.876116,0,0,0,0
0.877662,0,0,0,0
0.879213,0,0,0,0
0.880760,0,0,0,0
0.882355,0,0,0,0
0.883904,0,0,0,0
0.885342,0,0,0,0
0.886863,0,0,0,0
0.888414,0,0,0,0
0.889965,0,0,0,0
0.891514,0,0,0,0
0.893064,0,0,0,0
0.894615,0,0,0,0
0.896185,0,0,0,0
0.897733,0,0,0,0
0.899289,0,0,0,0
0.900835,0,0,0,0
0.902261,0,0,0,0
0.903782,0,0,0,0
0.905329,0,0,0,0
0.906892,0,0,0,0
0.908441,0,0,0,0
0.909991,0,0,0,0
0.911539,0,0,0,0
0.913086,0,0,0,0
0.914682,0,0,0,0
0.916231,0,0,0,0
0.917668,0,0,0,0
0.919191,0,0,0,0
0.920738,0,0,0,0
0.922289,0,0,0,0
0.923838,0,0,0,0
0.925384,0,0,0,0
0.926933,0,0,0,0
0.928494,0,0,0,0
0.930044,0,0,0,0
0.931636,0,0,0,0
0.933185,0,0,0,0
0.934735,0,0,0,0
0.936284,0,0,0,0
0.938099,0,0,0,0
0.939535,0,0,0,0
0.940930,0,0,0,0
0.942321,0,0,0,0
0.943708,0,0,0,0
0.945093,0,0,0,0
0.946526,0,0,0,0
0.947912,0,0,0,0
0.949296,0,0,0,0
0.950819,0,0,0,0
0.952379,0,0,0,0
0.953926,0,0,0,0
0.955475,0,0,0,0
0.957022,0,0,0,0
0.958573,0,0,0,0
0.960123,0,0,0,0
0.961683,0,0,0,0
0.963274,0,0,0,0
0.964819,0,0,0,0
0.966250,0,0,0,0
0.967777,0,0,0,0
0.969327,0,0,0,0
0.970878,0,0,0,0
0.972320,0,0,0,0
0.973900,0,0,0,0
0.975452,0,0,0,0
0.977005,0,0,0,0
0.978605,0,0,0,0
0.980195,0,0,0,0
0.981618,0,0,0,0
0.983038,0,0,0,0
0.984430,0,0,0,0
0.985820,0,0,0,0
0.987212,0,0,0,0
0.988602,0,0,0,0
0.990081,0,0,0,0
0.991635,0,0,0,0
0.993200,0,0,0,0
0.994801,0,0,0,0
0.996357,0,0,0,0
0.997912,0,0,0,0
0.999467,0,0,0,0
1.001019,0,0,0,0
1.002576,0,0,0,0
1.004146,0,0,0,0
1.005700,0,0,0,0
1.007253,0,0,0,0
1.008797,0,0,0,0
1.010262,0,0,0,0
1.011824,0,0,0,0
1.013377,0,0,0,0
1.014945,0,0,0,0
1.016499,0,0,0,0
1.018055,0,0,0,0
1.019610,0,0,0,0
1.021164,0,0,0,0
1.022719,0,0,0,0
1.024274,0,0,0,0
1.025715,0,0,0,0
1.027245,0,0,0,0
1.028799,0,0,0,0
1.030355,0,0,0,0
1.031911,0,0,0,0
1.033464,0,0,0,0
1.035019,0,0,0,0
1.036587,0,0,0,0
