elapsed_s,TSE_SETUP_FMUL_WORKING_CYCLE_L2,TSE_SETUP_FMUL_0_WORKING_CYCLE_L3,TSE_SETUP_FMUL_1_WORKING_CYCLE_L3,TSE_SETUP_FMUL_2_WORKING_CYCLE_L3
0.494871,0,0,0,0
0.496435,0,0,0,0
0.497983,0,0,0,0
0.499532,0,0,0,0
0.501082,0,0,0,0
0.502631,0,0,0,0
0.504177,0,0,0,0
0.505730,0,0,0,0
0.507290,0,0,0,0
0.508882,0,0,0,0
0.510431,0,0,0,0
0.511979,0,0,0,0
0.513530,0,0,0,0
0.515075,0,0,0,0
0.516503,0,0,0,0
0.518041,0,0,0,0
0.519590,0,0,0,0
0.521142,0,0,0,0
0.522684,0,0,0,0
0.524225,0,0,0,0
0.526266,0,0,0,0
0.527899,0,0,0,0
0.529513,0,0,0,0
0.531064,0,0,0,0
0.532616,0,0,0,0
0.534167,0,0,0,0
0.535716,0,0,0,0
0.537266,0,0,0,0
0.538817,0,0,0,0
0.540381,0,0,0,0
0.541978,0,0,0,0
0.543527,0,0,0,0
0.545080,0,0,0,0
0.546630,0,0,0,0
0.548179,0,0,0,0
0.549734,0,0,0,0
0.551297,0,0,0,0
0.552849,0,0,0,0
0.554400,0,0,0,0
0.555949,0,0,0,0
0.557586,0,0,0,0
0.559136,0,0,0,0
0.560687,0,0,0,0
0.562251,0,0,0,0
0.563801,0,0,0,0
0.565351,0,0,0,0
0.566902,0,0,0,0
0.568454,0,0,0,0
0.570004,0,0,0,0
0.571553,0,0,0,0
0.573161,0,0,0,0
0.574712,0,0,0,0
0.576345,0,0,0,0
0.577742,0,0,0,0
0.579132,0,0,0,0
0.580647,0,0,0,0
0.582132,0,0,0,0
0.583582,0,0,0,0
0.584980,0,0,0,0
0.586371,0,0,0,0
0.587757,0,0,0,0
0.589187,0,0,0,0
0.590871,0,0,0,0
0.592960,0,0,0,0
0.594975,0,0,0,0
0.596372,0,0,0,0
0.597787,0,0,0,0
0.599169,0,0,0,0
0.600561,0,0,0,0
0.601941,0,0,0,0
0.603413,0,0,0,0
0.604829,0,0,0,0
0.606345,0,0,0,0
0.607886,0,0,0,0
0.609302,0,0,0,0
0.610815,0,0,0,0
0.612420,0,0,0,0
0.613961,0,0,0,0
0.615502,0,0,0,0
0.616935,0,0,0,0
0.618456,0,0,0,0
0.620004,0,0,0,0
0.621560,0,0,0,0
0.623108,0,0,0,0
0.624661,0,0,0,0
0.626212,0,0,0,0
0.627776,0,0,0,0
0.629327,0,0,0,0
0.630878,0,0,0,0
0.632430,0,0,0,0
0.633980,0,0,0,0
0.635529,0,0,0,0
0.637124,0,0,0,0
0.638559,0,0,0,0
0.640072,0,0,0,0
0.641647,0,0,0,0
0.643195,0,0,0,0
0.644745,0,0,0,0
0.646295,0,0,0,0
0.647842,0,0,0,0
0.649402,0,0,0,0
0.650950,0,0,0,0
0.652500,0,0,0,0
0.654093,0,0,0,0
0.655641,0,0,0,0
0.657190,0,0,0,0
0.658739,0,0,0,0
0.660303,0,0,0,0
0.661854,0,0,0,0
0.663402,0,0,0,0
0.664952,0,0,0,0
0.666500,0,0,0,0
0.668047,0,0,0,0
0.669477,0,0,0,0
0.671006,0,0,0,0
0.672556,0,0,0,0
0.674106,0,0,0,0
0.675653,0,0,0,0
0.677201,0,0,0,0
0.678751,0,0,0,0
0.680302,0,0,0,0
0.681864,0,0,0,0
0.683412,0,0,0,0
0.685007,0,0,0,0
0.686557,0,0,0,0
0.688103,0,0,0,0
0.689656,0,0,0,0
0.691204,0,0,0,0
0.692769,0,0,0,0
0.694318,0,0,0,0
0.695865,0,0,0,0
0.697414,0,0,0,0
0.699166,0,0,0,0
0.700764,0,0,0,0
0.702314,0,0,0,0
0.703876,0,0,0,0
0.705424,0,0,0,0
0.706973,0,0,0,0
0.708523,0,0,0,0
0.710112,0,0,0,0
0.711660,0,0,0,0
0.713207,0,0,0,0
0.714767,0,0,0,0
0.716195,0,0,0,0
0.717725,0,0,0,0
0.719275,0,0,0,0
0.720828,0,0,0,0
0.722379,0,0,0,0
0.723928,0,0,0,0
0.725455,0,0,0,0
0.726975,0,0,0,0
0.728528,0,0,0,0
0.730078,0,0,0,0
0.731628,0,0,0,0
0.733223,0,0,0,0
0.734775,0,0,0,0
0.736342,0,0,0,0
0.737893,0,0,0,0
0.739442,0,0,0,0
0.740994,0,0,0,0
0.742544,0,0,0,0
0.744092,0,0,0,0
0.745647,0,0,0,0
0.747207,0,0,0,0
0.748798,0,0,0,0
0.750348,0,0,0,0
0.751896,0,0,0,0
0.753505,0,0,0,0
0.755056,0,0,0,0
0.756608,0,0,0,0
0.758171,0,0,0,0
0.759721,0,0,0,0
0.761272,0,0,0,0
0.762823,0,0,0,0
0.764376,0,0,0,0
0.765971,0,0,0,0
0.767521,0,0,0,0
0.769085,0,0,0,0
0.770637,0,0,0,0
0.772186,0,0,0,0
0.773742,0,0,0,0
0.775292,0,0,0,0
0.776844,0,0,0,0
0.778395,0,0,0,0
0.779956,0,0,0,0
0.781599,0,0,0,0
0.783148,0,0,0,0
0.784700,0,0,0,0
0.786250,0,0,0,0
0.787800,0,0,0,0
0.789350,0,0,0,0
0.790915,0,0,0,0
0.792468,0,0,0,0
0.794019,0,0,0,0
0.795568,0,0,0,0
0.797162,0,0,0,0
0.798714,0,0,0,0
0.800330,0,0,0,0
0.801701,0,0,0,0
0.803093,0,0,0,0
0.804611,0,0,0,0
0.806162,0,0,0,0
0.807711,0,0,0,0
0.809261,0,0,0,0
0.810813,0,0,0,0
0.812378,0,0,0,0
0.813972,0,0,0,0
0.815521,0,0,0,0
0.817073,0,0,0,0
0.818624,0,0,0,0
0.820173,0,0,0,0
0.821729,0,0,0,0
0.823292,0,0,0,0
0.824844,0,0,0,0
0.826395,0,0,0,0
0.827945,0,0,0,0
0.829583,0,0,0,0
0.831133,0,0,0,0
0.832685,0,0,0,0
0.834251,0,0,0,0
0.835800,0,0,0,0
0.837351,0,0,0,0
0.838901,0,0,0,0
0.840454,0,0,0,0
0.841996,0,0,0,0
0.843538,0,0,0,0
0.845012,0,0,0,0
0.846531,0,0,0,0
0.848079,0,0,0,0
0.849633,0,0,0,0
0.851180,0,0,0,0
0.852734,0,0,0,0
0.854282,0,0,0,0
0.855845,0,0,0,0
0.857394,0,0,0,0
0.858943,0,0,0,0
0.860494,0,0,0,0
0.862089,0,0,0,0
0.863636,0,0,0,0
0.865185,0,0,0,0
0.866748,0,0,0,0
0.868299,0,0,0,0
0.869848,0,0,0,0
0.871395,0,0,0,0
0.872945,0,0,0,0
0.874494,0,0,0,0
0.876042,0,0,0,0
0.877611,0,0,0,0
0.879158,0,0,0,0
0.880708,0,0,0,0
0.882257,0,0,0,0
0.883804,0,0,0,0
0.885353,0,0,0,0
0.886903,0,0,0,0
0.888466,0,0,0,0
0.890015,0,0,0,0
0.891563,0,0,0,0
0.893157,0,0,0,0
0.894707,0,0,0,0
0.896344,0,0,0,0
0.897774,0,0,0,0
0.899172,0,0,0,0
0.900691,0,0,0,0
0.902241,0,0,0,0
0.903789,0,0,0,0
0.905338,0,0,0,0
0.906887,0,0,0,0
0.908438,0,0,0,0
0.910045,0,0,0,0
0.911594,0,0,0,0
