elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.160562,0,0,0,0,0,0,0
0.161964,0,0,0,0,0,0,0
0.163367,0,0,0,0,0,0,0
0.164900,0,0,0,0,0,0,0
0.166308,0,0,0,0,0,0,0
0.167669,0,0,0,0,0,0,0
0.169030,0,0,0,0,0,0,0
0.170403,0,0,0,0,0,0,0
0.171759,0,0,0,0,0,0,0
0.173134,0,0,0,0,0,0,0
0.174669,0,0,0,0,0,0,0
0.176235,0,0,0,0,0,0,0
0.177803,0,0,0,0,0,0,0
0.179369,0,0,0,0,0,0,0
0.180951,0,0,0,0,0,0,0
0.182518,0,0,0,0,0,0,0
0.184083,0,0,0,0,0,0,0
0.185649,0,0,0,0,0,0,0
0.187216,0,0,0,0,0,0,0
0.188785,0,0,0,0,0,0,0
0.190397,0,0,0,0,0,0,0
0.191975,0,0,0,0,0,0,0
0.193542,0,0,0,0,0,0,0
0.195099,0,0,0,0,0,0,0
0.196655,0,0,0,0,0,0,0
0.198387,0,0,0,0,0,0,0
0.199951,0,0,0,0,0,0,0
0.201519,0,0,0,0,0,0,0
0.203098,0,0,0,0,0,0,0
0.204732,0,0,0,0,0,0,0
0.206273,0,0,0,0,0,0,0
0.207681,0,0,0,0,0,0,0
0.209218,0,0,0,0,0,0,0
0.210785,0,0,0,0,0,0,0
0.212350,0,0,0,0,0,0,0
0.214004,0,0,0,0,0,0,0
0.215569,0,0,0,0,0,0,0
0.217137,0,0,0,0,0,0,0
0.218704,0,0,0,0,0,0,0
0.220269,0,0,0,0,0,0,0
0.221880,0,0,0,0,0,0,0
0.223448,0,0,0,0,0,0,0
0.225030,0,0,0,0,0,0,0
0.226587,0,0,0,0,0,0,0
0.228142,0,0,0,0,0,0,0
0.229579,0,0,0,0,0,0,0
0.231027,0,0,0,0,0,0,0
0.232431,0,0,0,0,0,0,0
0.233979,0,0,0,0,0,0,0
0.235395,0,0,0,0,0,0,0
0.236801,0,0,0,0,0,0,0
0.238246,0,0,0,0,0,0,0
0.239775,0,0,0,0,0,0,0
0.241343,0,0,0,0,0,0,0
0.242910,0,0,0,0,0,0,0
0.244475,0,0,0,0,0,0,0
0.246060,0,0,0,0,0,0,0
0.247625,0,0,0,0,0,0,0
0.249192,0,0,0,0,0,0,0
0.250758,0,0,0,0,0,0,0
0.252322,0,0,0,0,0,0,0
0.253839,0,0,0,0,0,0,0
0.255376,0,0,0,0,0,0,0
0.256957,0,0,0,0,0,0,0
0.258523,0,0,0,0,0,0,0
0.260088,0,0,0,0,0,0,0
0.261654,0,0,0,0,0,0,0
0.263221,0,0,0,0,0,0,0
0.264788,0,0,0,0,0,0,0
0.266354,0,0,0,0,0,0,0
0.267932,0,0,0,0,0,0,0
0.269543,0,0,0,0,0,0,0
0.271159,0,0,0,0,0,0,0
0.272727,0,0,0,0,0,0,0
0.274294,0,0,0,0,0,0,0
0.275859,0,0,0,0,0,0,0
0.277427,0,0,0,0,0,0,0
0.279007,0,0,0,0,0,0,0
0.280571,0,0,0,0,0,0,0
0.282141,0,0,0,0,0,0,0
0.283705,0,0,0,0,0,0,0
0.285316,0,0,0,0,0,0,0
0.286883,0,0,0,0,0,0,0
0.288448,0,0,0,0,0,0,0
0.290033,0,0,0,0,0,0,0
0.291597,0,0,0,0,0,0,0
0.293165,0,0,0,0,0,0,0
0.294732,0,0,0,0,0,0,0
0.296296,0,0,0,0,0,0,0
0.297734,0,0,0,0,0,0,0
0.299271,0,0,0,0,0,0,0
0.300852,0,0,0,0,0,0,0
0.302464,0,0,0,0,0,0,0
0.304029,0,0,0,0,0,0,0
0.305594,0,0,0,0,0,0,0
0.307160,0,0,0,0,0,0,0
0.308728,0,0,0,0,0,0,0
0.310296,0,0,0,0,0,0,0
0.311875,0,0,0,0,0,0,0
0.313442,0,0,0,0,0,0,0
0.315008,0,0,0,0,0,0,0
0.316573,0,0,0,0,0,0,0
0.318144,0,0,0,0,0,0,0
0.319708,0,0,0,0,0,0,0
0.321276,0,0,0,0,0,0,0
0.322847,0,0,0,0,0,0,0
0.324403,0,0,0,0,0,0,0
0.326118,0,0,0,0,0,0,0
0.327681,0,0,0,0,0,0,0
0.329246,0,0,0,0,0,0,0
0.330812,0,0,0,0,0,0,0
0.332374,0,0,0,0,0,0,0
0.334016,0,0,0,0,0,0,0
0.335579,0,0,0,0,0,0,0
0.337145,0,0,0,0,0,0,0
0.338709,0,0,0,0,0,0,0
0.340272,0,0,0,0,0,0,0
0.341837,0,0,0,0,0,0,0
0.343401,0,0,0,0,0,0,0
0.344981,0,0,0,0,0,0,0
0.346546,0,0,0,0,0,0,0
0.348108,0,0,0,0,0,0,0
0.349717,0,0,0,0,0,0,0
0.351281,0,0,0,0,0,0,0
0.352847,0,0,0,0,0,0,0
0.354413,0,0,0,0,0,0,0
0.355990,0,0,0,0,0,0,0
0.357555,0,0,0,0,0,0,0
0.359120,0,0,0,0,0,0,0
0.360765,0,0,0,0,0,0,0
0.362176,0,0,0,0,0,0,0
0.363586,0,0,0,0,0,0,0
0.365172,0,0,0,0,0,0,0
0.366752,0,0,0,0,0,0,0
0.368317,0,0,0,0,0,0,0
0.369933,0,0,0,0,0,0,0
0.371499,0,0,0,0,0,0,0
0.373068,0,0,0,0,0,0,0
0.374634,0,0,0,0,0,0,0
0.376199,0,0,0,0,0,0,0
0.377777,0,0,0,0,0,0,0
0.379344,0,0,0,0,0,0,0
0.380913,0,0,0,0,0,0,0
0.382523,0,0,0,0,0,0,0
0.384089,0,0,0,0,0,0,0
0.385654,0,0,0,0,0,0,0
0.387212,0,0,0,0,0,0,0
0.388834,0,0,0,0,0,0,0
0.390416,0,0,0,0,0,0,0
0.391971,0,0,0,0,0,0,0
0.393482,0,0,0,0,0,0,0
0.394911,0,0,0,0,0,0,0
0.396315,0,0,0,0,0,0,0
0.399395,0,0,0,0,0,0,0
0.400812,0,0,0,0,0,0,0
0.402341,0,0,0,0,0,0,0
0.403906,0,0,0,0,0,0,0
0.405472,0,0,0,0,0,0,0
0.407037,0,0,0,0,0,0,0
0.408602,0,0,0,0,0,0,0
0.410197,0,0,0,0,0,0,0
0.411861,0,0,0,0,0,0,0
0.413314,0,0,0,0,0,0,0
0.414946,0,0,0,0,0,0,0
0.416348,0,0,0,0,0,0,0
0.417856,0,0,0,0,0,0,0
0.419315,0,0,0,0,0,0,0
0.420983,0,0,0,0,0,0,0
0.422434,0,0,0,0,0,0,0
0.424525,0,0,0,0,0,0,0
0.425917,0,0,0,0,0,0,0
0.427316,0,0,0,0,0,0,0
0.428768,0,0,0,0,0,0,0
0.430236,0,0,0,0,0,0,0
0.431638,0,0,0,0,0,0,0
0.433053,0,0,0,0,0,0,0
0.434586,0,0,0,0,0,0,0
0.436151,0,0,0,0,0,0,0
0.437718,0,0,0,0,0,0,0
0.439285,0,0,0,0,0,0,0
0.440854,0,0,0,0,0,0,0
0.442421,0,0,0,0,0,0,0
0.443999,0,0,0,0,0,0,0
0.445609,0,0,0,0,0,0,0
0.447177,0,0,0,0,0,0,0
0.448744,0,0,0,0,0,0,0
0.450311,0,0,0,0,0,0,0
0.451876,0,0,0,0,0,0,0
0.453443,0,0,0,0,0,0,0
0.455023,0,0,0,0,0,0,0
0.456588,0,0,0,0,0,0,0
0.458159,0,0,0,0,0,0,0
0.459723,0,0,0,0,0,0,0
0.461335,0,0,0,0,0,0,0
0.462901,0,0,0,0,0,0,0
0.464467,0,0,0,0,0,0,0
0.466052,0,0,0,0,0,0,0
0.467616,0,0,0,0,0,0,0
0.469185,0,0,0,0,0,0,0
