elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.374926,0,0,0,0,0,0,0,0
0.376496,0,0,0,0,0,0,0,0
0.378066,0,0,0,0,0,0,0,0
0.379638,0,0,0,0,0,0,0,0
0.381788,0,0,0,0,0,0,0,0
0.383226,0,0,0,0,0,0,0,0
0.384683,0,0,0,0,0,0,0,0
0.386094,0,0,0,0,0,0,0,0
0.387503,0,0,0,0,0,0,0,0
0.388908,0,0,0,0,0,0,0,0
0.390437,0,0,0,0,0,0,0,0
0.392052,0,0,0,0,0,0,0,0
0.393611,0,0,0,0,0,0,0,0
0.395175,0,0,0,0,0,0,0,0
0.396617,0,0,0,0,0,0,0,0
0.398159,0,0,0,0,0,0,0,0
0.399732,0,0,0,0,0,0,0,0
0.401347,0,0,0,0,0,0,0,0
0.402918,0,0,0,0,0,0,0,0
0.404504,0,0,0,0,0,0,0,0
0.406077,0,0,0,0,0,0,0,0
0.407652,0,0,0,0,0,0,0,0
0.409224,0,0,0,0,0,0,0,0
0.410795,0,0,0,0,0,0,0,0
0.412368,0,0,0,0,0,0,0,0
0.413940,0,0,0,0,0,0,0,0
0.415524,0,0,0,0,0,0,0,0
0.417102,0,0,0,0,0,0,0,0
0.418672,0,0,0,0,0,0,0,0
0.420246,0,0,0,0,0,0,0,0
0.421819,0,0,0,0,0,0,0,0
0.423390,0,0,0,0,0,0,0,0
0.424967,0,0,0,0,0,0,0,0
0.426552,0,0,0,0,0,0,0,0
0.428126,0,0,0,0,0,0,0,0
0.429697,0,0,0,0,0,0,0,0
0.431269,0,0,0,0,0,0,0,0
0.432791,0,0,0,0,0,0,0,0
0.434330,0,0,0,0,0,0,0,0
0.435905,0,0,0,0,0,0,0,0
0.437491,0,0,0,0,0,0,0,0
0.439062,0,0,0,0,0,0,0,0
0.440633,0,0,0,0,0,0,0,0
0.442197,0,0,0,0,0,0,0,0
0.443805,0,0,0,0,0,0,0,0
0.445378,0,0,0,0,0,0,0,0
0.446949,0,0,0,0,0,0,0,0
0.448578,0,0,0,0,0,0,0,0
0.450151,0,0,0,0,0,0,0,0
0.451725,0,0,0,0,0,0,0,0
0.453289,0,0,0,0,0,0,0,0
0.454852,0,0,0,0,0,0,0,0
0.456411,0,0,0,0,0,0,0,0
0.458026,0,0,0,0,0,0,0,0
0.459462,0,0,0,0,0,0,0,0
0.460883,0,0,0,0,0,0,0,0
0.462444,0,0,0,0,0,0,0,0
0.464104,0,0,0,0,0,0,0,0
0.466378,0,0,0,0,0,0,0,0
0.467918,0,0,0,0,0,0,0,0
0.469492,0,0,0,0,0,0,0,0
0.471076,0,0,0,0,0,0,0,0
0.472648,0,0,0,0,0,0,0,0
0.474221,0,0,0,0,0,0,0,0
0.475795,0,0,0,0,0,0,0,0
0.477368,0,0,0,0,0,0,0,0
0.478940,0,0,0,0,0,0,0,0
0.480555,0,0,0,0,0,0,0,0
0.482175,0,0,0,0,0,0,0,0
0.483755,0,0,0,0,0,0,0,0
0.485326,0,0,0,0,0,0,0,0
0.486897,0,0,0,0,0,0,0,0
0.488469,0,0,0,0,0,0,0,0
0.490042,0,0,0,0,0,0,0,0
0.491696,0,0,0,0,0,0,0,0
0.493197,0,0,0,0,0,0,0,0
0.494612,0,0,0,0,0,0,0,0
0.496196,0,0,0,0,0,0,0,0
0.497806,0,0,0,0,0,0,0,0
0.499376,0,0,0,0,0,0,0,0
0.500952,0,0,0,0,0,0,0,0
0.502523,0,0,0,0,0,0,0,0
0.504110,0,0,0,0,0,0,0,0
0.505683,0,0,0,0,0,0,0,0
0.507253,0,0,0,0,0,0,0,0
0.508887,0,0,0,0,0,0,0,0
0.510458,0,0,0,0,0,0,0,0
0.512076,0,0,0,0,0,0,0,0
0.513649,0,0,0,0,0,0,0,0
0.515234,0,0,0,0,0,0,0,0
0.516853,0,0,0,0,0,0,0,0
0.518426,0,0,0,0,0,0,0,0
0.520001,0,0,0,0,0,0,0,0
0.521574,0,0,0,0,0,0,0,0
0.523145,0,0,0,0,0,0,0,0
0.524718,0,0,0,0,0,0,0,0
0.526304,0,0,0,0,0,0,0,0
0.527880,0,0,0,0,0,0,0,0
0.529498,0,0,0,0,0,0,0,0
0.531069,0,0,0,0,0,0,0,0
0.532640,0,0,0,0,0,0,0,0
0.534213,0,0,0,0,0,0,0,0
0.535789,0,0,0,0,0,0,0,0
0.537376,0,0,0,0,0,0,0,0
0.538947,0,0,0,0,0,0,0,0
0.540520,0,0,0,0,0,0,0,0
0.542093,0,0,0,0,0,0,0,0
0.543667,0,0,0,0,0,0,0,0
0.545232,0,0,0,0,0,0,0,0
0.546793,0,0,0,0,0,0,0,0
0.548251,0,0,0,0,0,0,0,0
0.549795,0,0,0,0,0,0,0,0
0.551365,0,0,0,0,0,0,0,0
0.552942,0,0,0,0,0,0,0,0
0.554513,0,0,0,0,0,0,0,0
0.556087,0,0,0,0,0,0,0,0
0.557660,0,0,0,0,0,0,0,0
0.559245,0,0,0,0,0,0,0,0
0.560869,0,0,0,0,0,0,0,0
0.562441,0,0,0,0,0,0,0,0
0.564014,0,0,0,0,0,0,0,0
0.565587,0,0,0,0,0,0,0,0
0.567158,0,0,0,0,0,0,0,0
0.568730,0,0,0,0,0,0,0,0
0.570317,0,0,0,0,0,0,0,0
0.571891,0,0,0,0,0,0,0,0
0.573464,0,0,0,0,0,0,0,0
0.575035,0,0,0,0,0,0,0,0
0.576652,0,0,0,0,0,0,0,0
0.578226,0,0,0,0,0,0,0,0
0.579800,0,0,0,0,0,0,0,0
0.581389,0,0,0,0,0,0,0,0
0.582961,0,0,0,0,0,0,0,0
0.584533,0,0,0,0,0,0,0,0
0.586106,0,0,0,0,0,0,0,0
0.587681,0,0,0,0,0,0,0,0
0.589254,0,0,0,0,0,0,0,0
0.590825,0,0,0,0,0,0,0,0
0.592455,0,0,0,0,0,0,0,0
0.594028,0,0,0,0,0,0,0,0
0.595683,0,0,0,0,0,0,0,0
0.597102,0,0,0,0,0,0,0,0
0.598515,0,0,0,0,0,0,0,0
0.600054,0,0,0,0,0,0,0,0
0.601626,0,0,0,0,0,0,0,0
0.603210,0,0,0,0,0,0,0,0
0.604782,0,0,0,0,0,0,0,0
0.606354,0,0,0,0,0,0,0,0
0.607928,0,0,0,0,0,0,0,0
0.609547,0,0,0,0,0,0,0,0
0.611117,0,0,0,0,0,0,0,0
0.612689,0,0,0,0,0,0,0,0
0.614152,0,0,0,0,0,0,0,0
0.615697,0,0,0,0,0,0,0,0
0.617270,0,0,0,0,0,0,0,0
0.618840,0,0,0,0,0,0,0,0
0.620414,0,0,0,0,0,0,0,0
0.621986,0,0,0,0,0,0,0,0
0.623557,0,0,0,0,0,0,0,0
0.625183,0,0,0,0,0,0,0,0
0.626753,0,0,0,0,0,0,0,0
0.628329,0,0,0,0,0,0,0,0
0.629901,0,0,0,0,0,0,0,0
0.631472,0,0,0,0,0,0,0,0
0.633049,0,0,0,0,0,0,0,0
0.634620,0,0,0,0,0,0,0,0
0.636207,0,0,0,0,0,0,0,0
0.637780,0,0,0,0,0,0,0,0
0.639352,0,0,0,0,0,0,0,0
0.640930,0,0,0,0,0,0,0,0
0.642502,0,0,0,0,0,0,0,0
0.645616,0,0,0,0,0,0,0,0
0.647105,0,0,0,0,0,0,0,0
0.648526,0,0,0,0,0,0,0,0
0.650057,0,0,0,0,0,0,0,0
0.651733,0,0,0,0,0,0,0,0
0.653156,0,0,0,0,0,0,0,0
0.654566,0,0,0,0,0,0,0,0
0.655972,0,0,0,0,0,0,0,0
0.657515,0,0,0,0,0,0,0,0
0.659072,0,0,0,0,0,0,0,0
0.660531,0,0,0,0,0,0,0,0
0.661954,0,0,0,0,0,0,0,0
0.663365,0,0,0,0,0,0,0,0
0.664777,0,0,0,0,0,0,0,0
0.666186,0,0,0,0,0,0,0,0
0.667579,0,0,0,0,0,0,0,0
0.669135,0,0,0,0,0,0,0,0
0.670706,0,0,0,0,0,0,0,0
0.672323,0,0,0,0,0,0,0,0
0.673896,0,0,0,0,0,0,0,0
0.675468,0,0,0,0,0,0,0,0
0.677045,0,0,0,0,0,0,0,0
0.678631,0,0,0,0,0,0,0,0
0.680205,0,0,0,0,0,0,0,0
0.681778,0,0,0,0,0,0,0,0
0.683348,0,0,0,0,0,0,0,0
0.684926,0,0,0,0,0,0,0,0
