elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.213404,0,0,0,0,0,0,0
0.214807,0,0,0,0,0,0,0
0.216207,0,0,0,0,0,0,0
0.217614,0,0,0,0,0,0,0
0.219008,0,0,0,0,0,0,0
0.220442,0,0,0,0,0,0,0
0.221840,0,0,0,0,0,0,0
0.223234,0,0,0,0,0,0,0
0.224627,0,0,0,0,0,0,0
0.226021,0,0,0,0,0,0,0
0.227470,0,0,0,0,0,0,0
0.228847,0,0,0,0,0,0,0
0.230216,0,0,0,0,0,0,0
0.231584,0,0,0,0,0,0,0
0.232953,0,0,0,0,0,0,0
0.234321,0,0,0,0,0,0,0
0.235690,0,0,0,0,0,0,0
0.237059,0,0,0,0,0,0,0
0.240302,0,0,0,0,0,0,0
0.243289,0,0,0,0,0,0,0
0.244730,0,0,0,0,0,0,0
0.246153,0,0,0,0,0,0,0
0.247576,0,0,0,0,0,0,0
0.248998,0,0,0,0,0,0,0
0.250421,0,0,0,0,0,0,0
0.251847,0,0,0,0,0,0,0
0.253270,0,0,0,0,0,0,0
0.254692,0,0,0,0,0,0,0
0.256007,0,0,0,0,0,0,0
0.257430,0,0,0,0,0,0,0
0.258747,0,0,0,0,0,0,0
0.260102,0,0,0,0,0,0,0
0.261547,0,0,0,0,0,0,0
0.263089,0,0,0,0,0,0,0
0.264520,0,0,0,0,0,0,0
0.265880,0,0,0,0,0,0,0
0.267282,0,0,0,0,0,0,0
0.268680,0,0,0,0,0,0,0
0.270039,0,0,0,0,0,0,0
0.271496,0,0,0,0,0,0,0
0.272853,0,0,0,0,0,0,0
0.274222,0,0,0,0,0,0,0
0.275586,0,0,0,0,0,0,0
0.277000,0,0,0,0,0,0,0
0.278399,0,0,0,0,0,0,0
0.279798,0,0,0,0,0,0,0
0.281203,0,0,0,0,0,0,0
