elapsed_s,HLSQ_S2W_STALL_BY_MISS_RETURN,HLSQ_MISS_RETURN_STALL_BY_S2W,HLSQ_STPROC_L0_STALL_INS_RD,HLSQ_STPROC_L0_INS_MISS,HLSQ_STPROC_L0_INS_HIT,HLSQ_STPROC_L0_INS_LATENCY_COUNT
0.541024,0,0,0,0,0,0
0.542588,0,0,0,0,0,0
0.544202,0,0,0,0,0,0
0.545764,0,0,0,0,0,0
0.547324,0,0,0,0,0,0
0.548772,0,0,0,0,0,0
0.550315,0,0,0,0,0,0
0.551770,0,0,0,0,0,0
0.553260,0,0,0,0,0,0
0.554911,0,0,0,0,0,0
0.556410,0,0,0,0,0,0
0.557904,0,0,0,0,0,0
0.559462,0,0,0,0,0,0
0.562549,0,0,0,0,0,0
0.563950,0,0,0,0,0,0
0.565428,0,0,0,0,0,0
0.566821,0,0,0,0,0,0
0.568870,0,0,0,0,0,0
0.570385,0,0,0,0,0,0
0.571772,0,0,0,0,0,0
0.573160,0,0,0,0,0,0
0.574618,0,0,0,0,0,0
0.576044,0,0,0,0,0,0
0.577432,0,0,0,0,0,0
0.578820,0,0,0,0,0,0
0.580241,0,0,0,0,0,0
0.581641,0,0,0,0,0,0
0.583031,0,0,0,0,0,0
0.584419,0,0,0,0,0,0
0.585806,0,0,0,0,0,0
0.587194,0,0,0,0,0,0
0.588581,0,0,0,0,0,0
0.589967,0,0,0,0,0,0
0.591402,0,0,0,0,0,0
0.592772,0,0,0,0,0,0
0.594135,0,0,0,0,0,0
0.595498,0,0,0,0,0,0
0.596861,0,0,0,0,0,0
0.598225,0,0,0,0,0,0
0.599588,0,0,0,0,0,0
0.600950,0,0,0,0,0,0
0.602379,0,0,0,0,0,0
0.603774,0,0,0,0,0,0
0.605138,0,0,0,0,0,0
0.606502,0,0,0,0,0,0
0.607895,0,0,0,0,0,0
0.609262,0,0,0,0,0,0
0.610611,0,0,0,0,0,0
0.611960,0,0,0,0,0,0
0.613310,0,0,0,0,0,0
0.614666,0,0,0,0,0,0
0.616013,0,0,0,0,0,0
0.617426,0,0,0,0,0,0
0.619007,0,0,0,0,0,0
0.620358,0,0,0,0,0,0
0.621706,0,0,0,0,0,0
0.623086,0,0,0,0,0,0
0.624505,0,0,0,0,0,0
0.625926,0,0,0,0,0,0
0.627348,0,0,0,0,0,0
0.628766,0,0,0,0,0,0
0.630182,0,0,0,0,0,0
0.631599,0,0,0,0,0,0
0.632937,0,0,0,0,0,0
0.634320,0,0,0,0,0,0
0.635739,0,0,0,0,0,0
0.637162,0,0,0,0,0,0
0.638582,0,0,0,0,0,0
0.639905,0,0,0,0,0,0
0.641363,0,0,0,0,0,0
0.642753,0,0,0,0,0,0
0.644102,0,0,0,0,0,0
0.645455,0,0,0,0,0,0
0.646816,0,0,0,0,0,0
0.648038,0,0,0,0,0,0
0.649391,0,0,0,0,0,0
0.650744,0,0,0,0,0,0
0.652095,0,0,0,0,0,0
0.653445,0,0,0,0,0,0
0.654813,0,0,0,0,0,0
0.656208,0,0,0,0,0,0
0.657626,0,0,0,1,15,1
0.659026,0,0,0,0,0,0
0.660424,0,0,0,0,0,0
0.661821,0,0,0,0,0,0
0.663219,0,0,0,0,0,0
0.664613,0,0,0,0,0,0
0.666037,0,0,0,0,0,0
0.667512,0,0,0,0,0,0
0.670077,0,0,0,0,0,0
0.671477,0,0,0,0,0,0
0.672868,0,0,0,0,0,0
0.674398,0,0,0,0,0,0
0.675786,0,0,0,0,0,0
0.677211,0,0,0,0,0,0
0.678600,0,0,0,0,0,0
0.679990,0,0,0,0,0,0
0.681427,0,0,0,0,0,0
0.683357,0,0,0,0,0,0
0.685427,0,0,0,0,0,0
0.687028,0,0,0,0,0,0
0.688416,0,0,0,0,0,0
0.690446,0,0,0,0,0,0
0.691854,0,0,0,0,0,0
0.693254,0,0,0,0,0,0
0.694657,0,0,0,0,0,0
0.696050,0,0,0,0,0,0
0.697472,0,0,0,0,0,0
0.698865,0,0,0,0,0,0
0.700260,0,0,0,0,0,0
0.701657,0,0,0,0,0,0
0.703181,0,0,0,0,0,0
0.707553,0,0,0,0,0,0
0.708927,0,0,0,0,0,0
0.710425,0,0,0,0,0,0
0.711820,0,0,0,0,0,0
0.713262,0,0,0,0,0,0
0.714654,0,0,0,0,0,0
0.716144,0,0,0,0,0,0
0.717541,0,0,0,0,0,0
0.719288,0,0,0,0,0,0
0.720649,0,0,0,0,0,0
0.721997,0,0,0,0,0,0
0.723360,0,0,0,0,0,0
0.724707,0,0,0,0,0,0
0.726053,0,0,0,0,0,0
0.727400,0,0,0,0,0,0
0.728746,0,0,0,0,0,0
0.730139,0,0,0,0,0,0
0.731489,0,0,0,0,0,0
0.732833,0,0,0,0,0,0
0.734186,0,0,0,0,0,0
0.735596,0,0,0,0,0,0
0.737001,0,0,0,0,0,0
0.738390,0,0,0,0,0,0
0.739785,0,0,0,0,0,0
0.741251,0,0,0,0,0,0
0.742658,0,0,0,0,0,0
0.744184,0,0,0,0,0,0
0.745772,0,0,0,0,0,0
0.747336,0,0,0,0,0,0
0.748898,0,0,0,0,0,0
0.750466,0,0,0,0,0,0
0.751954,0,0,0,0,0,0
0.753496,0,0,0,0,0,0
0.755060,0,0,0,0,0,0
0.756634,0,0,0,0,0,0
0.758199,0,0,0,0,0,0
0.759752,0,0,0,0,0,0
0.761357,0,0,0,0,0,0
0.762917,0,0,0,0,0,0
0.764687,0,0,0,0,0,0
0.766124,0,0,0,0,0,0
0.767540,0,0,0,0,0,0
0.769375,0,0,0,0,0,0
0.771615,0,0,0,0,0,0
0.773016,0,0,0,0,0,0
0.774411,0,0,0,0,0,0
0.775800,0,0,0,0,0,0
0.777715,0,0,0,0,0,0
0.779161,0,0,0,0,0,0
0.780553,0,0,0,0,0,0
0.782040,0,0,0,0,0,0
0.783432,0,0,0,0,0,0
0.785079,0,0,0,0,0,0
0.786923,0,0,0,0,0,0
0.788321,0,0,0,0,0,0
0.789723,0,0,0,0,0,0
0.791112,0,0,0,0,0,0
0.792499,0,0,0,0,0,0
0.793887,0,0,0,0,0,0
0.795275,0,0,0,0,0,0
0.796662,0,0,0,0,0,0
0.798051,0,0,0,0,0,0
0.799495,0,0,0,0,0,0
0.800867,0,0,0,0,0,0
0.802230,0,0,0,0,0,0
0.803593,0,0,0,0,0,0
0.804955,0,0,0,0,0,0
0.806324,0,0,0,0,0,0
0.807686,0,0,0,0,0,0
0.809048,0,0,0,0,0,0
0.810480,0,0,0,0,0,0
0.811851,0,0,0,0,0,0
0.813207,0,0,0,0,0,0
0.814573,0,0,0,0,0,0
0.815967,0,0,0,0,0,0
0.817531,0,0,0,0,0,0
0.818882,0,0,0,0,0,0
0.820231,0,0,0,0,0,0
0.821577,0,0,0,0,0,0
0.822930,0,0,0,0,0,0
0.824278,0,0,0,0,0,0
0.825626,0,0,0,0,0,0
0.826975,0,0,0,0,0,0
0.828331,0,0,0,0,0,0
0.829682,0,0,0,0,0,0
0.831062,0,0,0,0,0,0
0.832481,0,0,0,0,0,0
0.833905,0,0,0,0,0,0
0.835216,0,0,0,0,0,0
0.836634,0,0,0,0,0,0
0.838051,0,0,0,0,0,0
0.839475,0,0,0,0,0,0
0.840861,0,0,0,0,0,0
0.842189,0,0,0,0,0,0
0.843559,0,0,0,0,0,0
0.844934,0,0,0,0,0,0
0.846302,0,0,0,0,0,0
0.847670,0,0,0,0,0,0
0.849038,0,0,0,0,0,0
0.850359,0,0,0,0,0,0
0.851703,0,0,0,0,0,0
0.853050,0,0,0,0,0,0
0.854495,0,0,0,0,0,0
0.856070,0,0,0,0,0,0
0.857453,0,0,0,0,0,0
0.858810,0,0,0,0,0,0
0.860160,0,0,0,0,0,0
0.861516,0,0,0,0,0,0
0.862972,0,0,0,0,0,0
0.864381,0,0,0,0,0,0
0.865883,0,0,0,1,15,1
0.867293,0,0,0,0,0,0
0.868691,0,0,0,0,0,0
0.870088,0,0,0,0,0,0
0.871485,0,0,0,0,0,0
0.872881,0,0,0,0,0,0
0.874759,0,0,0,0,0,0
0.876164,0,0,0,0,0,0
0.878094,0,0,0,0,0,0
0.879617,0,0,0,0,0,0
0.881009,0,0,0,0,0,0
0.882387,0,0,0,0,0,0
0.883778,0,0,0,0,0,0
0.885276,0,0,0,0,0,0
0.890415,0,0,0,0,0,0
0.891813,0,0,0,0,0,0
0.893213,0,0,0,0,0,0
0.894685,0,0,0,0,0,0
0.896065,0,0,0,0,0,0
0.897433,0,0,0,0,0,0
0.898788,0,0,0,0,0,0
0.900137,0,0,0,0,0,0
0.901546,0,0,0,0,0,0
0.902894,0,0,0,0,0,0
0.904242,0,0,0,0,0,0
0.905588,0,0,0,0,0,0
0.906935,0,0,0,0,0,0
0.908279,0,0,0,0,0,0
0.909624,0,0,0,0,0,0
0.911101,0,0,0,0,0,0
0.912564,0,0,0,0,0,0
0.914097,0,0,0,0,0,0
0.915659,0,0,0,0,0,0
0.917221,0,0,0,0,0,0
0.918782,0,0,0,0,0,0
0.920217,0,0,0,0,0,0
0.921657,0,0,0,0,0,0
0.923196,0,0,0,0,0,0
0.924749,0,0,0,0,0,0
0.926522,0,0,0,0,0,0
0.928108,0,0,0,0,0,0
0.929566,0,0,0,0,0,0
0.931123,0,0,0,0,0,0
0.932683,0,0,0,0,0,0
0.934129,0,0,0,0,0,0
0.935654,0,0,0,0,0,0
0.937250,0,0,0,0,0,0
0.938670,0,0,0,0,0,0
0.940072,0,0,0,0,0,0
0.941601,0,0,0,0,0,0
0.943202,0,0,0,0,0,0
0.944777,0,0,0,0,0,0
0.946209,0,0,0,0,0,0
0.947739,0,0,0,0,0,0
0.949304,0,0,0,0,0,0
0.950866,0,0,0,0,0,0
0.952427,0,0,0,0,0,0
0.953991,0,0,0,0,0,0
0.955566,0,0,0,0,0,0
0.957145,0,0,0,0,0,0
0.958823,0,0,0,0,0,0
0.960384,0,0,0,0,0,0
