elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_LPAC,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_LPAC,HLSQ_SPTROC_STCHE_WARMUP_INC_VS,HLSQ_SPTROC_STCHE_WARMUP_INC_FS,HLSQ_SPTROC_STCHE_WARMUP_INC_BV,HLSQ_SPTROC_STCHE_WARMUP_INC_LPAC
0.087868,0,0,0,0,0,0
0.089310,0,0,0,0,0,0
0.090707,0,0,0,0,0,0
0.092106,0,0,0,0,0,0
0.093315,0,0,0,0,0,0
0.094671,0,0,0,0,0,0
0.096039,0,0,0,0,0,0
0.097480,0,0,0,0,0,0
0.098917,0,0,0,0,0,0
0.100327,0,0,0,0,0,0
0.101725,0,0,0,0,0,0
0.103122,0,0,0,0,0,0
0.104514,0,0,0,0,0,0
0.105950,0,0,0,0,0,0
0.107352,0,0,0,0,0,0
0.108844,0,0,0,0,0,0
0.110295,0,0,0,0,0,0
0.111681,0,0,0,0,0,0
0.113068,0,0,0,0,0,0
0.114505,0,0,0,0,0,0
0.115896,0,0,0,0,0,0
0.117448,0,0,0,0,0,0
0.118847,0,0,0,0,0,0
0.120240,0,0,0,0,0,0
0.121631,0,0,0,0,0,0
0.123022,0,0,0,0,0,0
0.124413,0,0,0,0,0,0
0.125803,0,0,0,0,0,0
0.127193,0,0,0,0,0,0
0.128710,0,0,0,0,0,0
0.130182,0,0,0,0,0,0
0.131652,0,0,0,0,0,0
0.133052,0,0,0,0,0,0
0.134450,0,0,0,0,0,0
0.135845,0,0,0,0,0,0
0.137244,0,0,0,0,0,0
0.138769,0,0,0,0,0,0
0.140342,0,0,0,0,0,0
0.141905,0,0,0,0,0,0
0.143365,0,0,0,0,0,0
0.144929,0,0,0,0,0,0
0.146532,0,0,0,0,0,0
0.148081,0,0,0,0,0,0
0.149523,0,0,0,0,0,0
0.151029,0,0,0,0,0,0
0.152463,0,0,0,0,0,0
0.153975,0,0,0,0,0,0
0.155374,0,0,0,0,0,0
0.156774,0,0,0,0,0,0
0.158301,0,0,0,0,0,0
0.159863,0,0,0,0,0,0
0.161442,0,0,0,0,0,0
0.163050,0,0,0,0,0,0
0.164614,0,0,0,0,0,0
0.166183,0,0,0,0,0,0
0.167746,0,0,0,0,0,0
0.169313,0,0,0,0,0,0
0.170879,0,0,0,0,0,0
0.172454,0,0,0,0,0,0
0.174109,0,0,0,0,0,0
0.175671,0,0,0,0,0,0
0.177238,0,0,0,0,0,0
0.178845,0,0,0,0,0,0
0.180408,0,0,0,0,0,0
0.182026,0,0,0,0,0,0
0.183601,0,0,0,0,0,0
0.185168,0,0,0,0,0,0
0.186733,0,0,0,0,0,0
0.188295,0,0,0,0,0,0
0.189859,0,0,0,0,0,0
0.191424,0,0,0,0,0,0
0.193870,0,0,0,0,0,0
0.195769,0,0,0,0,0,0
0.197183,0,0,0,0,0,0
0.198585,0,0,0,0,0,0
0.199984,0,0,0,0,0,0
0.201384,0,0,0,0,0,0
0.202783,0,0,0,0,0,0
0.204180,0,0,0,0,0,0
0.205702,0,0,0,0,0,0
0.207141,0,0,0,0,0,0
0.208505,0,0,0,0,0,0
0.210159,0,0,0,0,0,0
0.211606,0,0,0,0,0,0
0.212997,0,0,0,0,0,0
0.214387,0,0,0,0,0,0
0.215792,0,0,0,0,0,0
0.217181,0,0,0,0,0,0
0.218571,0,0,0,0,0,0
0.219961,0,0,0,0,0,0
0.221350,0,0,0,0,0,0
0.222741,0,0,0,0,0,0
0.224129,0,0,0,0,0,0
0.225517,0,0,0,0,0,0
0.226964,0,0,0,0,0,0
0.228330,0,0,0,0,0,0
0.229694,0,0,0,0,0,0
0.231058,0,0,0,0,0,0
0.232421,0,0,0,0,0,0
0.233786,0,0,0,0,0,0
0.235149,0,0,0,0,0,0
0.236512,0,0,0,0,0,0
0.237942,0,0,0,0,0,0
0.239306,0,0,0,0,0,0
0.240668,0,0,0,0,0,0
0.242118,0,0,0,0,0,0
0.243510,0,0,0,0,0,0
0.244888,0,0,0,0,0,0
0.246238,0,0,0,0,0,0
0.247588,0,0,0,0,0,0
0.248944,0,0,0,0,0,0
0.250295,0,0,0,0,0,0
0.251644,0,0,0,0,0,0
0.253167,0,0,0,0,0,0
0.254516,0,0,0,0,0,0
0.255863,0,0,0,0,0,0
0.257210,0,0,0,0,0,0
0.258589,0,0,0,0,0,0
0.260014,0,0,0,0,0,0
