elapsed_s,HLSQ_NEVER_COUNT,HLSQ_BUSY_CYCLES,HLSQ_STALL_CYCLES_SP_STATE,HLSQ_STALL_CYCLES_SP_FS_STAGE,HLSQ_UCHE_LATENCY_CYCLES,HLSQ_UCHE_LATENCY_COUNT
0.722420,0,104,0,0,0,0
0.724019,0,104,0,0,0,0
0.725450,0,104,0,0,0,0
0.726984,0,104,0,0,0,0
0.728558,0,104,0,0,0,0
0.730123,0,104,0,0,0,0
0.731685,0,104,0,0,0,0
0.733249,0,104,0,0,0,0
0.734812,0,104,0,0,0,0
0.736373,0,104,0,0,0,0
0.737937,0,104,0,0,0,0
0.739390,0,104,0,0,0,0
0.740923,0,104,0,0,0,0
0.742529,0,104,0,0,0,0
0.744114,0,104,0,0,0,0
0.745681,0,104,0,0,0,0
0.747235,0,104,0,0,0,0
0.748788,0,104,0,0,0,0
0.750299,0,104,0,0,0,0
0.751832,0,104,0,0,0,0
0.753397,0,104,0,0,0,0
0.755005,0,104,0,0,0,0
0.756567,0,104,0,0,0,0
0.758131,0,104,0,0,0,0
0.759696,0,104,0,0,0,0
0.761150,0,104,0,0,0,0
0.762676,0,104,0,0,0,0
0.764229,0,104,0,0,0,0
0.765658,0,104,0,0,0,0
0.767188,0,104,0,0,0,0
0.768750,0,104,0,0,0,0
0.770368,0,104,0,0,0,0
0.771986,0,104,0,0,0,0
0.773548,0,104,0,0,0,0
0.775110,0,104,0,0,0,0
0.776680,0,104,0,0,0,0
0.778209,0,104,0,0,0,0
0.779614,0,104,0,0,0,0
0.781142,0,104,0,0,0,0
0.782714,0,104,0,0,0,0
0.784274,0,104,0,0,0,0
0.785839,0,104,0,0,0,0
0.787445,0,104,0,0,0,0
0.789004,0,104,0,0,0,0
0.790571,0,104,0,0,0,0
0.792171,0,104,0,0,0,0
0.794297,0,104,0,0,0,0
0.795712,0,104,0,0,0,0
0.797120,0,104,0,0,0,0
0.798541,0,104,0,0,0,0
0.799932,0,104,0,0,0,0
0.801320,0,104,0,0,0,0
0.802750,0,104,0,0,0,0
0.804148,0,104,0,0,0,0
0.805539,0,104,0,0,0,0
0.806929,0,104,0,0,0,0
0.808319,0,104,0,0,0,0
0.809708,0,104,0,0,0,0
0.811097,0,104,0,0,0,0
0.812484,0,104,0,0,0,0
0.813871,0,104,0,0,0,0
0.815268,0,104,0,0,0,0
0.816655,0,104,0,0,0,0
0.818044,0,104,0,0,0,0
0.819481,0,104,0,0,0,0
0.820847,0,104,0,0,0,0
0.822271,0,104,0,0,0,0
0.823635,0,104,0,0,0,0
0.824998,0,104,0,0,0,0
0.826364,0,104,0,0,0,0
0.827728,0,104,0,0,0,0
0.829162,0,104,0,0,0,0
0.830538,0,104,0,0,0,0
0.831902,0,104,0,0,0,0
0.833267,0,104,0,0,0,0
0.834666,0,104,0,0,0,0
0.836016,0,104,0,0,0,0
0.837539,0,104,0,0,0,0
0.838889,0,104,0,0,0,0
0.840239,0,104,0,0,0,0
0.841588,0,104,0,0,0,0
0.842936,0,104,0,0,0,0
0.844283,0,104,0,0,0,0
0.845631,0,104,0,0,0,0
0.846979,0,104,0,0,0,0
0.848333,0,104,0,0,0,0
0.849681,0,104,0,0,0,0
