elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
0.092035,0,0,0,2180
0.093421,0,0,0,2048
0.094808,0,0,0,2035
0.096195,0,0,0,2036
0.097580,0,0,0,2030
0.099014,0,0,0,2034
0.100401,0,0,0,2039
0.101796,0,0,0,2088
0.103173,0,0,0,2036
0.104588,0,0,0,2040
0.105966,0,0,0,2037
0.110562,0,0,0,2040
0.111963,0,0,0,2049
0.113345,0,0,0,2042
0.114764,0,0,0,2036
0.116124,0,0,0,2030
0.117450,0,0,0,2112
0.118764,0,0,0,2032
0.120077,0,0,0,2033
0.121390,0,0,0,2037
0.122714,0,0,0,2040
0.124110,0,0,0,2030
0.125624,0,0,0,2033
0.127176,0,0,0,2028
0.128724,0,0,0,2038
0.130272,0,0,0,2026
0.131828,0,0,0,2065
0.133265,0,0,0,2031
0.134662,0,0,0,2045
0.136052,0,0,0,2053
0.137438,0,0,0,2039
0.139193,0,0,0,2034
0.140583,0,0,0,2033
0.142093,0,0,0,2038
0.143720,0,0,0,2032
0.145267,0,0,0,2027
0.146862,0,0,0,2028
0.148412,0,0,0,2039
0.149959,0,0,0,2029
0.151507,0,0,0,2029
0.153054,0,0,0,2024
0.154618,0,0,0,2034
0.156210,0,0,0,2031
0.157755,0,0,0,2037
0.159302,0,0,0,2178
0.160849,0,0,0,2032
0.162395,0,0,0,2033
0.163983,0,0,0,2032
0.165419,0,0,0,2038
0.166939,0,0,0,2032
0.168486,0,0,0,2036
0.170031,0,0,0,2032
0.171621,0,0,0,2032
0.173169,0,0,0,2036
0.174717,0,0,0,2035
0.176279,0,0,0,2236
0.177825,0,0,0,2034
0.179414,0,0,0,2030
0.180963,0,0,0,2140
0.182511,0,0,0,2103
0.184057,0,0,0,2034
0.185603,0,0,0,2035
0.187209,0,0,0,2035
0.188757,0,0,0,2032
0.190302,0,0,0,2038
0.191853,0,0,0,2034
0.193397,0,0,0,2032
0.194988,0,0,0,2037
0.196536,0,0,0,2091
0.198095,0,0,0,2151
0.199605,0,0,0,2033
0.201122,0,0,0,2040
0.202670,0,0,0,2133
0.204262,0,0,0,2094
0.205808,0,0,0,2029
0.207355,0,0,0,2034
0.208917,0,0,0,2041
0.210465,0,0,0,2032
0.212012,0,0,0,2033
0.213557,0,0,0,2181
0.215105,0,0,0,2033
0.216653,0,0,0,2027
0.218198,0,0,0,2033
0.219764,0,0,0,2027
0.221323,0,0,0,2029
0.222872,0,0,0,2028
0.224419,0,0,0,2034
0.225963,0,0,0,2036
0.227552,0,0,0,2035
0.228977,0,0,0,2039
0.230386,0,0,0,2035
0.231787,0,0,0,2040
0.233322,0,0,0,2036
0.234914,0,0,0,2034
0.236462,0,0,0,2035
0.238007,0,0,0,2037
0.239935,0,0,0,2070
0.242690,0,0,0,2033
0.244171,0,0,0,2039
0.245596,0,0,0,2041
0.246983,0,0,0,2028
0.248365,0,0,0,2054
0.249747,0,0,0,2109
0.251164,0,0,0,2037
0.252555,0,0,0,2033
0.253919,0,0,0,2033
0.255299,0,0,0,2035
0.256680,0,0,0,2260
0.258072,0,0,0,2031
0.259496,0,0,0,2031
0.260883,0,0,0,2039
0.262268,0,0,0,2039
0.263664,0,0,0,2039
0.265050,0,0,0,2032
0.266439,0,0,0,2033
0.268029,0,0,0,2038
0.269577,0,0,0,2042
0.271128,0,0,0,2196
0.272677,0,0,0,2034
0.274120,0,0,0,2029
0.275704,0,0,0,2030
0.277252,0,0,0,2037
0.278802,0,0,0,2037
0.280351,0,0,0,2037
0.281899,0,0,0,2035
0.283492,0,0,0,2026
0.285057,0,0,0,2037
0.286607,0,0,0,2037
0.288148,0,0,0,2042
0.289688,0,0,0,2064
0.291106,0,0,0,2038
0.292624,0,0,0,2028
0.294171,0,0,0,2036
0.295734,0,0,0,2041
0.297327,0,0,0,2034
0.298920,0,0,0,2033
0.300466,0,0,0,2048
0.301866,0,0,0,2036
0.303389,0,0,0,2038
0.304940,0,0,0,2031
0.306506,0,0,0,2034
0.308056,0,0,0,2036
0.309604,0,0,0,2031
0.311155,0,0,0,2032
0.312703,0,0,0,2038
0.314251,0,0,0,2038
0.315823,0,0,0,2026
0.317385,0,0,0,2040
0.318937,0,0,0,2038
0.320477,0,0,0,2032
0.322017,0,0,0,2031
0.323478,0,0,0,2035
0.325038,0,0,0,2039
0.326589,0,0,0,2029
0.328153,0,0,0,2166
0.329701,0,0,0,2033
0.331298,0,0,0,2064
0.332848,0,0,0,2037
0.334397,0,0,0,2031
0.335971,0,0,0,2041
0.337363,0,0,0,2029
0.338933,0,0,0,2034
0.340484,0,0,0,2042
0.342033,0,0,0,2035
0.343583,0,0,0,2037
0.345134,0,0,0,2029
0.346683,0,0,0,2038
0.348270,0,0,0,2149
0.349824,0,0,0,2176
0.351242,0,0,0,2039
0.352762,0,0,0,2048
0.354310,0,0,0,2035
0.355867,0,0,0,2040
0.357415,0,0,0,2037
0.358967,0,0,0,2122
0.360531,0,0,0,2041
0.362079,0,0,0,2045
0.363691,0,0,0,2030
0.365240,0,0,0,2037
0.366792,0,0,0,2038
0.368341,0,0,0,2033
0.369889,0,0,0,2079
0.371496,0,0,0,2027
0.373046,0,0,0,2034
0.374599,0,0,0,2031
0.376149,0,0,0,2053
0.377784,0,0,0,2034
0.379376,0,0,0,2056
0.380927,0,0,0,2028
0.382493,0,0,0,2038
0.384042,0,0,0,2040
0.385589,0,0,0,2034
0.387184,0,0,0,2035
0.388734,0,0,0,2035
0.390283,0,0,0,2042
0.391837,0,0,0,2040
0.393399,0,0,0,2134
0.394993,0,0,0,2030
0.396544,0,0,0,2042
0.398092,0,0,0,2038
0.399591,0,0,0,2026
0.401111,0,0,0,2035
0.402663,0,0,0,2219
0.404271,0,0,0,2027
0.405820,0,0,0,2034
0.407369,0,0,0,2038
0.408919,0,0,0,2032
0.410471,0,0,0,2039
0.412021,0,0,0,2040
0.413569,0,0,0,2037
0.415012,0,0,0,1994
0.416525,0,0,0,1952
0.418063,0,0,0,1998
0.419529,0,0,0,1994
0.421053,0,0,0,1993
0.422605,0,0,0,1957
0.424154,0,0,0,1972
0.425717,0,0,0,1997
0.427312,0,0,0,1997
0.428862,0,0,0,2078
0.430476,0,0,0,1956
0.431984,0,0,0,1990
0.433532,0,0,0,2004
0.435127,0,0,0,1958
