elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.572934,0,0,0,0
0.574518,0,0,0,0
0.576059,0,0,0,0
0.577479,0,0,0,0
0.578998,0,0,0,0
0.580547,0,0,0,0
0.582155,0,0,0,0
0.583705,0,0,0,0
0.585321,0,0,0,0
0.586938,0,0,0,0
0.588486,0,0,0,0
0.590082,0,0,0,0
0.591632,0,0,0,0
0.593194,0,0,0,0
0.594749,0,0,0,0
0.596296,0,0,0,0
0.597891,0,0,0,0
0.599439,0,0,0,0
0.600986,0,0,0,0
0.602539,0,0,0,0
0.604100,0,0,0,0
0.605652,0,0,0,0
0.607202,0,0,0,0
0.608748,0,0,0,0
0.610297,0,0,0,0
0.611845,0,0,0,0
0.613396,0,0,0,0
0.615005,0,0,0,0
0.616553,0,0,0,0
0.618103,0,0,0,0
0.619652,0,0,0,0
0.621200,0,0,0,0
0.622614,0,0,0,0
0.624005,0,0,0,0
0.625530,0,0,0,0
0.627079,0,0,0,0
0.628627,0,0,0,0
0.630220,0,0,0,0
0.631770,0,0,0,0
0.633320,0,0,0,0
0.634870,0,0,0,0
0.636431,0,0,0,0
0.638024,0,0,0,0
0.639573,0,0,0,0
0.641121,0,0,0,0
0.642675,0,0,0,0
0.644222,0,0,0,0
0.645816,0,0,0,0
0.647380,0,0,0,0
0.648928,0,0,0,0
0.650538,0,0,0,0
0.652087,0,0,0,0
0.653637,0,0,0,0
0.655187,0,0,0,0
0.656734,0,0,0,0
0.658298,0,0,0,0
0.659847,0,0,0,0
0.661400,0,0,0,0
0.662993,0,0,0,0
0.664541,0,0,0,0
0.666091,0,0,0,0
0.667640,0,0,0,0
0.669077,0,0,0,0
0.670602,0,0,0,0
0.672030,0,0,0,0
0.673558,0,0,0,0
0.675109,0,0,0,0
0.676658,0,0,0,0
0.678254,0,0,0,0
0.679810,0,0,0,0
0.681457,0,0,0,0
0.682875,0,0,0,0
0.684263,0,0,0,0
0.685823,0,0,0,0
0.687373,0,0,0,0
0.688920,0,0,0,0
0.690545,0,0,0,0
0.692093,0,0,0,0
0.693644,0,0,0,0
0.695192,0,0,0,0
0.696741,0,0,0,0
0.698289,0,0,0,0
0.699839,0,0,0,0
0.701404,0,0,0,0
0.702997,0,0,0,0
0.704544,0,0,0,0
0.706095,0,0,0,0
0.707644,0,0,0,0
0.709192,0,0,0,0
0.710747,0,0,0,0
0.712307,0,0,0,0
0.713858,0,0,0,0
0.715407,0,0,0,0
0.716955,0,0,0,0
0.718595,0,0,0,0
0.720142,0,0,0,0
0.721692,0,0,0,0
0.723256,0,0,0,0
0.724804,0,0,0,0
0.726396,0,0,0,0
0.727945,0,0,0,0
0.729495,0,0,0,0
0.731083,0,0,0,0
0.732630,0,0,0,0
0.734237,0,0,0,0
0.736785,0,0,0,0
0.738229,0,0,0,0
0.739619,0,0,0,0
0.741001,0,0,0,0
0.742527,0,0,0,0
0.743955,0,0,0,0
0.745312,0,0,0,0
0.746700,0,0,0,0
0.748087,0,0,0,0
0.749474,0,0,0,0
0.750897,0,0,0,0
0.752282,0,0,0,0
0.753667,0,0,0,0
0.755051,0,0,0,0
0.756444,0,0,0,0
0.757890,0,0,0,0
0.759441,0,0,0,0
0.760990,0,0,0,0
0.762543,0,0,0,0
0.764090,0,0,0,0
0.765642,0,0,0,0
0.767206,0,0,0,0
0.768646,0,0,0,0
0.770065,0,0,0,0
0.771459,0,0,0,0
0.772853,0,0,0,0
0.774293,0,0,0,0
0.775683,0,0,0,0
0.777082,0,0,0,0
0.778471,0,0,0,0
0.779986,0,0,0,0
0.781538,0,0,0,0
0.783124,0,0,0,0
0.784665,0,0,0,0
0.786085,0,0,0,0
0.787613,0,0,0,0
0.789161,0,0,0,0
0.790716,0,0,0,0
0.792264,0,0,0,0
0.793815,0,0,0,0
0.795364,0,0,0,0
0.796911,0,0,0,0
0.798411,0,0,0,0
0.799930,0,0,0,0
0.801481,0,0,0,0
0.803030,0,0,0,0
0.804577,0,0,0,0
0.806170,0,0,0,0
0.807720,0,0,0,0
0.809283,0,0,0,0
0.811051,0,0,0,0
0.812522,0,0,0,0
0.814022,0,0,0,0
0.815469,0,0,0,0
0.816912,0,0,0,0
0.818383,0,0,0,0
0.821519,0,0,0,0
0.822933,0,0,0,0
0.824271,0,0,0,0
0.825611,0,0,0,0
0.826952,0,0,0,0
0.828289,0,0,0,0
0.829628,0,0,0,0
0.831172,0,0,0,0
0.832721,0,0,0,0
0.834272,0,0,0,0
0.835822,0,0,0,0
0.837375,0,0,0,0
0.838971,0,0,0,0
0.840520,0,0,0,0
0.842085,0,0,0,0
0.843635,0,0,0,0
0.845183,0,0,0,0
0.846740,0,0,0,0
0.848289,0,0,0,0
0.849842,0,0,0,0
0.851394,0,0,0,0
0.852957,0,0,0,0
0.854608,0,0,0,0
0.856157,0,0,0,0
0.857710,0,0,0,0
0.859261,0,0,0,0
0.860810,0,0,0,0
0.862403,0,0,0,0
0.863968,0,0,0,0
0.865521,0,0,0,0
0.867072,0,0,0,0
0.868622,0,0,0,0
0.870216,0,0,0,0
0.871766,0,0,0,0
0.873318,0,0,0,0
0.874884,0,0,0,0
0.876433,0,0,0,0
0.878028,0,0,0,0
0.879580,0,0,0,0
0.881128,0,0,0,0
0.882677,0,0,0,0
0.884217,0,0,0,0
0.885690,0,0,0,0
0.887083,0,0,0,0
0.888595,0,0,0,0
0.890016,0,0,0,0
0.891535,0,0,0,0
0.893083,0,0,0,0
0.894660,0,0,0,0
0.896221,0,0,0,0
0.897772,0,0,0,0
0.899320,0,0,0,0
0.900869,0,0,0,0
0.902462,0,0,0,0
0.904011,0,0,0,0
0.905804,0,0,0,0
0.907368,0,0,0,0
0.908915,0,0,0,0
0.910525,0,0,0,0
0.912075,0,0,0,0
0.913625,0,0,0,0
0.915174,0,0,0,0
0.916721,0,0,0,0
0.918327,0,0,0,0
0.919877,0,0,0,0
0.921426,0,0,0,0
0.922976,0,0,0,0
0.924523,0,0,0,0
0.926120,0,0,0,0
0.927670,0,0,0,0
0.929229,0,0,0,0
0.930703,0,0,0,0
0.932219,0,0,0,0
0.933812,0,0,0,0
0.935360,0,0,0,0
0.936907,0,0,0,0
0.938518,0,0,0,0
0.940079,0,0,0,0
0.941630,0,0,0,0
0.943176,0,0,0,0
0.944721,0,0,0,0
0.946267,0,0,0,0
0.947816,0,0,0,0
0.949366,0,0,0,0
0.950974,0,0,0,0
0.952521,0,0,0,0
0.954071,0,0,0,0
0.955619,0,0,0,0
0.957167,0,0,0,0
0.958720,0,0,0,0
0.960267,0,0,0,0
0.961831,0,0,0,0
0.963380,0,0,0,0
0.964927,0,0,0,0
0.966538,0,0,0,0
0.968085,0,0,0,0
0.969634,0,0,0,0
0.971179,0,0,0,0
0.972749,0,0,0,0
0.974297,0,0,0,0
0.975700,0,0,0,0
0.977216,0,0,0,0
0.978692,0,0,0,0
0.980083,0,0,0,0
0.981601,0,0,0,0
0.983281,0,0,0,0
0.984830,0,0,0,0
0.986379,0,0,0,0
0.987930,0,0,0,0
0.989481,0,0,0,0
0.991069,0,0,0,0
0.992610,0,0,0,0
