elapsed_s,VFD_STALL_CYCLES_PRG_END_FE,VFD_STALL_CYCLES_CBSYNC,VFD_BOTTLENECK_CYCLES,VFD_WORKING_CYCLES
0.767606,0,0,0,0
0.768995,0,0,0,0
0.770561,0,0,0,0
0.772114,0,0,0,0
0.773678,0,0,0,0
0.775228,0,0,0,0
0.776822,0,0,0,0
0.778373,0,0,0,0
0.779925,0,0,0,0
0.781476,0,0,0,0
0.783026,0,0,0,0
0.784590,0,0,0,0
0.786141,0,0,0,0
0.787694,0,0,0,0
0.789246,0,0,0,0
0.790795,0,0,0,0
0.792391,0,0,0,0
0.793943,0,0,0,0
0.795506,0,0,0,0
0.797038,0,0,0,0
0.798430,0,0,0,0
0.799948,0,0,0,0
0.801499,0,0,0,0
0.803049,0,0,0,0
0.804599,0,0,0,0
0.806163,0,0,0,0
0.807715,0,0,0,0
0.809267,0,0,0,0
0.810818,0,0,0,0
0.812370,0,0,0,0
0.813921,0,0,0,0
0.815471,0,0,0,0
0.817038,0,0,0,0
0.818586,0,0,0,0
0.820139,0,0,0,0
0.821691,0,0,0,0
0.823240,0,0,0,0
0.824835,0,0,0,0
0.826387,0,0,0,0
0.827953,0,0,0,0
0.829504,0,0,0,0
0.831053,0,0,0,0
0.832604,0,0,0,0
0.834154,0,0,0,0
0.835706,0,0,0,0
0.837258,0,0,0,0
0.838820,0,0,0,0
0.840417,0,0,0,0
0.841969,0,0,0,0
0.843519,0,0,0,0
0.845073,0,0,0,0
0.846619,0,0,0,0
0.848171,0,0,0,0
0.849735,0,0,0,0
0.851285,0,0,0,0
0.852835,0,0,0,0
0.854377,0,0,0,0
0.856045,0,0,0,0
0.857589,0,0,0,0
0.859137,0,0,0,0
0.860695,0,0,0,0
0.862242,0,0,0,0
0.863793,0,0,0,0
0.865342,0,0,0,0
0.866888,0,0,0,0
0.868440,0,0,0,0
0.869989,0,0,0,0
0.871425,0,0,0,0
0.872994,0,0,0,0
0.874542,0,0,0,0
0.876093,0,0,0,0
0.877641,0,0,0,0
0.879189,0,0,0,0
0.880738,0,0,0,0
0.882308,0,0,0,0
0.883859,0,0,0,0
0.885408,0,0,0,0
0.886955,0,0,0,0
0.888551,0,0,0,0
0.890101,0,0,0,0
0.891650,0,0,0,0
0.893250,0,0,0,0
0.894696,0,0,0,0
0.896225,0,0,0,0
0.897776,0,0,0,0
0.899324,0,0,0,0
0.900935,0,0,0,0
0.902484,0,0,0,0
0.904049,0,0,0,0
0.905599,0,0,0,0
0.907149,0,0,0,0
0.908698,0,0,0,0
0.910249,0,0,0,0
0.911801,0,0,0,0
0.913350,0,0,0,0
0.914913,0,0,0,0
0.916463,0,0,0,0
0.918014,0,0,0,0
0.919562,0,0,0,0
0.921116,0,0,0,0
0.922664,0,0,0,0
0.924215,0,0,0,0
0.925721,0,0,0,0
0.927248,0,0,0,0
0.928801,0,0,0,0
0.930353,0,0,0,0
0.931906,0,0,0,0
0.933458,0,0,0,0
0.935008,0,0,0,0
0.936616,0,0,0,0
0.938168,0,0,0,0
0.939720,0,0,0,0
0.941273,0,0,0,0
0.942822,0,0,0,0
0.944376,0,0,0,0
0.945929,0,0,0,0
0.947493,0,0,0,0
0.949047,0,0,0,0
0.950596,0,0,0,0
0.952193,0,0,0,0
0.953771,0,0,0,0
0.955196,0,0,0,0
0.956594,0,0,0,0
0.957994,0,0,0,0
0.959381,0,0,0,0
0.960826,0,0,0,0
0.962212,0,0,0,0
0.963705,0,0,0,0
0.965255,0,0,0,0
0.966804,0,0,0,0
0.968414,0,0,0,0
0.969965,0,0,0,0
0.971514,0,0,0,0
0.973090,0,0,0,0
0.974639,0,0,0,0
0.976191,0,0,0,0
0.977742,0,0,0,0
0.979179,0,0,0,0
0.980703,0,0,0,0
0.982258,0,0,0,0
0.983813,0,0,0,0
