elapsed_s,TP_FILTER_POINT_FP32,TP_LATENCY_FIFO_FULL,TP_RESERVED_62,TP_RESERVED_63,TP_RESERVED_64,TP_RESERVED_65,TP_RESERVED_66,TP_RESERVED_67,TP_RESERVED_68,TP_RESERVED_69,TP_RESERVED_70,TP_RESERVED_71
0.105817,0,0,0,0,0,0,0,0,0,0,0,0
0.107152,0,0,0,0,0,0,0,0,0,0,0,0
0.108594,0,0,0,0,0,0,0,0,0,0,0,0
0.110040,0,0,0,0,0,0,0,0,0,0,0,0
0.111524,0,0,0,0,0,0,0,0,0,0,0,0
0.112955,0,0,0,0,0,0,0,0,0,0,0,0
0.114387,0,0,0,0,0,0,0,0,0,0,0,0
0.115867,0,0,0,0,0,0,0,0,0,0,0,0
0.117265,0,0,0,0,0,0,0,0,0,0,0,0
0.118652,0,0,0,0,0,0,0,0,0,0,0,0
0.120106,0,0,0,0,0,0,0,0,0,0,0,0
0.121529,0,0,0,0,0,0,0,0,0,0,0,0
0.122952,0,0,0,0,0,0,0,0,0,0,0,0
0.124375,0,0,0,0,0,0,0,0,0,0,0,0
0.125798,0,0,0,0,0,0,0,0,0,0,0,0
0.127260,0,0,0,0,0,0,0,0,0,0,0,0
0.128817,0,0,0,0,0,0,0,0,0,0,0,0
0.130632,0,0,0,0,0,0,0,0,0,0,0,0
0.132129,0,0,0,0,0,0,0,0,0,0,0,0
0.133556,0,0,0,0,0,0,0,0,0,0,0,0
0.135045,0,0,0,0,0,0,0,0,0,0,0,0
0.136478,0,0,0,0,0,0,0,0,0,0,0,0
0.137908,0,0,0,0,0,0,0,0,0,0,0,0
0.139339,0,0,0,0,0,0,0,0,0,0,0,0
0.140777,0,0,0,0,0,0,0,0,0,0,0,0
0.142205,0,0,0,0,0,0,0,0,0,0,0,0
0.143690,0,0,0,0,0,0,0,0,0,0,0,0
0.145119,0,0,0,0,0,0,0,0,0,0,0,0
0.146547,0,0,0,0,0,0,0,0,0,0,0,0
0.147973,0,0,0,0,0,0,0,0,0,0,0,0
0.149400,0,0,0,0,0,0,0,0,0,0,0,0
0.150907,0,0,0,0,0,0,0,0,0,0,0,0
0.152338,0,0,0,0,0,0,0,0,0,0,0,0
0.153767,0,0,0,0,0,0,0,0,0,0,0,0
0.155199,0,0,0,0,0,0,0,0,0,0,0,0
0.156630,0,0,0,0,0,0,0,0,0,0,0,0
0.158059,0,0,0,0,0,0,0,0,0,0,0,0
0.159553,0,0,0,0,0,0,0,0,0,0,0,0
0.160994,0,0,0,0,0,0,0,0,0,0,0,0
0.162553,0,0,0,0,0,0,0,0,0,0,0,0
0.164148,0,0,0,0,0,0,0,0,0,0,0,0
0.165741,0,0,0,0,0,0,0,0,0,0,0,0
0.167378,0,0,0,0,0,0,0,0,0,0,0,0
0.168971,0,0,0,0,0,0,0,0,0,0,0,0
0.170567,0,0,0,0,0,0,0,0,0,0,0,0
0.172165,0,0,0,0,0,0,0,0,0,0,0,0
0.173748,0,0,0,0,0,0,0,0,0,0,0,0
0.175210,0,0,0,0,0,0,0,0,0,0,0,0
0.176774,0,0,0,0,0,0,0,0,0,0,0,0
0.178370,0,0,0,0,0,0,0,0,0,0,0,0
0.179965,0,0,0,0,0,0,0,0,0,0,0,0
0.181602,0,0,0,0,0,0,0,0,0,0,0,0
0.183253,0,0,0,0,0,0,0,0,0,0,0,0
0.184848,0,0,0,0,0,0,0,0,0,0,0,0
0.186445,0,0,0,0,0,0,0,0,0,0,0,0
0.188040,0,0,0,0,0,0,0,0,0,0,0,0
0.189633,0,0,0,0,0,0,0,0,0,0,0,0
0.191271,0,0,0,0,0,0,0,0,0,0,0,0
0.192866,0,0,0,0,0,0,0,0,0,0,0,0
0.194476,0,0,0,0,0,0,0,0,0,0,0,0
0.196071,0,0,0,0,0,0,0,0,0,0,0,0
0.197664,0,0,0,0,0,0,0,0,0,0,0,0
0.199304,0,0,0,0,0,0,0,0,0,0,0,0
0.200899,0,0,0,0,0,0,0,0,0,0,0,0
0.202496,0,0,0,0,0,0,0,0,0,0,0,0
0.204090,0,0,0,0,0,0,0,0,0,0,0,0
0.205695,0,0,0,0,0,0,0,0,0,0,0,0
0.207333,0,0,0,0,0,0,0,0,0,0,0,0
0.208929,0,0,0,0,0,0,0,0,0,0,0,0
0.210525,0,0,0,0,0,0,0,0,0,0,0,0
0.212120,0,0,0,0,0,0,0,0,0,0,0,0
0.213712,0,0,0,0,0,0,0,0,0,0,0,0
0.215182,0,0,0,0,0,0,0,0,0,0,0,0
0.216757,0,0,0,0,0,0,0,0,0,0,0,0
0.218413,0,0,0,0,0,0,0,0,0,0,0,0
0.220005,0,0,0,0,0,0,0,0,0,0,0,0
0.221599,0,0,0,0,0,0,0,0,0,0,0,0
0.223239,0,0,0,0,0,0,0,0,0,0,0,0
0.224835,0,0,0,0,0,0,0,0,0,0,0,0
0.226431,0,0,0,0,0,0,0,0,0,0,0,0
0.228040,0,0,0,0,0,0,0,0,0,0,0,0
0.229633,0,0,0,0,0,0,0,0,0,0,0,0
0.231272,0,0,0,0,0,0,0,0,0,0,0,0
0.232867,0,0,0,0,0,0,0,0,0,0,0,0
