elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_3_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_4_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_5_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_6_WORKING_CC_L2
0.489954,0,0,0,0
0.491502,0,0,0,0
0.493067,0,0,0,0
0.494617,0,0,0,0
0.496165,0,0,0,0
0.497664,0,0,0,0
0.499055,0,0,0,0
0.500617,0,0,0,0
0.502167,0,0,0,0
0.503730,0,0,0,0
0.505281,0,0,0,0
0.506830,0,0,0,0
0.508382,0,0,0,0
0.509932,0,0,0,0
0.511480,0,0,0,0
0.513032,0,0,0,0
0.514596,0,0,0,0
0.516251,0,0,0,0
0.517635,0,0,0,0
0.519160,0,0,0,0
0.520712,0,0,0,0
0.522254,0,0,0,0
0.523793,0,0,0,0
0.525348,0,0,0,0
0.526937,0,0,0,0
0.528489,0,0,0,0
0.530039,0,0,0,0
0.531587,0,0,0,0
0.533138,0,0,0,0
0.534688,0,0,0,0
0.536252,0,0,0,0
0.537803,0,0,0,0
0.539351,0,0,0,0
0.540803,0,0,0,0
0.542337,0,0,0,0
0.543875,0,0,0,0
0.545479,0,0,0,0
0.547039,0,0,0,0
0.548632,0,0,0,0
0.550182,0,0,0,0
0.551635,0,0,0,0
0.553031,0,0,0,0
0.554540,0,0,0,0
0.556079,0,0,0,0
0.557508,0,0,0,0
0.558902,0,0,0,0
0.560421,0,0,0,0
0.561971,0,0,0,0
0.563519,0,0,0,0
0.565070,0,0,0,0
0.566619,0,0,0,0
0.568236,0,0,0,0
0.569784,0,0,0,0
0.571333,0,0,0,0
0.572884,0,0,0,0
0.574435,0,0,0,0
0.575983,0,0,0,0
0.577535,0,0,0,0
0.579096,0,0,0,0
0.580690,0,0,0,0
0.582241,0,0,0,0
0.583789,0,0,0,0
0.585339,0,0,0,0
0.587635,0,0,0,0
0.589074,0,0,0,0
0.590460,0,0,0,0
0.591840,0,0,0,0
0.593218,0,0,0,0
0.594596,0,0,0,0
0.596013,0,0,0,0
0.597486,0,0,0,0
0.598862,0,0,0,0
0.600292,0,0,0,0
0.601673,0,0,0,0
0.603050,0,0,0,0
0.604427,0,0,0,0
0.605803,0,0,0,0
0.607179,0,0,0,0
0.608556,0,0,0,0
0.609933,0,0,0,0
0.611318,0,0,0,0
0.612690,0,0,0,0
0.614044,0,0,0,0
0.615397,0,0,0,0
0.616750,0,0,0,0
0.618103,0,0,0,0
0.619455,0,0,0,0
0.620808,0,0,0,0
0.622169,0,0,0,0
0.623522,0,0,0,0
0.624876,0,0,0,0
0.626231,0,0,0,0
0.627584,0,0,0,0
0.628936,0,0,0,0
0.630276,0,0,0,0
0.631614,0,0,0,0
0.632960,0,0,0,0
0.634300,0,0,0,0
0.635639,0,0,0,0
0.636978,0,0,0,0
0.638317,0,0,0,0
0.639655,0,0,0,0
0.640993,0,0,0,0
0.642331,0,0,0,0
0.643675,0,0,0,0
0.645037,0,0,0,0
0.646451,0,0,0,0
0.647862,0,0,0,0
0.649276,0,0,0,0
0.650577,0,0,0,0
0.651987,0,0,0,0
0.653400,0,0,0,0
0.654825,0,0,0,0
0.656195,0,0,0,0
0.657571,0,0,0,0
0.658932,0,0,0,0
0.660361,0,0,0,0
0.662647,0,0,0,0
0.664039,0,0,0,0
0.665685,0,0,0,0
0.667097,0,0,0,0
0.668539,0,0,0,0
0.670715,0,0,0,0
0.672101,0,0,0,0
0.673514,0,0,0,0
0.674896,0,0,0,0
0.676326,0,0,0,0
0.677781,0,0,0,0
0.679081,0,0,0,0
0.680524,0,0,0,0
0.681929,0,0,0,0
0.683315,0,0,0,0
0.684721,0,0,0,0
0.686683,0,0,0,0
0.688070,0,0,0,0
0.689491,0,0,0,0
0.690882,0,0,0,0
0.692500,0,0,0,0
0.693970,0,0,0,0
0.695347,0,0,0,0
0.696737,0,0,0,0
0.698116,0,0,0,0
0.699495,0,0,0,0
0.700873,0,0,0,0
0.702250,0,0,0,0
0.703625,0,0,0,0
0.705005,0,0,0,0
0.706424,0,0,0,0
0.707818,0,0,0,0
0.709251,0,0,0,0
0.710634,0,0,0,0
0.712010,0,0,0,0
0.713397,0,0,0,0
0.714781,0,0,0,0
0.716166,0,0,0,0
0.717623,0,0,0,0
0.719019,0,0,0,0
0.720398,0,0,0,0
0.721777,0,0,0,0
0.723282,0,0,0,0
0.724699,0,0,0,0
0.726086,0,0,0,0
0.727468,0,0,0,0
0.729101,0,0,0,0
0.730513,0,0,0,0
0.731900,0,0,0,0
0.733343,0,0,0,0
0.734729,0,0,0,0
0.736125,0,0,0,0
0.737514,0,0,0,0
0.738994,0,0,0,0
0.740588,0,0,0,0
0.742153,0,0,0,0
0.743701,0,0,0,0
0.745249,0,0,0,0
0.746799,0,0,0,0
0.748488,0,0,0,0
0.749940,0,0,0,0
0.751338,0,0,0,0
0.752869,0,0,0,0
0.754419,0,0,0,0
0.756009,0,0,0,0
0.757562,0,0,0,0
0.759110,0,0,0,0
0.760661,0,0,0,0
0.762211,0,0,0,0
0.763648,0,0,0,0
0.765170,0,0,0,0
0.766720,0,0,0,0
0.768271,0,0,0,0
0.769820,0,0,0,0
0.771366,0,0,0,0
0.772918,0,0,0,0
0.774482,0,0,0,0
0.776031,0,0,0,0
0.777605,0,0,0,0
0.779154,0,0,0,0
0.780705,0,0,0,0
0.782256,0,0,0,0
0.783807,0,0,0,0
0.785367,0,0,0,0
0.786918,0,0,0,0
0.788511,0,0,0,0
0.790062,0,0,0,0
0.791609,0,0,0,0
0.793158,0,0,0,0
0.794709,0,0,0,0
0.796274,0,0,0,0
0.797824,0,0,0,0
0.799372,0,0,0,0
0.800923,0,0,0,0
0.802473,0,0,0,0
0.804062,0,0,0,0
0.805616,0,0,0,0
0.807177,0,0,0,0
0.808728,0,0,0,0
0.810277,0,0,0,0
0.811825,0,0,0,0
0.813374,0,0,0,0
0.814924,0,0,0,0
0.816474,0,0,0,0
0.818037,0,0,0,0
0.819584,0,0,0,0
