elapsed_s,RAS_NEVER_COUNT,RAS_BUSY_CYCLES,RAS_SUPERTILE_ACTIVE_CYCLES,RAS_STALL_CYCLES_LRZ
0.434190,0,0,0,0
0.435526,0,0,0,0
0.436864,0,0,0,0
0.438201,0,0,0,0
0.439561,0,0,0,0
0.441078,0,0,0,0
0.442626,0,0,0,0
0.444192,0,0,0,0
0.445743,0,0,0,0
0.447290,0,0,0,0
0.448845,0,0,0,0
0.450392,0,0,0,0
0.451943,0,0,0,0
0.453493,0,0,0,0
0.455052,0,0,0,0
0.456709,0,0,0,0
0.458258,0,0,0,0
0.459810,0,0,0,0
0.461358,0,0,0,0
0.462906,0,0,0,0
0.464454,0,0,0,0
0.466008,0,0,0,0
0.467626,0,0,0,0
0.469019,0,0,0,0
0.470409,0,0,0,0
0.471968,0,0,0,0
0.473516,0,0,0,0
0.475062,0,0,0,0
0.476685,0,0,0,0
0.478233,0,0,0,0
0.479783,0,0,0,0
0.481331,0,0,0,0
0.482877,0,0,0,0
0.484424,0,0,0,0
0.485972,0,0,0,0
0.487454,0,0,0,0
0.488975,0,0,0,0
0.490517,0,0,0,0
0.492066,0,0,0,0
0.493487,0,0,0,0
0.495000,0,0,0,0
0.496420,0,0,0,0
0.497986,0,0,0,0
0.499537,0,0,0,0
0.501086,0,0,0,0
0.502633,0,0,0,0
0.504186,0,0,0,0
0.505736,0,0,0,0
0.507281,0,0,0,0
0.508850,0,0,0,0
0.510398,0,0,0,0
0.511949,0,0,0,0
0.513498,0,0,0,0
0.515045,0,0,0,0
0.516593,0,0,0,0
0.518142,0,0,0,0
0.519748,0,0,0,0
0.521296,0,0,0,0
0.522842,0,0,0,0
0.524389,0,0,0,0
0.525940,0,0,0,0
0.527491,0,0,0,0
0.529040,0,0,0,0
0.530601,0,0,0,0
0.532152,0,0,0,0
0.533702,0,0,0,0
0.535291,0,0,0,0
0.536846,0,0,0,0
0.538377,0,0,0,0
0.539788,0,0,0,0
0.541193,0,0,0,0
0.542581,0,0,0,0
0.543970,0,0,0,0
0.545357,0,0,0,0
0.546871,0,0,0,0
0.548421,0,0,0,0
0.549970,0,0,0,0
0.551575,0,0,0,0
0.553124,0,0,0,0
0.554671,0,0,0,0
0.556222,0,0,0,0
0.557772,0,0,0,0
0.559320,0,0,0,0
0.560873,0,0,0,0
0.562436,0,0,0,0
0.563986,0,0,0,0
0.565537,0,0,0,0
0.567083,0,0,0,0
0.568730,0,0,0,0
0.570248,0,0,0,0
0.571693,0,0,0,0
0.573256,0,0,0,0
0.574805,0,0,0,0
0.576354,0,0,0,0
0.577904,0,0,0,0
0.579456,0,0,0,0
0.581007,0,0,0,0
0.582555,0,0,0,0
0.584230,0,0,0,0
0.585781,0,0,0,0
0.587330,0,0,0,0
0.588878,0,0,0,0
0.590317,0,0,0,0
0.591739,0,0,0,0
0.593264,0,0,0,0
0.594824,0,0,0,0
0.596374,0,0,0,0
0.597924,0,0,0,0
0.599518,0,0,0,0
0.601067,0,0,0,0
0.602614,0,0,0,0
0.604165,0,0,0,0
0.605728,0,0,0,0
0.607799,0,0,0,0
0.609193,0,0,0,0
0.610573,0,0,0,0
0.611953,0,0,0,0
0.613331,0,0,0,0
0.614708,0,0,0,0
0.616096,0,0,0,0
0.617476,0,0,0,0
0.618853,0,0,0,0
0.620230,0,0,0,0
0.621608,0,0,0,0
0.622984,0,0,0,0
0.624361,0,0,0,0
0.625740,0,0,0,0
0.627124,0,0,0,0
0.628622,0,0,0,0
0.630000,0,0,0,0
0.631465,0,0,0,0
0.632819,0,0,0,0
0.634171,0,0,0,0
0.635578,0,0,0,0
0.636932,0,0,0,0
0.638291,0,0,0,0
0.639644,0,0,0,0
0.640998,0,0,0,0
0.642351,0,0,0,0
0.643705,0,0,0,0
0.645058,0,0,0,0
0.646412,0,0,0,0
0.647753,0,0,0,0
0.649168,0,0,0,0
0.650578,0,0,0,0
0.651987,0,0,0,0
0.653396,0,0,0,0
0.654805,0,0,0,0
0.656215,0,0,0,0
0.657631,0,0,0,0
0.659040,0,0,0,0
0.660452,0,0,0,0
0.661761,0,0,0,0
0.663071,0,0,0,0
0.664389,0,0,0,0
0.665784,0,0,0,0
0.667170,0,0,0,0
0.668635,0,0,0,0
0.670103,0,0,0,0
0.671501,0,0,0,0
0.672913,0,252,0,0
0.674699,0,0,0,0
0.676084,0,0,0,0
0.677468,0,0,0,0
0.678850,0,0,0,0
0.680231,0,0,0,0
0.681622,0,0,0,0
0.683003,0,1608,0,0
0.684242,0,3132,0,0
0.685637,0,0,0,0
0.687020,0,0,0,0
0.688404,0,0,0,0
0.689788,0,0,0,0
0.691171,0,0,0,0
0.692665,0,0,0,0
0.694050,0,0,0,0
0.695497,0,0,0,0
0.697785,0,0,0,0
0.699165,0,0,0,0
0.701101,0,0,0,0
0.702481,0,0,0,0
0.703868,0,0,0,0
0.705244,0,0,0,0
0.706619,0,0,0,0
0.707995,0,0,0,0
0.709744,0,0,0,0
0.711183,0,0,0,0
0.712644,0,0,0,0
0.714030,0,0,0,0
0.715514,0,0,0,0
0.716920,0,0,0,0
0.718299,0,0,0,0
0.719681,0,0,0,0
0.721067,0,0,0,0
0.722452,0,0,0,0
0.723969,0,0,0,0
0.725523,0,0,0,0
0.727062,0,0,0,0
0.728777,0,0,0,0
0.730316,0,0,0,0
0.731733,0,0,0,0
0.733252,0,0,0,0
0.734799,0,0,0,0
0.736361,0,0,0,0
0.737910,0,0,0,0
0.739460,0,0,0,0
0.741008,0,0,0,0
0.742555,0,0,0,0
0.744106,0,0,0,0
0.745653,0,0,0,0
0.747214,0,0,0,0
0.748766,0,0,0,0
0.750313,0,0,0,0
0.751863,0,0,0,0
0.753411,0,0,0,0
0.754957,0,0,0,0
0.756505,0,0,0,0
0.757941,0,0,0,0
0.759505,0,0,0,0
0.761054,0,0,0,0
0.762601,0,0,0,0
0.764150,0,0,0,0
0.765700,0,0,0,0
0.767246,0,0,0,0
0.768780,0,0,0,0
0.770305,0,0,0,0
0.771854,0,0,0,0
0.773403,0,0,0,0
0.774948,0,0,0,0
0.776541,0,0,0,0
0.778090,0,0,0,0
0.779699,0,0,0,0
0.781084,0,0,0,0
0.782494,0,0,0,0
0.783915,0,0,0,0
0.785303,0,0,0,0
0.786689,0,0,0,0
0.788076,0,0,0,0
0.789460,0,0,0,0
0.790984,0,0,0,0
0.792580,0,0,0,0
0.794128,0,0,0,0
0.795551,0,0,0,0
0.797070,0,0,0,0
0.798618,0,0,0,0
0.800167,0,0,0,0
0.801729,0,0,0,0
0.803275,0,0,0,0
0.804827,0,0,0,0
0.806253,0,0,0,0
0.807692,0,0,0,0
0.809212,0,0,0,0
0.810759,0,0,0,0
0.812320,0,0,0,0
0.813869,0,0,0,0
0.815505,0,0,0,0
0.817068,0,0,0,0
0.818470,0,0,0,0
0.819883,0,0,0,0
0.821270,0,0,0,0
0.822794,0,0,0,0
0.824344,0,0,0,0
0.825895,0,0,0,0
0.827446,0,0,0,0
0.828996,0,0,0,0
0.830545,0,0,0,0
0.832097,0,0,0,0
0.833663,0,0,0,0
0.835211,0,0,0,0
0.836765,0,0,0,0
0.838312,0,0,0,0
0.839907,0,0,0,0
0.841459,0,0,0,0
0.843006,0,0,0,0
0.844570,0,0,0,0
0.846120,0,0,0,0
0.847670,0,0,0,0
0.849221,0,0,0,0
0.850769,0,0,0,0
0.852319,0,0,0,0
0.853870,0,0,0,0
0.855479,0,0,0,0
0.857030,0,0,0,0
0.858579,0,0,0,0
0.860131,0,0,0,0
0.861682,0,0,0,0
0.863230,0,0,0,0
0.864784,0,0,0,0
0.866347,0,0,0,0
0.867898,0,0,0,0
0.869449,0,0,0,0
0.870997,0,0,0,0
0.872593,0,0,0,0
0.874144,0,0,0,0
0.875695,0,0,0,0
0.877259,0,0,0,0
0.878807,0,0,0,0
0.880357,0,0,0,0
0.881897,0,0,0,0
0.883568,0,0,0,0
0.885085,0,0,0,0
0.886475,0,0,0,0
0.887875,0,0,0,0
0.889391,0,0,0,0
0.890938,0,0,0,0
0.892360,0,0,0,0
0.893877,0,0,0,0
0.895560,0,0,0,0
0.897111,0,0,0,0
0.898675,0,0,0,0
0.900226,0,0,0,0
0.901776,0,0,0,0
0.903366,0,0,0,0
0.904916,0,0,0,0
0.906465,0,0,0,0
0.908017,0,0,0,0
0.909581,0,0,0,0
0.911130,0,0,0,0
0.912776,0,0,0,0
0.914324,0,0,0,0
0.915876,0,0,0,0
0.917426,0,0,0,0
0.918975,0,0,0,0
0.920540,0,0,0,0
0.922090,0,0,0,0
0.923642,0,0,0,0
0.925193,0,0,0,0
0.926742,0,0,0,0
0.928291,0,0,0,0
0.929842,0,0,0,0
0.931402,0,0,0,0
0.932971,0,0,0,0
0.934364,0,0,0,0
0.935926,0,0,0,0
