elapsed_s,TSE_REG_PROGRAMMING_ONLY_CYCLE_L0,TSE_COMMON_RAM_WORKING_CYCLE_L2,TSE_COMMON_RAM_RD_WORKING_CYCLE_L3,TSE_COMMON_RAM_WR_WORKING_CYCLE_L3
0.215314,0,0,0,0
0.216876,0,0,0,0
0.218425,0,0,0,0
0.219975,0,0,0,0
0.221426,0,0,0,0
0.222974,0,0,0,0
0.224529,0,0,0,0
0.226077,0,0,0,0
0.227561,0,0,0,0
0.228982,0,0,0,0
0.230505,0,0,0,0
0.232057,0,0,0,0
0.233609,0,0,0,0
0.235161,0,0,0,0
0.236713,0,0,0,0
0.238276,0,0,0,0
0.239830,0,0,0,0
0.241380,0,0,0,0
0.242930,0,0,0,0
0.244567,0,0,0,0
0.246090,0,0,0,0
0.247643,0,0,0,0
0.249207,0,0,0,0
0.250756,0,0,0,0
0.252359,0,0,0,0
0.253909,0,0,0,0
0.255461,0,0,0,0
0.257012,0,0,0,0
0.258563,0,0,0,0
0.260170,0,0,0,0
0.261722,0,0,0,0
0.263275,0,0,0,0
0.264827,0,0,0,0
0.266378,0,0,0,0
0.267826,0,0,0,0
0.269374,0,0,0,0
0.270935,0,0,0,0
0.272488,0,0,0,0
0.274039,0,0,0,0
0.275636,0,0,0,0
0.277187,0,0,0,0
0.278738,0,0,0,0
0.280289,0,0,0,0
0.281855,0,0,0,0
0.283408,0,0,0,0
0.284959,0,0,0,0
0.286508,0,0,0,0
0.288059,0,0,0,0
0.289611,0,0,0,0
0.291163,0,0,0,0
0.292770,0,0,0,0
0.294321,0,0,0,0
0.295875,0,0,0,0
0.297416,0,0,0,0
0.298957,0,0,0,0
0.300523,0,0,0,0
0.301914,0,0,0,0
0.303443,0,0,0,0
0.304994,0,0,0,0
0.306543,0,0,0,0
0.308137,0,0,0,0
0.309689,0,0,0,0
0.311242,0,0,0,0
0.312794,0,0,0,0
0.314356,0,0,0,0
0.315904,0,0,0,0
0.317453,0,0,0,0
0.319002,0,0,0,0
0.320557,0,0,0,0
0.322105,0,0,0,0
0.323700,0,0,0,0
0.325267,0,0,0,0
0.326817,0,0,0,0
0.328367,0,0,0,0
0.329908,0,0,0,0
0.331325,0,0,0,0
0.332843,0,0,0,0
0.334391,0,0,0,0
