elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.666145,0,0,0,0
0.667692,0,0,0,0
0.669127,0,0,0,0
0.670547,0,0,0,0
0.672066,0,0,0,0
0.673619,0,0,0,0
0.675170,0,0,0,0
0.676719,0,0,0,0
0.678269,0,0,0,0
0.679820,0,0,0,0
0.681386,0,0,0,0
0.682982,0,0,0,0
0.684530,0,0,0,0
0.686083,0,0,0,0
0.687633,0,0,0,0
0.689181,0,0,0,0
0.690737,0,0,0,0
0.692298,0,0,0,0
0.693850,0,0,0,0
0.695400,0,0,0,0
0.696948,0,0,0,0
0.698449,0,0,0,0
0.699970,0,0,0,0
0.701522,0,0,0,0
0.703085,0,0,0,0
0.704634,0,0,0,0
0.706227,0,0,0,0
0.707778,0,0,0,0
0.709330,0,0,0,0
0.710881,0,0,0,0
0.712430,0,0,0,0
0.714039,0,0,0,0
0.715590,0,0,0,0
0.717037,0,0,0,0
0.718985,0,0,0,0
0.720454,0,0,0,0
0.721915,0,0,0,0
0.723311,0,0,0,0
0.724723,0,0,0,0
0.726114,0,0,0,0
0.727502,0,0,0,0
0.728888,0,0,0,0
0.730313,0,0,0,0
0.731700,0,0,0,0
0.733213,0,0,0,0
0.734801,0,0,0,0
0.736364,0,0,0,0
0.737960,0,0,0,0
0.739511,0,0,0,0
0.741060,0,0,0,0
0.742613,0,0,0,0
0.744161,0,0,0,0
0.745757,0,0,0,0
0.747313,0,0,0,0
0.748853,0,0,0,0
0.750272,0,0,0,0
0.751790,0,0,0,0
0.753339,0,0,0,0
0.754887,0,0,0,0
0.756434,0,0,0,0
0.758000,0,0,0,0
0.759548,0,0,0,0
0.761095,0,0,0,0
0.762671,0,0,0,0
0.764218,0,0,0,0
0.765769,0,0,0,0
0.767317,0,0,0,0
0.768879,0,0,0,0
0.770470,0,0,0,0
0.772017,0,0,0,0
0.773567,0,0,0,0
0.775115,0,0,0,0
0.776661,0,0,0,0
0.778253,0,0,0,0
0.779816,0,0,0,0
0.781366,0,0,0,0
0.782913,0,0,0,0
0.784460,0,0,0,0
0.786054,0,0,0,0
0.787602,0,0,0,0
0.789148,0,0,0,0
0.790716,0,0,0,0
0.792262,0,0,0,0
0.793855,0,0,0,0
0.795404,0,0,0,0
0.796951,0,0,0,0
0.798477,0,0,0,0
0.799867,0,0,0,0
0.801303,0,0,0,0
0.802731,0,0,0,0
0.804117,0,0,0,0
0.805505,0,0,0,0
0.806889,0,0,0,0
0.808400,0,0,0,0
0.809993,0,0,0,0
0.811556,0,0,0,0
0.813102,0,0,0,0
0.814666,0,0,0,0
0.816217,0,0,0,0
0.817809,0,0,0,0
0.819755,0,0,0,0
0.821155,0,0,0,0
0.822559,0,0,0,0
0.823943,0,0,0,0
0.825329,0,0,0,0
0.826714,0,0,0,0
0.828229,0,0,0,0
0.829781,0,0,0,0
0.831331,0,0,0,0
0.832894,0,0,0,0
0.834489,0,0,0,0
0.836040,0,0,0,0
0.837592,0,0,0,0
0.839142,0,0,0,0
0.840691,0,0,0,0
0.842286,0,0,0,0
0.843851,0,0,0,0
0.845404,0,0,0,0
0.846953,0,0,0,0
0.848502,0,0,0,0
0.850098,0,0,0,0
0.851640,0,0,0,0
0.853179,0,0,0,0
0.854668,0,0,0,0
0.856058,0,0,0,0
0.857575,0,0,0,0
0.859169,0,0,0,0
0.860717,0,0,0,0
0.862267,0,0,0,0
0.863816,0,0,0,0
0.865381,0,0,0,0
0.866970,0,0,0,0
0.868574,0,0,0,0
0.870045,0,0,0,0
0.871568,0,0,0,0
0.873116,0,0,0,0
0.874671,0,0,0,0
0.876234,0,0,0,0
0.877785,0,0,0,0
0.879324,0,0,0,0
0.880865,0,0,0,0
0.882326,0,0,0,0
0.883847,0,0,0,0
0.885399,0,0,0,0
0.886963,0,0,0,0
0.888512,0,0,0,0
0.890107,0,0,0,0
0.891659,0,0,0,0
0.893207,0,0,0,0
0.894761,0,0,0,0
0.896310,0,0,0,0
0.897919,0,0,0,0
0.899471,0,0,0,0
0.901019,0,0,0,0
0.902574,0,0,0,0
0.904124,0,0,0,0
0.905719,0,0,0,0
0.907271,0,0,0,0
0.908833,0,0,0,0
0.910384,0,0,0,0
0.911935,0,0,0,0
0.913486,0,0,0,0
0.915038,0,0,0,0
0.916586,0,0,0,0
0.918137,0,0,0,0
0.919701,0,0,0,0
0.921250,0,0,0,0
0.922864,0,0,0,0
0.924258,0,0,0,0
0.925776,0,0,0,0
0.927326,0,0,0,0
0.928875,0,0,0,0
0.930354,0,0,0,0
0.931875,0,0,0,0
0.933427,0,0,0,0
0.934978,0,0,0,0
0.936526,0,0,0,0
0.938122,0,0,0,0
0.939672,0,0,0,0
0.941237,0,0,0,0
0.942832,0,0,0,0
0.944381,0,0,0,0
0.945977,0,0,0,0
0.947528,0,0,0,0
0.949077,0,0,0,0
0.950629,0,0,0,0
0.952193,0,0,0,0
0.953789,0,0,0,0
0.955331,0,0,0,0
0.956871,0,0,0,0
0.958290,0,0,0,0
0.959809,0,0,0,0
0.961361,0,0,0,0
0.962969,0,0,0,0
0.964518,0,0,0,0
0.966070,0,0,0,0
0.967621,0,0,0,0
0.969170,0,0,0,0
0.970727,0,0,0,0
0.972276,0,0,0,0
0.973843,0,0,0,0
0.975394,0,0,0,0
0.976944,0,0,0,0
0.978444,0,0,0,0
0.979964,0,0,0,0
0.981516,0,0,0,0
0.983066,0,0,0,0
0.984630,0,0,0,0
0.986224,0,0,0,0
0.987773,0,0,0,0
0.989324,0,0,0,0
0.990875,0,0,0,0
0.992423,0,0,0,0
0.994020,0,0,0,0
0.995461,0,0,0,0
0.996984,0,0,0,0
0.998538,0,0,0,0
1.000087,0,0,0,0
1.001640,0,0,0,0
1.003190,0,0,0,0
1.004740,0,0,0,0
1.006311,0,0,0,0
1.007852,0,0,0,0
1.009816,0,0,0,0
1.011260,0,0,0,0
1.012685,0,0,0,0
1.014074,0,0,0,0
1.015463,0,0,0,0
1.016861,0,0,0,0
1.018286,0,0,0,0
1.019874,0,0,0,0
1.021425,0,0,0,0
1.022976,0,0,0,0
1.024526,0,0,0,0
1.026123,0,0,0,0
1.027565,0,0,0,0
1.029085,0,0,0,0
1.030641,0,0,0,0
1.032191,0,0,0,0
1.033787,0,0,0,0
1.035340,0,0,0,0
1.036889,0,0,0,0
1.038329,0,0,0,0
1.039852,0,0,0,0
1.041405,0,0,0,0
1.043001,0,0,0,0
1.044551,0,0,0,0
1.046105,0,0,0,0
