elapsed_s,TSE_FE_STARVE_CYCLES_PC,TSE_FE_INPUT_PRIM,TSE_FE_INPUT_NULL_PRIM,TSE_FE_TRIVAL_REJ_PRIM
0.149276,0,0,0,0
0.150826,0,0,0,0
0.152372,0,0,0,0
0.153918,0,0,0,0
0.155466,0,0,0,0
0.157026,0,0,0,0
0.158572,0,0,0,0
0.160189,0,0,0,0
0.161735,0,0,0,0
0.163283,0,0,0,0
0.164830,0,0,0,0
0.166376,0,0,0,0
0.167817,0,0,0,0
0.169212,0,0,0,0
0.170729,0,0,0,0
0.172278,0,0,0,0
0.173824,0,0,0,0
0.175418,0,0,0,0
0.176966,0,0,0,0
0.178525,0,0,0,0
0.180077,0,0,0,0
0.181649,0,0,0,0
0.183204,0,0,0,0
0.184753,0,0,0,0
0.186300,0,0,0,0
0.187822,0,0,0,0
0.189350,0,0,0,0
0.190941,0,0,0,0
0.192535,0,0,0,0
0.194083,0,0,0,0
0.195633,0,0,0,0
0.197182,0,0,0,0
0.198733,0,0,0,0
0.200297,0,0,0,0
0.201847,0,0,0,0
0.203398,0,0,0,0
0.204948,0,0,0,0
0.206496,0,0,0,0
0.208052,0,0,0,0
0.209600,0,0,0,0
0.211165,0,0,0,0
0.212715,0,0,0,0
0.214263,0,0,0,0
0.215873,0,0,0,0
0.217423,0,0,0,0
0.218975,0,0,0,0
0.220525,0,0,0,0
0.221962,0,0,0,0
0.223527,0,0,0,0
0.225077,0,0,0,0
0.226630,0,0,0,0
0.228180,0,0,0,0
0.229729,0,0,0,0
0.231281,0,0,0,0
0.232844,0,0,0,0
0.234393,0,0,0,0
0.235948,0,0,0,0
0.237497,0,0,0,0
0.239091,0,0,0,0
0.240642,0,0,0,0
0.242190,0,0,0,0
0.243753,0,0,0,0
0.245303,0,0,0,0
0.246855,0,0,0,0
0.248404,0,0,0,0
0.249953,0,0,0,0
0.251503,0,0,0,0
0.253053,0,0,0,0
0.254694,0,0,0,0
0.256224,0,0,0,0
0.257617,0,0,0,0
0.259136,0,0,0,0
0.260687,0,0,0,0
0.262235,0,0,0,0
0.263784,0,0,0,0
0.265348,0,0,0,0
0.266899,0,0,0,0
0.268449,0,0,0,0
0.269998,0,0,0,0
0.271591,0,0,0,0
0.273142,0,0,0,0
0.274693,0,0,0,0
