elapsed_s,TSE_FE_BR_STALLS_DUETO_BV_CLIP,TSE_FE_BR_STALLS_DUETO_BV_POLY,TSE_FE_BV_STALLS_DUETO_BR_CLIP,TSE_FE_BV_STALLS_DUETO_BR_POLY
0.726306,0,0,0,0
0.727856,0,0,0,0
0.729409,0,0,0,0
0.730959,0,0,0,0
0.732508,0,0,0,0
0.734117,0,0,0,0
0.735668,0,0,0,0
0.737221,0,0,0,0
0.738771,0,0,0,0
0.740321,0,0,0,0
0.741917,0,0,0,0
0.743468,0,0,0,0
0.745031,0,0,0,0
0.746586,0,0,0,0
0.748136,0,0,0,0
0.749731,0,0,0,0
0.751283,0,0,0,0
0.752834,0,0,0,0
0.754347,0,0,0,0
0.755876,0,0,0,0
0.757429,0,0,0,0
0.759025,0,0,0,0
0.760574,0,0,0,0
0.762125,0,0,0,0
0.763675,0,0,0,0
0.765226,0,0,0,0
0.766834,0,0,0,0
0.768381,0,0,0,0
0.769933,0,0,0,0
0.771481,0,0,0,0
0.773030,0,0,0,0
0.774585,0,0,0,0
0.776133,0,0,0,0
0.777698,0,0,0,0
0.779246,0,0,0,0
0.780794,0,0,0,0
0.782406,0,0,0,0
0.783954,0,0,0,0
0.785505,0,0,0,0
0.787055,0,0,0,0
0.788617,0,0,0,0
0.790210,0,0,0,0
0.791758,0,0,0,0
0.793307,0,0,0,0
0.794856,0,0,0,0
0.796403,0,0,0,0
0.797997,0,0,0,0
0.799560,0,0,0,0
0.801108,0,0,0,0
0.802729,0,0,0,0
0.804150,0,0,0,0
0.805713,0,0,0,0
0.807264,0,0,0,0
0.808812,0,0,0,0
0.810501,0,0,0,0
0.812049,0,0,0,0
0.813643,0,0,0,0
0.815192,0,0,0,0
0.816739,0,0,0,0
0.818288,0,0,0,0
0.819837,0,0,0,0
0.821403,0,0,0,0
0.822998,0,0,0,0
0.824546,0,0,0,0
0.826095,0,0,0,0
0.827644,0,0,0,0
0.829195,0,0,0,0
0.830744,0,0,0,0
0.832306,0,0,0,0
0.833857,0,0,0,0
0.835407,0,0,0,0
0.836955,0,0,0,0
0.838532,0,0,0,0
0.840373,0,0,0,0
0.841928,0,0,0,0
0.843494,0,0,0,0
0.845044,0,0,0,0
0.846601,0,0,0,0
0.848151,0,0,0,0
0.849703,0,0,0,0
0.851245,0,0,0,0
0.852785,0,0,0,0
0.854300,0,0,0,0
0.855821,0,0,0,0
0.857373,0,0,0,0
0.858922,0,0,0,0
0.860470,0,0,0,0
0.862064,0,0,0,0
0.863613,0,0,0,0
0.865179,0,0,0,0
0.866730,0,0,0,0
0.868279,0,0,0,0
0.869872,0,0,0,0
0.871313,0,0,0,0
0.872803,0,0,0,0
0.874284,0,0,0,0
0.875769,0,0,0,0
0.877159,0,0,0,0
0.878562,0,0,0,0
0.879948,0,0,0,0
0.881335,0,0,0,0
0.882849,0,0,0,0
0.884398,0,0,0,0
0.886007,0,0,0,0
0.887559,0,0,0,0
0.889107,0,0,0,0
0.890682,0,0,0,0
0.892379,0,0,0,0
0.893772,0,0,0,0
0.895177,0,0,0,0
0.896583,0,0,0,0
0.897975,0,0,0,0
0.899362,0,0,0,0
0.900749,0,0,0,0
0.902178,0,0,0,0
0.903565,0,0,0,0
0.905079,0,0,0,0
0.906631,0,0,0,0
0.908243,0,0,0,0
0.909738,0,0,0,0
0.911140,0,0,0,0
0.912529,0,0,0,0
0.913919,0,0,0,0
0.915304,0,0,0,0
0.916691,0,0,0,0
0.918262,0,0,0,0
0.919805,0,0,0,0
0.921368,0,0,0,0
0.922927,0,0,0,0
0.924283,0,0,0,0
0.925728,0,0,0,0
0.927118,0,0,0,0
0.928517,0,0,0,0
0.929908,0,0,0,0
0.931423,0,0,0,0
0.932974,0,0,0,0
0.934358,0,0,0,0
0.935879,0,0,0,0
0.937431,0,0,0,0
0.938994,0,0,0,0
0.940544,0,0,0,0
0.942140,0,0,0,0
0.943691,0,0,0,0
0.945244,0,0,0,0
0.946794,0,0,0,0
0.948344,0,0,0,0
0.949954,0,0,0,0
0.951507,0,0,0,0
0.953056,0,0,0,0
0.954612,0,0,0,0
0.956162,0,0,0,0
0.957758,0,0,0,0
0.959308,0,0,0,0
0.960872,0,0,0,0
0.962428,0,0,0,0
0.963977,0,0,0,0
0.965530,0,0,0,0
0.967081,0,0,0,0
0.968632,0,0,0,0
0.970182,0,0,0,0
0.971747,0,0,0,0
0.973299,0,0,0,0
0.974895,0,0,0,0
0.976444,0,0,0,0
0.977995,0,0,0,0
0.979537,0,0,0,0
0.981076,0,0,0,0
0.982459,0,0,0,0
0.983857,0,0,0,0
0.985378,0,0,0,0
0.986928,0,0,0,0
0.988479,0,0,0,0
0.990074,0,0,0,0
0.991626,0,0,0,0
0.993069,0,0,0,0
0.994596,0,0,0,0
0.996145,0,0,0,0
0.997742,0,0,0,0
0.999295,0,0,0,0
1.000845,0,0,0,0
1.002400,0,0,0,0
1.003970,0,0,0,0
1.005523,0,0,0,0
1.007076,0,0,0,0
1.008626,0,0,0,0
1.010177,0,0,0,0
1.011719,0,0,0,0
1.013315,0,0,0,0
1.014906,0,0,0,0
1.016487,0,0,0,0
1.018037,0,0,0,0
1.019586,0,0,0,0
1.021217,0,0,0,0
1.022707,0,0,0,0
1.024099,0,0,0,0
1.025498,0,0,0,0
1.027014,0,0,0,0
1.028563,0,0,0,0
1.030157,0,0,0,0
1.031707,0,0,0,0
1.033259,0,0,0,0
1.034810,0,0,0,0
1.036372,0,0,0,0
1.037967,0,0,0,0
1.039518,0,0,0,0
1.041066,0,0,0,0
1.042620,0,0,0,0
1.044168,0,0,0,0
1.045763,0,0,0,0
1.047233,0,0,0,0
1.048782,0,0,0,0
1.050384,0,0,0,0
1.051933,0,0,0,0
1.053486,0,0,0,0
1.055036,0,0,0,0
1.056585,0,0,0,0
1.058149,0,0,0,0
1.059702,0,0,0,0
1.061254,0,0,0,0
1.062848,0,0,0,0
1.064397,0,0,0,0
1.065949,0,0,0,0
1.067499,0,0,0,0
1.069061,0,0,0,0
1.070616,0,0,0,0
1.072007,0,0,0,0
1.073534,0,0,0,0
1.075083,0,0,0,0
1.076632,0,0,0,0
1.078227,0,0,0,0
1.079667,0,0,0,0
1.081237,0,0,0,0
1.082702,0,0,0,0
1.084096,0,0,0,0
1.085661,0,0,0,0
1.087216,0,0,0,0
1.088768,0,0,0,0
1.090397,0,0,0,0
1.091949,0,0,0,0
1.093504,0,0,0,0
1.095058,0,0,0,0
1.096647,0,0,0,0
1.098201,0,0,0,0
1.099754,0,0,0,0
1.101189,0,0,0,0
1.102629,0,0,0,0
1.104019,0,0,0,0
1.105410,0,0,0,0
1.106800,0,0,0,0
1.108187,0,0,0,0
1.109851,0,0,0,0
1.111287,0,0,0,0
1.112681,0,0,0,0
1.114114,0,0,0,0
1.115498,0,0,0,0
1.116882,0,0,0,0
1.118382,0,0,0,0
1.119768,0,0,0,0
1.121333,0,0,0,0
1.122718,0,0,0,0
1.124107,0,0,0,0
1.125634,0,0,0,0
1.127175,0,0,0,0
1.128990,0,0,0,0
1.130600,0,0,0,0
1.133459,0,0,0,0
1.134975,0,0,0,0
1.136369,0,0,0,0
1.137780,0,0,0,0
1.139128,0,0,0,0
1.140469,0,0,0,0
1.141835,0,0,0,0
1.143242,0,0,0,0
1.144633,0,0,0,0
1.146035,0,0,0,0
1.147556,0,0,0,0
1.149109,0,0,0,0
1.150708,0,0,0,0
1.152263,0,0,0,0
1.153818,0,0,0,0
1.155365,0,0,0,0
1.156923,0,0,0,0
1.158481,0,0,0,0
1.160035,0,0,0,0
1.161592,0,0,0,0
1.163147,0,0,0,0
1.164701,0,0,0,0
1.166301,0,0,0,0
1.167869,0,0,0,0
1.169426,0,0,0,0
1.170981,0,0,0,0
1.172535,0,0,0,0
1.174133,0,0,0,0
1.175688,0,0,0,0
1.177246,0,0,0,0
1.178815,0,0,0,0
1.180369,0,0,0,0
1.181969,0,0,0,0
1.183525,0,0,0,0
1.185081,0,0,0,0
1.186510,0,0,0,0
1.187906,0,0,0,0
1.189439,0,0,0,0
1.191039,0,0,0,0
1.192592,0,0,0,0
1.194147,0,0,0,0
1.195703,0,0,0,0
1.197260,0,0,0,0
1.198860,0,0,0,0
1.200427,0,0,0,0
1.201983,0,0,0,0
1.203539,0,0,0,0
1.205092,0,0,0,0
1.206693,0,0,0,0
1.208247,0,0,0,0
1.209804,0,0,0,0
1.211373,0,0,0,0
1.212927,0,0,0,0
1.214488,0,0,0,0
1.216041,0,0,0,0
1.217598,0,0,0,0
1.219153,0,0,0,0
1.220705,0,0,0,0
1.222188,0,0,0,0
1.223715,0,0,0,0
1.225272,0,0,0,0
1.226828,0,0,0,0
1.228381,0,0,0,0
1.229982,0,0,0,0
1.231538,0,0,0,0
1.233105,0,0,0,0
1.234504,0,0,0,0
1.236028,0,0,0,0
1.237629,0,0,0,0
1.239176,0,0,0,0
1.240720,0,0,0,0
1.242142,0,0,0,0
1.243676,0,0,0,0
1.245233,0,0,0,0
1.246830,0,0,0,0
1.248382,0,0,0,0
1.249937,0,0,0,0
1.251490,0,0,0,0
1.253041,0,0,0,0
1.254615,0,0,0,0
1.256167,0,0,0,0
1.257722,0,0,0,0
1.259275,0,0,0,0
1.260826,0,0,0,0
1.262471,0,0,0,0
1.264023,0,0,0,0
1.265592,0,0,0,0
