elapsed_s,TSE_NON_CLIP_WORKING_CYCLES,TSE_NULL_WORKING_CYCLES,TSE_OUT_PRIM_WORKING_CYCLES,TSE_INPUT_VERTEX_WORKING_CYCLES
0.155529,0,0,0,0
0.157078,0,0,0,0
0.158625,0,0,0,0
0.160060,0,0,0,0
0.161451,0,0,0,0
0.162964,0,0,0,0
0.164513,0,0,0,0
0.166059,0,0,0,0
0.167604,0,0,0,0
0.169197,0,0,0,0
0.170758,0,0,0,0
0.172303,0,0,0,0
0.173854,0,0,0,0
0.175401,0,0,0,0
0.176993,0,0,0,0
0.178402,0,0,0,0
0.179919,0,0,0,0
0.181353,0,0,0,0
0.182873,0,0,0,0
0.184423,0,0,0,0
0.185970,0,0,0,0
0.187518,0,0,0,0
0.189068,0,0,0,0
0.190618,0,0,0,0
0.192179,0,0,0,0
0.193733,0,0,0,0
0.195281,0,0,0,0
0.196832,0,0,0,0
0.198381,0,0,0,0
0.199929,0,0,0,0
0.201520,0,0,0,0
0.203083,0,0,0,0
0.204633,0,0,0,0
0.206182,0,0,0,0
0.207729,0,0,0,0
0.209321,0,0,0,0
0.210871,0,0,0,0
0.212422,0,0,0,0
0.213862,0,0,0,0
0.215381,0,0,0,0
0.216916,0,0,0,0
0.218333,0,0,0,0
0.219718,0,0,0,0
0.221099,0,0,0,0
0.222482,0,0,0,0
0.223872,0,0,0,0
0.225293,0,0,0,0
0.226808,0,0,0,0
0.228355,0,0,0,0
0.229975,0,0,0,0
0.231524,0,0,0,0
0.233118,0,0,0,0
0.234681,0,0,0,0
0.236229,0,0,0,0
0.237803,0,0,0,0
0.239350,0,0,0,0
0.240945,0,0,0,0
0.242495,0,0,0,0
0.244023,0,0,0,0
0.245436,0,0,0,0
0.246821,0,0,0,0
0.248202,0,0,0,0
0.249631,0,0,0,0
0.251008,0,0,0,0
0.252515,0,0,0,0
0.253957,0,0,0,0
0.255299,0,0,0,0
0.256652,0,0,0,0
0.258037,0,0,0,0
0.259373,0,0,0,0
0.260755,0,0,0,0
0.262091,0,0,0,0
0.263425,0,0,0,0
0.264762,0,0,0,0
0.266074,0,0,0,0
0.267393,0,0,0,0
0.268752,0,0,0,0
0.270110,0,0,0,0
0.271502,0,0,0,0
0.272983,0,0,0,0
0.274408,0,0,0,0
0.275854,0,0,0,0
0.277271,0,0,0,0
0.278717,0,0,0,0
0.280164,0,0,0,0
0.281615,0,0,0,0
0.282983,0,0,0,0
0.284345,0,0,0,0
0.285718,0,0,0,0
0.287075,0,0,0,0
0.288426,0,0,0,0
0.289780,0,0,0,0
0.291166,0,0,0,0
0.292579,0,0,0,0
0.293957,0,0,0,0
0.295338,0,0,0,0
0.296716,0,0,0,0
0.298263,0,0,0,0
0.299801,0,0,0,0
0.301235,0,0,0,0
0.302756,0,0,0,0
0.304304,0,0,0,0
0.305860,0,0,0,0
0.307407,0,0,0,0
0.308958,0,0,0,0
0.310507,0,0,0,0
0.312068,0,0,0,0
0.313681,0,0,0,0
0.315229,0,0,0,0
0.316780,0,0,0,0
0.318329,0,0,0,0
0.319877,0,0,0,0
0.321469,0,0,0,0
0.323024,0,0,0,0
0.324648,0,0,0,0
0.326063,0,0,0,0
0.327455,0,0,0,0
0.329013,0,0,0,0
0.330560,0,0,0,0
0.332106,0,0,0,0
0.333672,0,0,0,0
0.335218,0,0,0,0
0.336766,0,0,0,0
0.338314,0,0,0,0
0.339859,0,0,0,0
0.341405,0,0,0,0
0.343000,0,0,0,0
0.344480,0,0,0,0
0.345957,0,0,0,0
0.347346,0,0,0,0
0.348730,0,0,0,0
0.350117,0,0,0,0
0.351501,0,0,0,0
0.352924,0,0,0,0
0.354309,0,0,0,0
0.355874,0,0,0,0
0.357421,0,0,0,0
0.358968,0,0,0,0
0.360517,0,0,0,0
0.362107,0,0,0,0
0.364065,0,0,0,0
0.365611,0,0,0,0
0.367047,0,0,0,0
0.368441,0,0,0,0
0.369869,0,0,0,0
0.371254,0,0,0,0
0.372641,0,0,0,0
0.374025,0,0,0,0
0.375536,0,0,0,0
0.377127,0,0,0,0
0.378567,0,0,0,0
0.380598,0,0,0,0
0.381994,0,0,0,0
0.383382,0,0,0,0
0.384808,0,0,0,0
0.386195,0,0,0,0
0.387580,0,0,0,0
0.388984,0,0,0,0
0.390697,0,0,0,0
0.392248,0,0,0,0
0.393804,0,0,0,0
0.395352,0,0,0,0
0.396903,0,0,0,0
0.398452,0,0,0,0
0.400013,0,0,0,0
0.401604,0,0,0,0
0.403154,0,0,0,0
0.404704,0,0,0,0
0.406253,0,0,0,0
0.407800,0,0,0,0
0.409224,0,0,0,0
0.410624,0,0,0,0
0.412008,0,0,0,0
0.413392,0,0,0,0
0.414779,0,0,0,0
0.416164,0,0,0,0
0.417545,0,0,0,0
0.419056,0,0,0,0
0.420607,0,0,0,0
0.422170,0,0,0,0
0.423717,0,0,0,0
0.425308,0,0,0,0
0.426849,0,0,0,0
0.428542,0,0,0,0
0.430089,0,0,0,0
0.431890,0,0,0,0
0.434645,0,0,0,0
0.436038,0,0,0,0
0.437428,0,0,0,0
0.438811,0,0,0,0
0.440190,0,0,0,0
0.441597,0,0,0,0
0.442982,0,0,0,0
0.444365,0,0,0,0
0.445758,0,0,0,0
0.447143,0,0,0,0
0.448529,0,0,0,0
0.449948,0,0,0,0
0.451458,0,0,0,0
0.453007,0,0,0,0
0.454553,0,0,0,0
0.456113,0,0,0,0
0.457664,0,0,0,0
0.459211,0,0,0,0
0.460759,0,0,0,0
0.462306,0,0,0,0
0.463852,0,0,0,0
0.465443,0,0,0,0
0.467005,0,0,0,0
0.468554,0,0,0,0
0.470102,0,0,0,0
0.471648,0,0,0,0
0.473242,0,0,0,0
0.474789,0,0,0,0
0.476334,0,0,0,0
0.477748,0,0,0,0
0.479140,0,0,0,0
0.480655,0,0,0,0
0.482247,0,0,0,0
0.483793,0,0,0,0
0.485340,0,0,0,0
0.486888,0,0,0,0
0.488451,0,0,0,0
